13'汉堡球员朱鲁拼抢犯规,对手获得控球权.                   13'第13分钟，罗伊斯开出任意球，胡梅尔斯头球击中横梁
13'莱万多夫斯基为多特蒙德在左路,赢得一个任意球.                   13'第13分钟，罗伊斯开出任意球，胡梅尔斯头球击中横梁
13'多特蒙德球员胡梅尔斯大禁区中央头球,命中门柱横梁.给他传球的是罗伊斯.                   13'第13分钟，罗伊斯开出任意球，胡梅尔斯头球击中横梁
14'多特蒙德球员奥巴梅扬大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是罗伊斯.                   13'第13分钟，罗伊斯开出任意球，胡梅尔斯头球击中横梁
15'多特蒙德球员沙欣一脚直塞球给罗伊斯,但是边裁举旗显示后者已经越位.                   13'第13分钟，罗伊斯开出任意球，胡梅尔斯头球击中横梁
16'汉堡球员拜斯特手球犯规,对手获得球权.                   13'第13分钟，罗伊斯开出任意球，胡梅尔斯头球击中横梁
48'多特蒙德球员本德尔大禁区中央左脚射门,被防守球员封堵.                   48'3分钟后，莱万多夫斯基脚后跟传球，姆希塔良突入禁区距门14米处推射击中左门柱内侧弹进，2比0
48'多特蒙德球员施梅尔策大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是本德尔.                   48'3分钟后，莱万多夫斯基脚后跟传球，姆希塔良突入禁区距门14米处推射击中左门柱内侧弹进，2比0
49'拜斯特为汉堡在左路,赢得一个任意球.                   48'3分钟后，莱万多夫斯基脚后跟传球，姆希塔良突入禁区距门14米处推射击中左门柱内侧弹进，2比0
49'多特蒙德球员苏博蒂奇拼抢犯规,对手获得控球权.                   48'3分钟后，莱万多夫斯基脚后跟传球，姆希塔良突入禁区距门14米处推射击中左门柱内侧弹进，2比0
49'进球啦！！！汉堡球员韦斯特曼球门线跟前头球,球从右上角飞进球门,球进了!助攻的是范德法特. 多特蒙德 2-2 汉堡.                   48'3分钟后，莱万多夫斯基脚后跟传球，姆希塔良突入禁区距门14米处推射击中左门柱内侧弹进，2比0
50'阿斯兰为汉堡在对方半场,赢得一个任意球.                   48'3分钟后，莱万多夫斯基脚后跟传球，姆希塔良突入禁区距门14米处推射击中左门柱内侧弹进，2比0
50'多特蒙德球员姆希塔良拼抢犯规,对手获得控球权.                   48'3分钟后，莱万多夫斯基脚后跟传球，姆希塔良突入禁区距门14米处推射击中左门柱内侧弹进，2比0
51'汉堡球员迪克迈尔拼抢犯规,对手获得控球权.                   48'3分钟后，莱万多夫斯基脚后跟传球，姆希塔良突入禁区距门14米处推射击中左门柱内侧弹进，2比0
51'罗伊斯为多特蒙德在左路,赢得一个任意球.                   48'3分钟后，莱万多夫斯基脚后跟传球，姆希塔良突入禁区距门14米处推射击中左门柱内侧弹进，2比0
51'黄牌！汉堡球员迪克迈尔因为恶意犯规,被主裁判出示黄牌.                   48'3分钟后，莱万多夫斯基脚后跟传球，姆希塔良突入禁区距门14米处推射击中左门柱内侧弹进，2比0
26'进球啦！！！汉堡球员林志坚大禁区外右脚射门,球从右下角飞进球门,球进了!助攻的是祖阿-达奥加里. 多特蒙德 2-1 汉堡.                   26'第26分钟，林志坚左路内切摆脱防守，在门前25米处弧线球旋入远角
27'姆希塔良为多特蒙德赢得一个任意球.                   26'第26分钟，林志坚左路内切摆脱防守，在门前25米处弧线球旋入远角
27'汉堡球员林孔拼抢犯规,对手获得控球权.                   26'第26分钟，林志坚左路内切摆脱防守，在门前25米处弧线球旋入远角
27'黄牌！汉堡球员林孔因为恶意犯规,被主裁判出示黄牌.                   26'第26分钟，林志坚左路内切摆脱防守，在门前25米处弧线球旋入远角
29'射门!!!多特蒙德球员莱万多夫斯基大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是罗伊斯.                   26'第26分钟，林志坚左路内切摆脱防守，在门前25米处弧线球旋入远角
29'多特蒙德球员莱万多夫斯基一脚直塞球给罗伊斯,但是边裁举旗显示后者已经越位.                   26'第26分钟，林志坚左路内切摆脱防守，在门前25米处弧线球旋入远角
65'进球啦！！！多特蒙德球员奥巴梅扬大禁区右侧右脚射门,球从左下角飞进球门,球进了!助攻的是姆希塔良. 多特蒙德 3-2 汉堡.                   65'第65分钟，姆希塔良分球，奥巴梅扬右侧距门11米处斜射梅开二度
67'汉堡球员范德法特拼抢犯规,对手获得控球权.                   65'第65分钟，姆希塔良分球，奥巴梅扬右侧距门11米处斜射梅开二度
67'沙欣为多特蒙德在对方半场,赢得一个任意球.                   65'第65分钟，姆希塔良分球，奥巴梅扬右侧距门11米处斜射梅开二度
67'多特蒙德球员罗伊斯大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是姆希塔良.                   65'第65分钟，姆希塔良分球，奥巴梅扬右侧距门11米处斜射梅开二度
68'汉堡换人,恰尔汉奥卢换下林孔                   65'第65分钟，姆希塔良分球，奥巴梅扬右侧距门11米处斜射梅开二度
46'多特蒙德球员奥巴梅扬大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是罗伊斯.                   46'1分钟后，罗伊斯断球突入禁区推进右下角
47'多特蒙德球员姆希塔良一脚直塞球给罗伊斯,但是边裁举旗显示后者已经越位.                   46'1分钟后，罗伊斯断球突入禁区推进右下角
47'汉堡球员伊拉切克拼抢犯规,对手获得控球权.                   46'1分钟后，罗伊斯断球突入禁区推进右下角
47'莱万多夫斯基为多特蒙德在对方半场,赢得一个任意球.                   46'1分钟后，罗伊斯断球突入禁区推进右下角
48'多特蒙德球员本德尔大禁区中央左脚射门,被防守球员封堵.                   46'1分钟后，罗伊斯断球突入禁区推进右下角
48'多特蒙德球员施梅尔策大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是本德尔.                   46'1分钟后，罗伊斯断球突入禁区推进右下角
