4'不过说实话，刚才的进球阿萨莫阿在接应武齐尼奇直塞的时候似乎有越位的嫌疑                   4'第4分钟，乔文科突入禁区右侧，马尔基西奥中路包抄没碰到球
4'可能比赛刚刚开始边裁也没活动开吧                   4'第4分钟，乔文科突入禁区右侧，马尔基西奥中路包抄没碰到球
4'乔文科右路拿球传中，门前马尔基西奥跑过了                   4'第4分钟，乔文科突入禁区右侧，马尔基西奥中路包抄没碰到球
4'皮尔洛外围拿球挑传禁区，乔文科越位了                   4'第4分钟，乔文科突入禁区右侧，马尔基西奥中路包抄没碰到球
5'卡萨诺中路带球分到左路的长友佑都                   4'第4分钟，乔文科突入禁区右侧，马尔基西奥中路包抄没碰到球
5'交给坎比亚索组织，卡萨诺拉边                   4'第4分钟，乔文科突入禁区右侧，马尔基西奥中路包抄没碰到球
5'斜传禁区球被布冯拿到                   4'第4分钟，乔文科突入禁区右侧，马尔基西奥中路包抄没碰到球
6'尤文后场长传找武齐尼奇，传球力量大了直接出了底线                   4'第4分钟，乔文科突入禁区右侧，马尔基西奥中路包抄没碰到球
7'尤文前场配合失误，米利托断球，皮尔洛犯规                   4'第4分钟，乔文科突入禁区右侧，马尔基西奥中路包抄没碰到球
7'皮尔洛把球分到左路的马尔基西奥                   4'第4分钟，乔文科突入禁区右侧，马尔基西奥中路包抄没碰到球
10'还是马尔基西奥的插上，胸部停球后转身打门没有踢上力量，门将把球拿到                   10'第10分钟，坎比亚索禁区边缘打高
10'坎比亚索弧顶前踉踉跄跄的带球强行起脚高出横梁                   10'第10分钟，坎比亚索禁区边缘打高
11'比达尔中场带球失误被国米断球，帕拉西奥把球交给坎比亚索                   10'第10分钟，坎比亚索禁区边缘打高
11'阿根廷人禁区外左脚直接兜个弧线还是高了                   10'第10分钟，坎比亚索禁区边缘打高
12'虽然国米和尤文都排出的三后卫，但是明显国米三名中卫的配合与尤文相比还略显生疏                   10'第10分钟，坎比亚索禁区边缘打高
12'卡萨诺左路和米利托连续配合造成皮尔洛的犯规                   10'第10分钟，坎比亚索禁区边缘打高
12'帕拉西奥头球攻门进了！！！！                   10'第10分钟，坎比亚索禁区边缘打高
13'越位了！！！进球无效！！！！                   10'第10分钟，坎比亚索禁区边缘打高
13'国米快发任意球传中，插上头球攻门的帕拉西奥稍稍越位                   10'第10分钟，坎比亚索禁区边缘打高
13'比分还是1比0                   10'第10分钟，坎比亚索禁区边缘打高
12'虽然国米和尤文都排出的三后卫，但是明显国米三名中卫的配合与尤文相比还略显生疏                   12'国米第12分钟进球无效，坎比亚索左侧快开任意球传中，帕拉西奥在门前8米处头球弹地入网，但就在他开始奔跑庆祝时，主裁判塔利亚文托吹他越位，进球被判无效
12'卡萨诺左路和米利托连续配合造成皮尔洛的犯规                   12'国米第12分钟进球无效，坎比亚索左侧快开任意球传中，帕拉西奥在门前8米处头球弹地入网，但就在他开始奔跑庆祝时，主裁判塔利亚文托吹他越位，进球被判无效
12'帕拉西奥头球攻门进了！！！！                   12'国米第12分钟进球无效，坎比亚索左侧快开任意球传中，帕拉西奥在门前8米处头球弹地入网，但就在他开始奔跑庆祝时，主裁判塔利亚文托吹他越位，进球被判无效
13'越位了！！！进球无效！！！！                   12'国米第12分钟进球无效，坎比亚索左侧快开任意球传中，帕拉西奥在门前8米处头球弹地入网，但就在他开始奔跑庆祝时，主裁判塔利亚文托吹他越位，进球被判无效
13'国米快发任意球传中，插上头球攻门的帕拉西奥稍稍越位                   12'国米第12分钟进球无效，坎比亚索左侧快开任意球传中，帕拉西奥在门前8米处头球弹地入网，但就在他开始奔跑庆祝时，主裁判塔利亚文托吹他越位，进球被判无效
13'比分还是1比0                   12'国米第12分钟进球无效，坎比亚索左侧快开任意球传中，帕拉西奥在门前8米处头球弹地入网，但就在他开始奔跑庆祝时，主裁判塔利亚文托吹他越位，进球被判无效
14'坎比亚索中路直塞找米利托，基耶里尼在关键位置横身把球阻断                   12'国米第12分钟进球无效，坎比亚索左侧快开任意球传中，帕拉西奥在门前8米处头球弹地入网，但就在他开始奔跑庆祝时，主裁判塔利亚文托吹他越位，进球被判无效
14'比达尔被坎比亚索绊倒                   12'国米第12分钟进球无效，坎比亚索左侧快开任意球传中，帕拉西奥在门前8米处头球弹地入网，但就在他开始奔跑庆祝时，主裁判塔利亚文托吹他越位，进球被判无效
14'这一阵双方球员经常人仰马翻啊                   12'国米第12分钟进球无效，坎比亚索左侧快开任意球传中，帕拉西奥在门前8米处头球弹地入网，但就在他开始奔跑庆祝时，主裁判塔利亚文托吹他越位，进球被判无效
15'不过主裁判的尺度看上去还算宽松                   12'国米第12分钟进球无效，坎比亚索左侧快开任意球传中，帕拉西奥在门前8米处头球弹地入网，但就在他开始奔跑庆祝时，主裁判塔利亚文托吹他越位，进球被判无效
15'尤文左路配合，乔文科直传比达尔形成单刀，不过后者越位了                   12'国米第12分钟进球无效，坎比亚索左侧快开任意球传中，帕拉西奥在门前8米处头球弹地入网，但就在他开始奔跑庆祝时，主裁判塔利亚文托吹他越位，进球被判无效
20'角球直接被乔文科挡出底线，还是角球                   20'第20分钟，坎比亚索左侧开出角球，卡萨诺在门前20米处弧线球偏出远门柱
21'战术角球，卡萨诺大禁区角的位置右脚搓出弧线球稍稍偏出远门柱                   20'第20分钟，坎比亚索左侧开出角球，卡萨诺在门前20米处弧线球偏出远门柱
21'长友佑都左路再次突破横传禁区中央，马尔基西奥落到关键位置把球断下                   20'第20分钟，坎比亚索左侧开出角球，卡萨诺在门前20米处弧线球偏出远门柱
22'加尔加诺把球搓到禁区里，米利托摆渡一下                   20'第20分钟，坎比亚索左侧开出角球，卡萨诺在门前20米处弧线球偏出远门柱
22'外围萨内蒂没有传中机会啊                   20'第20分钟，坎比亚索左侧开出角球，卡萨诺在门前20米处弧线球偏出远门柱
22'双方攻防转换速度很快                   20'第20分钟，坎比亚索左侧开出角球，卡萨诺在门前20米处弧线球偏出远门柱
23'乔文科中路带球交给武齐尼奇时被萨穆埃尔断下                   20'第20分钟，坎比亚索左侧开出角球，卡萨诺在门前20米处弧线球偏出远门柱
23'不过萨穆埃尔传球也没处理好，又交给了尤文球员                   20'第20分钟，坎比亚索左侧开出角球，卡萨诺在门前20米处弧线球偏出远门柱
31'利希施泰纳和坎比亚索争抢高空球时生生把对方撞倒，裁判给了利希施泰纳黄牌                   31'第31分钟，乔文科右路凌空挑传武齐尼奇，但小胡安及时回追将球断下
31'坎比亚索任意球给禁区武齐尼奇把球解围                   31'第31分钟，乔文科右路凌空挑传武齐尼奇，但小胡安及时回追将球断下
31'尤文组织反击，长传找到乔文科                   31'第31分钟，乔文科右路凌空挑传武齐尼奇，但小胡安及时回追将球断下
32'拿到球后横传跟进的武齐尼奇时被胡安把球破坏                   31'第31分钟，乔文科右路凌空挑传武齐尼奇，但小胡安及时回追将球断下
33'卡萨诺和米利托左路踢墙配合后传中，帕拉西奥没有抢到这个点                   31'第31分钟，乔文科右路凌空挑传武齐尼奇，但小胡安及时回追将球断下
33'乔文科拿球被萨穆埃尔背后踢倒                   31'第31分钟，乔文科右路凌空挑传武齐尼奇，但小胡安及时回追将球断下
34'马尔基西奥中场生抢加尔加诺断球                   31'第31分钟，乔文科右路凌空挑传武齐尼奇，但小胡安及时回追将球断下
34'利希施泰纳边路铲倒帕拉西奥                   31'第31分钟，乔文科右路凌空挑传武齐尼奇，但小胡安及时回追将球断下
