1'上半场比赛开始！                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
1'首先开球的是曼联                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
1'曼联开场就想发动快速反击                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
1'左侧禁区内也是险些得手                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
2'曼联中场拿球被侵犯                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
2'迪马利亚传球到禁区内                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
2'法尔考禁区内接球越位了                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
2'迪马利亚中场送直塞没有过去                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
3'莱斯特城反击，罗霍将球拿到                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
3'曼联中场控球                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
3'范佩西中场转身过人，失误了                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
4'鲁尼长传送禁区捏                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
4'施瓦泽在禁区内将球拿到                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
4'德林柯沃特中场长传                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
4'这球威胁不是很大                   1'曼联第1分钟控制比赛，但面对升班马的铁桶防守阵难以制造得分机会
4'鲁尼长传送禁区捏                   4'4分钟后，卢克-肖左路传中，范佩西10码处第一时间扫射偏出
4'施瓦泽在禁区内将球拿到                   4'4分钟后，卢克-肖左路传中，范佩西10码处第一时间扫射偏出
4'德林柯沃特中场长传                   4'4分钟后，卢克-肖左路传中，范佩西10码处第一时间扫射偏出
4'这球威胁不是很大                   4'4分钟后，卢克-肖左路传中，范佩西10码处第一时间扫射偏出
5'琼斯拿球通过中场                   4'4分钟后，卢克-肖左路传中，范佩西10码处第一时间扫射偏出
5'传球给到范佩西                   4'4分钟后，卢克-肖左路传中，范佩西10码处第一时间扫射偏出
