5'巴萨边路进攻                   5'第5分钟，阿尔巴左路传中，比利亚小禁区边缘推射被贴身回防的马里奥挡出底线
5'阿尔巴把球送入禁区                   5'第5分钟，阿尔巴左路传中，比利亚小禁区边缘推射被贴身回防的马里奥挡出底线
6'前点的比利亚，抢点推射！打在了后卫的腿上                   5'第5分钟，阿尔巴左路传中，比利亚小禁区边缘推射被贴身回防的马里奥挡出底线
6'巴萨获得了角球机会                   5'第5分钟，阿尔巴左路传中，比利亚小禁区边缘推射被贴身回防的马里奥挡出底线
6'传中球，皮克没能抢到落点                   5'第5分钟，阿尔巴左路传中，比利亚小禁区边缘推射被贴身回防的马里奥挡出底线
6'皮克长传分边，小将特略停球没处理好                   5'第5分钟，阿尔巴左路传中，比利亚小禁区边缘推射被贴身回防的马里奥挡出底线
7'这球砸在了他的腿上，弹出了底线                   5'第5分钟，阿尔巴左路传中，比利亚小禁区边缘推射被贴身回防的马里奥挡出底线
7'贝蒂斯丢球之后巴萨的反击没能打出来                   5'第5分钟，阿尔巴左路传中，比利亚小禁区边缘推射被贴身回防的马里奥挡出底线
8'因为贝蒂斯正好是利用了巴萨的战术，就地反抢迫使巴萨没能及时的策动反击                   5'第5分钟，阿尔巴左路传中，比利亚小禁区边缘推射被贴身回防的马里奥挡出底线
8'比利亚接应边路的直塞，处在了越位位置                   5'第5分钟，阿尔巴左路传中，比利亚小禁区边缘推射被贴身回防的马里奥挡出底线
8'哈维把球挑给特略！                   5'第5分钟，阿尔巴左路传中，比利亚小禁区边缘推射被贴身回防的马里奥挡出底线
15'游客1284: 佩刀哪儿去了？---有伤                   15'第15分钟，帕蓬右路传中，莫里纳10码处抢在皮克之前头球攻门高出
15'阿尔巴跟比利亚的2过1，没能过了对方后卫                   15'第15分钟，帕蓬右路传中，莫里纳10码处抢在皮克之前头球攻门高出
15'贝蒂斯快速反击                   15'第15分钟，帕蓬右路传中，莫里纳10码处抢在皮克之前头球攻门高出
15'边路的传中球从禁区中间划过                   15'第15分钟，帕蓬右路传中，莫里纳10码处抢在皮克之前头球攻门高出
16'右路接应的球员把球再次传中！莫利纳头球擦柱而出                   15'第15分钟，帕蓬右路传中，莫里纳10码处抢在皮克之前头球攻门高出
17'桑切斯在对方禁区前沿停球打手了                   15'第15分钟，帕蓬右路传中，莫里纳10码处抢在皮克之前头球攻门高出
17'阿尔维斯传球出现了失误                   15'第15分钟，帕蓬右路传中，莫里纳10码处抢在皮克之前头球攻门高出
17'塞维利亚中路直塞，平托这个时候出击很及时，把球抱住了                   15'第15分钟，帕蓬右路传中，莫里纳10码处抢在皮克之前头球攻门高出
18'文刀围脖小盆友:梅西在替补席么？---在替补席上                   15'第15分钟，帕蓬右路传中，莫里纳10码处抢在皮克之前头球攻门高出
18'今天没有梅西，巴萨的进攻打得还算是流畅                   15'第15分钟，帕蓬右路传中，莫里纳10码处抢在皮克之前头球攻门高出
23'巴萨进攻越打越有威胁                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
23'比利亚！！！                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
23'单刀球放了高射炮                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
23'连续获得良机，比利亚都错失了机会                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
23'这一次又是伊涅斯塔挑给了哈维，反越位成功哈维没有贪功                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
23'选择了横敲给后排插上的比利亚                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
23'不过比利亚的打门放了高射炮                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
24'经过了长时间的伤病，比利亚的状态下滑得有点厉害啊                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
24'这种球打不进比打进都还难                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
24'阿尔维斯边路犯规，贝蒂斯定位球传中到禁区                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
24'被皮克顶了出去！                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
24'外围贝蒂斯球员的一脚远射没踢上力量                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
25'桑切斯脚后跟妙传队友                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
25'伊涅斯塔往底线走                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
25'挑球打在了后卫腿上                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
26'而哈维禁区线上的凌空抽射没能打上力量，被门将给抱住了                   23'第23分钟，伊涅斯塔挑传，反越位成功的哈维点球点附近无私横敲，但比利亚8码处却将皮球射飞
27'贝蒂斯边路渗透                   27'第27分钟，鲁文-卡斯特罗左路传中，无人防守的塞维利亚12码处推射被平托神勇救出
27'传中被中间包抄的球员推向球门！平托飞身扑了一下                   27'第27分钟，鲁文-卡斯特罗左路传中，无人防守的塞维利亚12码处推射被平托神勇救出
27'危险啊                   27'第27分钟，鲁文-卡斯特罗左路传中，无人防守的塞维利亚12码处推射被平托神勇救出
27'巴萨明显又是漏人了                   27'第27分钟，鲁文-卡斯特罗左路传中，无人防守的塞维利亚12码处推射被平托神勇救出
28'桑切斯传中踢出了底线                   27'第27分钟，鲁文-卡斯特罗左路传中，无人防守的塞维利亚12码处推射被平托神勇救出
28'这球给得不好                   27'第27分钟，鲁文-卡斯特罗左路传中，无人防守的塞维利亚12码处推射被平托神勇救出
29'伊涅斯塔转身把球挑给比利亚                   27'第27分钟，鲁文-卡斯特罗左路传中，无人防守的塞维利亚12码处推射被平托神勇救出
29'面对对方3名后卫的围抢，比利亚选择了小角度打门！                   27'第27分钟，鲁文-卡斯特罗左路传中，无人防守的塞维利亚12码处推射被平托神勇救出
29'门将站位不错，把球托出了底线                   27'第27分钟，鲁文-卡斯特罗左路传中，无人防守的塞维利亚12码处推射被平托神勇救出
29'巴萨的角球传中几乎是没有威胁的                   27'第27分钟，鲁文-卡斯特罗左路传中，无人防守的塞维利亚12码处推射被平托神勇救出
30'巴萨快速反击                   27'第27分钟，鲁文-卡斯特罗左路传中，无人防守的塞维利亚12码处推射被平托神勇救出
30'特略加速摆脱了后卫                   27'第27分钟，鲁文-卡斯特罗左路传中，无人防守的塞维利亚12码处推射被平托神勇救出
30'底线回敲！比利亚单刀！又不进                   27'第27分钟，鲁文-卡斯特罗左路传中，无人防守的塞维利亚12码处推射被平托神勇救出
30'比利亚今天运气太差                   27'第27分钟，鲁文-卡斯特罗左路传中，无人防守的塞维利亚12码处推射被平托神勇救出
30'巴萨快速反击                   30'第30分钟，特略禁区左侧底线附近回传，无人防守的比利亚小禁区边缘射门也被阿德里安用腿挡出
30'特略加速摆脱了后卫                   30'第30分钟，特略禁区左侧底线附近回传，无人防守的比利亚小禁区边缘射门也被阿德里安用腿挡出
30'底线回敲！比利亚单刀！又不进                   30'第30分钟，特略禁区左侧底线附近回传，无人防守的比利亚小禁区边缘射门也被阿德里安用腿挡出
30'比利亚今天运气太差                   30'第30分钟，特略禁区左侧底线附近回传，无人防守的比利亚小禁区边缘射门也被阿德里安用腿挡出
31'近距离的推射又输给了门将，还是因为自己打得太正                   30'第30分钟，特略禁区左侧底线附近回传，无人防守的比利亚小禁区边缘射门也被阿德里安用腿挡出
31'巴萨的角球传中被出击的门将没收                   30'第30分钟，特略禁区左侧底线附近回传，无人防守的比利亚小禁区边缘射门也被阿德里安用腿挡出
31'比利亚已经3次单刀机会给错过了                   30'第30分钟，特略禁区左侧底线附近回传，无人防守的比利亚小禁区边缘射门也被阿德里安用腿挡出
32'如此状态，恐怕比利亚下个赛季很难再呆在巴萨了吧                   30'第30分钟，特略禁区左侧底线附近回传，无人防守的比利亚小禁区边缘射门也被阿德里安用腿挡出
