2'戴维斯后场拿球，贝莱林的抢断                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
2'直塞给到右路前插的姆希塔扬                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
2'强突内切，斜传到禁区中路                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
2'奥巴梅杨的抢点，被防守球员抢先解围出底线                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
3'阿森纳的右侧角球，可惜没威胁！！                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
3'贝莱林右路拿球，强突传中到禁区                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
3'福伊特的头球解围                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
3'姆希塔良右路再抢，从戴维斯脚下，将球破坏出边线                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
3'开出几分钟，阿森纳借助主场之势，两边很猛啊                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
4'扎卡左路拿球，直塞给到伊沃比                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
4'伊沃比的强突，内切传中到后点，被解围                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
4'埃里克森前场左路背身拿球                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
5'转身挑传，出球和身后的贝莱林相撞倒地                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
5'球被回防打的托雷拉控制住                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
5'阿森纳的反击，托雷拉分球姆希塔良                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
5'再给扎卡，分球左侧托雷拉                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
5'阿里回防将球控制                   2'开场仅2分钟，姆希塔良前场断球后禁区右侧传中，奥巴梅扬10码处头球攻门高出
10'维尔通亨的手球，领到黄牌！！                   10'阿森纳第10分钟取得领先，维尔通亨防守角球时手球犯规被罚黄牌，奥巴梅扬主罚点球低射中路命中
10'奥巴梅杨主罚，一蹴而就！！                   10'阿森纳第10分钟取得领先，维尔通亨防守角球时手球犯规被罚黄牌，奥巴梅扬主罚点球低射中路命中
10'阿森纳主场1-0领先热刺！！                   10'阿森纳第10分钟取得领先，维尔通亨防守角球时手球犯规被罚黄牌，奥巴梅扬主罚点球低射中路命中
11'奥巴梅杨助跑，右脚抽射球门左下角，洛里斯判断错了方向，球轻松进网！                   10'阿森纳第10分钟取得领先，维尔通亨防守角球时手球犯规被罚黄牌，奥巴梅扬主罚点球低射中路命中
11'慢镜回放显示，扎卡刚刚的任意球传中，穆斯塔菲头球，维尔通亨左手高高举起，手球很明显                   10'阿森纳第10分钟取得领先，维尔通亨防守角球时手球犯规被罚黄牌，奥巴梅扬主罚点球低射中路命中
12'迪尔后场拿球，面对逼抢                   10'阿森纳第10分钟取得领先，维尔通亨防守角球时手球犯规被罚黄牌，奥巴梅扬主罚点球低射中路命中
12'回传给到福伊特，长传前场打身后                   10'阿森纳第10分钟取得领先，维尔通亨防守角球时手球犯规被罚黄牌，奥巴梅扬主罚点球低射中路命中
12'孙兴慜右路拿球，强突到禁区                   10'阿森纳第10分钟取得领先，维尔通亨防守角球时手球犯规被罚黄牌，奥巴梅扬主罚点球低射中路命中
12'面对霍尔丁，趟一步，起脚抽射                   10'阿森纳第10分钟取得领先，维尔通亨防守角球时手球犯规被罚黄牌，奥巴梅扬主罚点球低射中路命中
12'打在了伸腿拦截的霍尔丁脚上出了底线！                   10'阿森纳第10分钟取得领先，维尔通亨防守角球时手球犯规被罚黄牌，奥巴梅扬主罚点球低射中路命中
13'热刺获得了右侧角球机会！！                   10'阿森纳第10分钟取得领先，维尔通亨防守角球时手球犯规被罚黄牌，奥巴梅扬主罚点球低射中路命中
13'角球开出到禁区，第一点被解围出来                   10'阿森纳第10分钟取得领先，维尔通亨防守角球时手球犯规被罚黄牌，奥巴梅扬主罚点球低射中路命中
13'左路阿里和帕帕再抢，球被帕帕破坏出边线                   10'阿森纳第10分钟取得领先，维尔通亨防守角球时手球犯规被罚黄牌，奥巴梅扬主罚点球低射中路命中
13'阿森纳中场抢断，反击啦                   10'阿森纳第10分钟取得领先，维尔通亨防守角球时手球犯规被罚黄牌，奥巴梅扬主罚点球低射中路命中
30'帕帕的身后上抢，踢倒了孙兴慜，犯规                   30'热刺第30分钟扳平，埃里克森左路任意球传中，戴尔前点小禁区边缘顶入近角，1-1
