11'基米希得球带了两步被胡尔特捅出底线                   11'开场11分钟，基米希右侧开出角球，莱万在门前8米处头球被巴卡斯得到
11'角球                   11'开场11分钟，基米希右侧开出角球，莱万在门前8米处头球被巴卡斯得到
11'基米希角球开到点球点附近，莱万的争顶                   11'开场11分钟，基米希右侧开出角球，莱万在门前8米处头球被巴卡斯得到
11'巴尔卡斯抱住皮球                   11'开场11分钟，基米希右侧开出角球，莱万在门前8米处头球被巴卡斯得到
12'这球没顶上力量                   11'开场11分钟，基米希右侧开出角球，莱万在门前8米处头球被巴卡斯得到
12'巴卡西塔斯给到加拉诺普洛斯                   11'开场11分钟，基米希右侧开出角球，莱万在门前8米处头球被巴卡斯得到
13'高球找庞塞                   11'开场11分钟，基米希右侧开出角球，莱万在门前8米处头球被巴卡斯得到
14'回传克纳里迪斯                   11'开场11分钟，基米希右侧开出角球，莱万在门前8米处头球被巴卡斯得到
14'再到巴卡西塔斯，接球被聚勒断下                   11'开场11分钟，基米希右侧开出角球，莱万在门前8米处头球被巴卡斯得到
61'找到蒂亚戈，直塞格纳布里                   61'拜仁第61分钟打破僵局
61'传中差点乌龙，顶出来                   61'拜仁第61分钟打破僵局
61'胡梅尔斯得球再回传中路，罗本打门                   61'拜仁第61分钟打破僵局
62'门将扑了出来，马丁内斯凌空一脚                   61'拜仁第61分钟打破僵局
62'球进了                   61'拜仁第61分钟打破僵局
62'。。。。。。。刚刚说见不到马丁内斯身影                   61'拜仁第61分钟打破僵局
63'回看一下比赛                   61'拜仁第61分钟打破僵局
64'罗本的一脚打门被守门员扑出，到了马丁内斯身前                   61'拜仁第61分钟打破僵局
64'凌空一脚打门进入球门                   61'拜仁第61分钟打破僵局
64'拜仁客场1比0领下，马丁内斯帮助球队建功                   61'拜仁第61分钟打破僵局
63'回看一下比赛                   63'拜仁第63分钟扩大比分，蒂亚戈中路分球，格纳布里禁区左侧脚后跟传球，拉菲尼亚传中，莱万后点距门4米处轻松推进空门，2比0
64'罗本的一脚打门被守门员扑出，到了马丁内斯身前                   63'拜仁第63分钟扩大比分，蒂亚戈中路分球，格纳布里禁区左侧脚后跟传球，拉菲尼亚传中，莱万后点距门4米处轻松推进空门，2比0
64'凌空一脚打门进入球门                   63'拜仁第63分钟扩大比分，蒂亚戈中路分球，格纳布里禁区左侧脚后跟传球，拉菲尼亚传中，莱万后点距门4米处轻松推进空门，2比0
64'拜仁客场1比0领下，马丁内斯帮助球队建功                   63'拜仁第63分钟扩大比分，蒂亚戈中路分球，格纳布里禁区左侧脚后跟传球，拉菲尼亚传中，莱万后点距门4米处轻松推进空门，2比0
65'拜仁换人，格雷茨卡换下了G罗                   63'拜仁第63分钟扩大比分，蒂亚戈中路分球，格纳布里禁区左侧脚后跟传球，拉菲尼亚传中，莱万后点距门4米处轻松推进空门，2比0
65'回到比赛                   63'拜仁第63分钟扩大比分，蒂亚戈中路分球，格纳布里禁区左侧脚后跟传球，拉菲尼亚传中，莱万后点距门4米处轻松推进空门，2比0
65'拜仁进攻                   63'拜仁第63分钟扩大比分，蒂亚戈中路分球，格纳布里禁区左侧脚后跟传球，拉菲尼亚传中，莱万后点距门4米处轻松推进空门，2比0
65'格纳布里左侧带球，给到拉菲尼亚                   63'拜仁第63分钟扩大比分，蒂亚戈中路分球，格纳布里禁区左侧脚后跟传球，拉菲尼亚传中，莱万后点距门4米处轻松推进空门，2比0
65'横传到中路，莱万的推射                   63'拜仁第63分钟扩大比分，蒂亚戈中路分球，格纳布里禁区左侧脚后跟传球，拉菲尼亚传中，莱万后点距门4米处轻松推进空门，2比0
65'又进了                   63'拜仁第63分钟扩大比分，蒂亚戈中路分球，格纳布里禁区左侧脚后跟传球，拉菲尼亚传中，莱万后点距门4米处轻松推进空门，2比0
66'瞬间进了两个啊                   63'拜仁第63分钟扩大比分，蒂亚戈中路分球，格纳布里禁区左侧脚后跟传球，拉菲尼亚传中，莱万后点距门4米处轻松推进空门，2比0
66'莱万的进球，拉菲尼亚助攻                   63'拜仁第63分钟扩大比分，蒂亚戈中路分球，格纳布里禁区左侧脚后跟传球，拉菲尼亚传中，莱万后点距门4米处轻松推进空门，2比0
66'拜仁客场2比0了                   63'拜仁第63分钟扩大比分，蒂亚戈中路分球，格纳布里禁区左侧脚后跟传球，拉菲尼亚传中，莱万后点距门4米处轻松推进空门，2比0
