2'斯旺西球员何塞-卡纳斯大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   2'开场仅2分钟，阿森纳解围角球，卡纳斯外围射门偏出
5'斯旺西球员谢尔维大禁区外尝试右脚射门,可惜皮球高出球门.                   2'开场仅2分钟，阿森纳解围角球，卡纳斯外围射门偏出
11'阿森纳球员默特萨克大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是拉姆塞.                   11'第11分钟，拉姆塞右路传中，默特萨克头球攻门偏出
28'弗拉米尼为阿森纳赢得一个任意球.                   27'第27分钟，拉姆塞回传力量稍大给后防制造险情，斯泽斯尼大脚解围被米楚挡出底线
28'斯旺西球员米楚拼抢犯规,对手获得控球权.                   27'第27分钟，拉姆塞回传力量稍大给后防制造险情，斯泽斯尼大脚解围被米楚挡出底线
28'阿森纳球员吉鲁拼抢犯规,对手获得控球权.                   27'第27分钟，拉姆塞回传力量稍大给后防制造险情，斯泽斯尼大脚解围被米楚挡出底线
28'阿玛特为斯旺西赢得一个任意球.                   27'第27分钟，拉姆塞回传力量稍大给后防制造险情，斯泽斯尼大脚解围被米楚挡出底线
45'斯旺西球员德古斯曼大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   45'第45分钟，德-古兹曼25码处任意球直接射门高出
45'阿森纳吉鲁受伤倒地,比赛暂停                   45'第45分钟，德-古兹曼25码处任意球直接射门高出
45'+2'暂停结束,球员们重新开始比赛.                   45'第45分钟，德-古兹曼25码处任意球直接射门高出
45'+3'阿森纳球员吉鲁大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是格纳布里.                   45'第45分钟，德-古兹曼25码处任意球直接射门高出
45'+4'上半场结束,斯旺西 0-0 阿森纳,稍事休息,我们一会来看看下半场两队的表现.                   45'第45分钟，德-古兹曼25码处任意球直接射门高出
47'何塞-卡纳斯将球处理出底线,阿森纳获得角球.                   45'第45分钟，德-古兹曼25码处任意球直接射门高出
47'阿森纳球员吉鲁拼抢犯规,对手获得控球权.                   45'第45分钟，德-古兹曼25码处任意球直接射门高出
47'米楚为斯旺西赢得一个任意球.                   45'第45分钟，德-古兹曼25码处任意球直接射门高出
51'射门!!!阿森纳球员格纳布里大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是厄齐尔.                   51'第51分钟，厄齐尔传球，纳布里禁区右侧16码处低射被沃姆没收
47'何塞-卡纳斯将球处理出底线,阿森纳获得角球.                   46'阿森纳1分钟后险些扩大比分，拉姆塞反击中直传，厄齐尔禁区左肋12码处单刀射门被沃姆扑出
47'阿森纳球员吉鲁拼抢犯规,对手获得控球权.                   46'阿森纳1分钟后险些扩大比分，拉姆塞反击中直传，厄齐尔禁区左肋12码处单刀射门被沃姆扑出
47'米楚为斯旺西赢得一个任意球.                   46'阿森纳1分钟后险些扩大比分，拉姆塞反击中直传，厄齐尔禁区左肋12码处单刀射门被沃姆扑出
49'斯旺西球员米楚一脚直塞球给劳特里奇,但是边裁举旗显示后者已经越位.                   46'阿森纳1分钟后险些扩大比分，拉姆塞反击中直传，厄齐尔禁区左肋12码处单刀射门被沃姆扑出
67'斯旺西球员博尼大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是波苏埃洛.                   67'第67分钟，替补出场的波苏埃洛传球，伯尼禁区前射门偏出
69'射门!!!斯旺西球员代尔大禁区外右脚射门,被对方守门员横身扑出.给他传球的是蒂恩达利.                   67'第67分钟，替补出场的波苏埃洛传球，伯尼禁区前射门偏出
69'斯泽斯尼将球处理出底线,斯旺西获得角球.                   67'第67分钟，替补出场的波苏埃洛传球，伯尼禁区前射门偏出
76'射门!!!斯旺西球员博尼球门右侧小角度右脚射门,被对方守门员横身扑出.                   76'第76分钟，威尔谢尔丢球，伯尼禁区右侧小角度射门被斯泽斯尼扑出
76'斯泽斯尼将球处理出底线,斯旺西获得角球.                   76'第76分钟，威尔谢尔丢球，伯尼禁区右侧小角度射门被斯泽斯尼扑出
78'阿森纳换人,阿尔特塔换下格纳布里                   76'第76分钟，威尔谢尔丢球，伯尼禁区右侧小角度射门被斯泽斯尼扑出
78'阿尔特塔为阿森纳在右路,赢得一个任意球.                   76'第76分钟，威尔谢尔丢球，伯尼禁区右侧小角度射门被斯泽斯尼扑出
78'斯旺西球员米楚拼抢犯规,对手获得控球权.                   76'第76分钟，威尔谢尔丢球，伯尼禁区右侧小角度射门被斯泽斯尼扑出
79'阿森纳球员默特萨克大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是厄齐尔.                   76'第76分钟，威尔谢尔丢球，伯尼禁区右侧小角度射门被斯泽斯尼扑出
84'斯旺西球员齐科被主裁判出示了一张黄牌.                   82'斯旺西第82分钟扳回一城，本-戴维斯同伯尼踢墙配合，默特萨克转身稍慢，本-戴维斯小禁区边缘捅射破门，1-2
84'斯旺西球员何塞-卡纳斯手球犯规,对手获得球权.                   82'斯旺西第82分钟扳回一城，本-戴维斯同伯尼踢墙配合，默特萨克转身稍慢，本-戴维斯小禁区边缘捅射破门，1-2
84'黄牌！斯旺西球员何塞-卡纳斯因为故意手球,被主裁判出示黄牌.                   82'斯旺西第82分钟扳回一城，本-戴维斯同伯尼踢墙配合，默特萨克转身稍慢，本-戴维斯小禁区边缘捅射破门，1-2
87'斯旺西球员齐科大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是米楚.                   87'第87分钟，萨尼亚禁区内解围打在弗拉米尼手上，裁判克拉滕伯格拒绝判罚点球
88'阿森纳换人,蒙雷亚尔换下厄齐尔                   87'第87分钟，萨尼亚禁区内解围打在弗拉米尼手上，裁判克拉滕伯格拒绝判罚点球
90'+2'阿森纳换人,詹金森换下威尔谢尔                   87'第87分钟，萨尼亚禁区内解围打在弗拉米尼手上，裁判克拉滕伯格拒绝判罚点球
90'+3'阿森纳球员阿尔特塔拼抢犯规,对手获得控球权.                   87'第87分钟，萨尼亚禁区内解围打在弗拉米尼手上，裁判克拉滕伯格拒绝判罚点球
90'+3'米楚为斯旺西在对方半场,赢得一个任意球.                   87'第87分钟，萨尼亚禁区内解围打在弗拉米尼手上，裁判克拉滕伯格拒绝判罚点球
90'+3'黄牌！阿森纳球员阿尔特塔因为恶意犯规,被主裁判出示黄牌.                   87'第87分钟，萨尼亚禁区内解围打在弗拉米尼手上，裁判克拉滕伯格拒绝判罚点球
90'+4'阿森纳球员吉布斯拼抢犯规,对手获得控球权.                   87'第87分钟，萨尼亚禁区内解围打在弗拉米尼手上，裁判克拉滕伯格拒绝判罚点球
90'+4'齐科为斯旺西在右路,赢得一个任意球.                   87'第87分钟，萨尼亚禁区内解围打在弗拉米尼手上，裁判克拉滕伯格拒绝判罚点球
90'+5'下半场结束,斯旺西 1-2 阿森纳                   87'第87分钟，萨尼亚禁区内解围打在弗拉米尼手上，裁判克拉滕伯格拒绝判罚点球
