1'裁判哨响！上半场比赛开始了！                   1'第1分钟，阿萨莫阿和马图伊迪连续尝试远射
1'本坦库尔直传前场右侧！                   1'第1分钟，阿萨莫阿和马图伊迪连续尝试远射
1'被断了！                   1'第1分钟，阿萨莫阿和马图伊迪连续尝试远射
1'拉齐奥左侧反击！                   1'第1分钟，阿萨莫阿和马图伊迪连续尝试远射
1'给到中路米林科维奇！                   1'第1分钟，阿萨莫阿和马图伊迪连续尝试远射
1'交给帕罗洛！                   1'第1分钟，阿萨莫阿和马图伊迪连续尝试远射
2'直传弧顶！                   1'第1分钟，阿萨莫阿和马图伊迪连续尝试远射
2'拼抢后被布冯拿到！                   1'第1分钟，阿萨莫阿和马图伊迪连续尝试远射
24'GOOOOOOOOOOOOOAL！！                   24'尤文24分钟取得领先
24'尤文取得领先！                   24'尤文24分钟取得领先
25'拉齐奥中圈开球！                   24'尤文24分钟取得领先
25'长传前场中路！                   24'尤文24分钟取得领先
25'拼抢后基耶利尼得球！                   24'尤文24分钟取得领先
25'回传给布冯！                   24'尤文24分钟取得领先
25'交给基耶利尼！                   24'尤文24分钟取得领先
26'后场推进长传转移！                   24'尤文24分钟取得领先
26'右侧利希施泰纳得球！                   24'尤文24分钟取得领先
26'分给科斯塔！快速推进知识右路赫迪拉！                   24'尤文24分钟取得领先
26'传中球被断了！                   24'尤文24分钟取得领先
26'伊瓜因反抢回来！右侧突入禁区！                   24'尤文24分钟取得领先
26'趟球失误出了底线！                   24'尤文24分钟取得领先
27'拉齐奥右侧传中！                   24'尤文24分钟取得领先
27'后点米林科维奇头球攻门！                   24'尤文24分钟取得领先
27'布冯跃起摘下球！                   24'尤文24分钟取得领先
38'巴斯托斯后场拿球！                   37'尤文第37分钟险些扩大比分，对方后腰卢卡斯回传，斯特拉科沙解围被伊瓜因身体封堵弹回中楣，球砸在门线附近被斯特拉科沙没收，慢镜显示球的整体并未过线
38'伊瓜因逼抢出了边线！                   37'尤文第37分钟险些扩大比分，对方后腰卢卡斯回传，斯特拉科沙解围被伊瓜因身体封堵弹回中楣，球砸在门线附近被斯特拉科沙没收，慢镜显示球的整体并未过线
38'拉齐奥后场长传！                   37'尤文第37分钟险些扩大比分，对方后腰卢卡斯回传，斯特拉科沙解围被伊瓜因身体封堵弹回中楣，球砸在门线附近被斯特拉科沙没收，慢镜显示球的整体并未过线
39'米林科维奇左侧得球传中！                   37'尤文第37分钟险些扩大比分，对方后腰卢卡斯回传，斯特拉科沙解围被伊瓜因身体封堵弹回中楣，球砸在门线附近被斯特拉科沙没收，慢镜显示球的整体并未过线
39'被头球解围出去！                   37'尤文第37分钟险些扩大比分，对方后腰卢卡斯回传，斯特拉科沙解围被伊瓜因身体封堵弹回中楣，球砸在门线附近被斯特拉科沙没收，慢镜显示球的整体并未过线
39'球出了左侧底线！                   37'尤文第37分钟险些扩大比分，对方后腰卢卡斯回传，斯特拉科沙解围被伊瓜因身体封堵弹回中楣，球砸在门线附近被斯特拉科沙没收，慢镜显示球的整体并未过线
