1'上半场比赛开始！！                   1'双方第1分钟打出快节奏
1'首先开球的是塞维利亚                   1'双方第1分钟打出快节奏
1'来看下塞维利亚的首发                   1'双方第1分钟打出快节奏
2'塞维利亚（4-1-4-1）：里科；马里亚诺，拉米，卡里索，埃斯库德罗；恩宗齐；比托洛，萨拉维亚，弗朗哥-巴斯克斯，纳斯里；比耶托                   1'双方第1分钟打出快节奏
2'塞维利亚前场禁区外围远射                   1'双方第1分钟打出快节奏
2'球被后卫碰了一下出了底线                   1'双方第1分钟打出快节奏
2'塞维利亚的角球机会                   1'双方第1分钟打出快节奏
2'角球送后点                   1'双方第1分钟打出快节奏
2'队友的抽射将球打偏                   1'双方第1分钟打出快节奏
2'巴萨这边的反击机会                   1'双方第1分钟打出快节奏
3'苏亚雷斯禁区内推射被里科扑了出去                   1'双方第1分钟打出快节奏
3'比赛开始后双方都没有进行过多的试探                   1'双方第1分钟打出快节奏
2'塞维利亚（4-1-4-1）：里科；马里亚诺，拉米，卡里索，埃斯库德罗；恩宗齐；比托洛，萨拉维亚，弗朗哥-巴斯克斯，纳斯里；比耶托                   2'巴萨第2分钟也创造机会，梅西右路内切传球，内马尔快传，苏亚雷斯禁区左侧12码处推射被里科扑出
2'塞维利亚前场禁区外围远射                   2'巴萨第2分钟也创造机会，梅西右路内切传球，内马尔快传，苏亚雷斯禁区左侧12码处推射被里科扑出
2'球被后卫碰了一下出了底线                   2'巴萨第2分钟也创造机会，梅西右路内切传球，内马尔快传，苏亚雷斯禁区左侧12码处推射被里科扑出
2'塞维利亚的角球机会                   2'巴萨第2分钟也创造机会，梅西右路内切传球，内马尔快传，苏亚雷斯禁区左侧12码处推射被里科扑出
2'角球送后点                   2'巴萨第2分钟也创造机会，梅西右路内切传球，内马尔快传，苏亚雷斯禁区左侧12码处推射被里科扑出
2'队友的抽射将球打偏                   2'巴萨第2分钟也创造机会，梅西右路内切传球，内马尔快传，苏亚雷斯禁区左侧12码处推射被里科扑出
2'巴萨这边的反击机会                   2'巴萨第2分钟也创造机会，梅西右路内切传球，内马尔快传，苏亚雷斯禁区左侧12码处推射被里科扑出
3'苏亚雷斯禁区内推射被里科扑了出去                   2'巴萨第2分钟也创造机会，梅西右路内切传球，内马尔快传，苏亚雷斯禁区左侧12码处推射被里科扑出
3'比赛开始后双方都没有进行过多的试探                   2'巴萨第2分钟也创造机会，梅西右路内切传球，内马尔快传，苏亚雷斯禁区左侧12码处推射被里科扑出
5'今天的比赛丹尼斯-苏亚雷斯轮换戈麦斯出场                   2'巴萨第2分钟也创造机会，梅西右路内切传球，内马尔快传，苏亚雷斯禁区左侧12码处推射被里科扑出
5'巴萨上赛季联赛客负塞维利亚                   2'巴萨第2分钟也创造机会，梅西右路内切传球，内马尔快传，苏亚雷斯禁区左侧12码处推射被里科扑出
5'而在此后4次交锋均取胜                   2'巴萨第2分钟也创造机会，梅西右路内切传球，内马尔快传，苏亚雷斯禁区左侧12码处推射被里科扑出
5'塞维利亚右路斜传球给到禁区左路                   2'巴萨第2分钟也创造机会，梅西右路内切传球，内马尔快传，苏亚雷斯禁区左侧12码处推射被里科扑出
15'双方今天的节奏都很快                   15'塞维利亚第15分钟取得领先，萨拉比亚直传，塞尔吉-罗伯托防守疏漏，比托洛突破至小禁区前单刀捅射入网
15'巴萨这边反击来了                   15'塞维利亚第15分钟取得领先，萨拉比亚直传，塞尔吉-罗伯托防守疏漏，比托洛突破至小禁区前单刀捅射入网
15'左路禁区内拿球                   15'塞维利亚第15分钟取得领先，萨拉比亚直传，塞尔吉-罗伯托防守疏漏，比托洛突破至小禁区前单刀捅射入网
15'这球没有形成打门                   15'塞维利亚第15分钟取得领先，萨拉比亚直传，塞尔吉-罗伯托防守疏漏，比托洛突破至小禁区前单刀捅射入网
15'塞维利亚的反击机会                   15'塞维利亚第15分钟取得领先，萨拉比亚直传，塞尔吉-罗伯托防守疏漏，比托洛突破至小禁区前单刀捅射入网
16'1-0！！！                   15'塞维利亚第15分钟取得领先，萨拉比亚直传，塞尔吉-罗伯托防守疏漏，比托洛突破至小禁区前单刀捅射入网
16'维托洛！！                   15'塞维利亚第15分钟取得领先，萨拉比亚直传，塞尔吉-罗伯托防守疏漏，比托洛突破至小禁区前单刀捅射入网
16'塞尔维亚中场拿球送直塞，这球给到了巴萨球员的身后，维托洛接球后形成单刀，面对门将捅射破门！！                   15'塞维利亚第15分钟取得领先，萨拉比亚直传，塞尔吉-罗伯托防守疏漏，比托洛突破至小禁区前单刀捅射入网
17'塞维利亚这次反击打得简单又有效                   15'塞维利亚第15分钟取得领先，萨拉比亚直传，塞尔吉-罗伯托防守疏漏，比托洛突破至小禁区前单刀捅射入网
18'本赛季塞维利亚的主场可是全胜啊                   15'塞维利亚第15分钟取得领先，萨拉比亚直传，塞尔吉-罗伯托防守疏漏，比托洛突破至小禁区前单刀捅射入网
18'现在他们又领先了巴萨                   15'塞维利亚第15分钟取得领先，萨拉比亚直传，塞尔吉-罗伯托防守疏漏，比托洛突破至小禁区前单刀捅射入网
18'巴萨前场拿球                   15'塞维利亚第15分钟取得领先，萨拉比亚直传，塞尔吉-罗伯托防守疏漏，比托洛突破至小禁区前单刀捅射入网
18'没有机会先回敲                   15'塞维利亚第15分钟取得领先，萨拉比亚直传，塞尔吉-罗伯托防守疏漏，比托洛突破至小禁区前单刀捅射入网
43'1-1！！！！                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
43'梅西！！！                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
43'个人能力极强啊                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
43'MSN再次发威                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
43'拉基蒂奇前场拿球直塞给到内马尔，内马尔带球内切后横敲，梅西跟进上来直接推射近角破门！！                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
44'整套动作没有过多的盘带                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
44'裁判这边又出牌了                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
44'塞尔吉-罗伯托中场从身后拉人犯规                   43'巴萨第43分钟扳平比分，内马尔突入禁区左侧内切吸引防守后回传，梅西禁区弧内第一时间推射左下角入网，1-1
