1'主裁判哨响，上半场开始了                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
1'主场作战的亚泰率先开球                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
1'身穿红色战袍的主队从左侧向右侧进攻                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
1'作客的上港一身白色战袍，从右向左进攻                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
1'亚泰回敲给到右侧的蒋哲                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
1'回敲到中间的孙捷，，长传起球                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
2'中圈附近，，右侧被上港球员捅回来                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
2'后场亚泰倒脚，给到孙捷，，再起长传                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
2'前场何超拿球，分右路找马里尼奥                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
2'边路速度相当快，，一记传中                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
2'被对手挡出了边线                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
2'右侧界外球，，直接大力扔入禁区                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
2'双方拼抢，，防守队员破坏出来                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
2'外围左侧到了谭龙脚下                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
3'左侧突破，，下到了底线，，传中起球                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
3'禁区内石柯卡住位置，把球解围                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
3'中圈附近蒋哲拿球，向前长传                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
3'直接飞出边线                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
4'亚泰虽然实力处于下风，但主场作战，陈金刚派出了进攻三叉戟，放弃了中卫伊斯梅洛夫，要对攻的节奏                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
4'亚泰中圈拿球，斜传分边                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
4'左侧蔡慧康把球拦截                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
4'交给中圈内的武磊，，一记挑传向前                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
4'于睿把球得到，，分身前给何超                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
4'何超斜传，，前场左侧给到马里尼奥                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
7'于海跟上，右脚攻门，，，直奔边线而去啊。。。。这球打的有点水啊                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
7'亚泰后场拿球，何超控制                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
7'斜传左路给到维贝                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
7'维贝低球一记斜传，，中路给谭龙                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
7'谭龙在分到右侧                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
7'直接是传出了边线                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
7'上港后场发球，给到左侧，双方争顶                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
8'蒋哲把球顶出了边线                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
8'上港界外球，给到中圈附近                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
8'左侧于海拼抢绊倒了马里尼奥                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
8'中圈右侧亚泰的定位球                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
8'定位球给出来，，斜传到了禁区前沿                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
9'李光得球，，外围有空当                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
9'自己直接射了，，，直奔右上角                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
9'颜骏凌飞身一记神扑，，，球是击中了横梁弹出                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
9'这球太悬了                   7'第7分钟长春队禁区外任意球打在人墙里折射而出，维贝禁区外抢射被颜骏凌全力飞身把球打出，马里尼奥在右路起左脚小角度打出高质量补射，但又被颜骏凌神奇把球扑出
