4'小法挑给了右路插上的阿尔维斯                   4'第4分钟，梅西送出斜传，但桑切斯单刀机会停球稍大，托尼奥及时出击没收
4'格兰纳达专心防守，阿尔维斯的传中球被破坏出边线                   4'第4分钟，梅西送出斜传，但桑切斯单刀机会停球稍大，托尼奥及时出击没收
4'手机用户3184796933:朝廷直播吗？要不要起来看下？纠结中--国内没有电视台直播哦，新浪体育网络视频直播中                   4'第4分钟，梅西送出斜传，但桑切斯单刀机会停球稍大，托尼奥及时出击没收
4'阿德回追防守~断下了对方前锋的脚下球                   4'第4分钟，梅西送出斜传，但桑切斯单刀机会停球稍大，托尼奥及时出击没收
5'单刀球了~~~                   4'第4分钟，梅西送出斜传，但桑切斯单刀机会停球稍大，托尼奥及时出击没收
5'又是桑切斯！！！                   4'第4分钟，梅西送出斜传，但桑切斯单刀机会停球稍大，托尼奥及时出击没收
5'空门不进帝，停球之后被出击的门将将险情化解                   4'第4分钟，梅西送出斜传，但桑切斯单刀机会停球稍大，托尼奥及时出击没收
5'倒霉的桑切斯，梅西这脚斜塞给得太完美了                   4'第4分钟，梅西送出斜传，但桑切斯单刀机会停球稍大，托尼奥及时出击没收
6'桑切斯只需要轻轻一推就可以了，但是他居然连射门动作都没做出来，进攻就结束了                   4'第4分钟，梅西送出斜传，但桑切斯单刀机会停球稍大，托尼奥及时出击没收
6'虽然上一场桑切斯打破了进球晃，不过看起来他依旧没有找回最佳状态                   4'第4分钟，梅西送出斜传，但桑切斯单刀机会停球稍大，托尼奥及时出击没收
7'伊格哈罗戏耍了马斯切拉诺，边路传中~                   4'第4分钟，梅西送出斜传，但桑切斯单刀机会停球稍大，托尼奥及时出击没收
7'中间抢点的队友凌空打门，巴尔德斯将球扑了一下                   4'第4分钟，梅西送出斜传，但桑切斯单刀机会停球稍大，托尼奥及时出击没收
7'还好反应够快，把球抱住了                   4'第4分钟，梅西送出斜传，但桑切斯单刀机会停球稍大，托尼奥及时出击没收
17'倒霉催的，刚才网络出了点小状况                   16'第16分钟，梅西直传，阿德里亚诺禁区左侧传中却偏转向球门，托尼奥轻松得到
17'抱歉了，大家                   16'第16分钟，梅西直传，阿德里亚诺禁区左侧传中却偏转向球门，托尼奥轻松得到
17'现在终于恢复了，继续为大家解说比赛                   16'第16分钟，梅西直传，阿德里亚诺禁区左侧传中却偏转向球门，托尼奥轻松得到
17'桑切斯左路下底传中，布教授~头球一点，门前的梅西只差一点啊                   16'第16分钟，梅西直传，阿德里亚诺禁区左侧传中却偏转向球门，托尼奥轻松得到
18'这球要是勾正了，门将要倒霉的                   16'第16分钟，梅西直传，阿德里亚诺禁区左侧传中却偏转向球门，托尼奥轻松得到
18'手机用户3184796933:我觉得374有射门恐惧症了，好多好机会要么传球，要么打出后卫水准的门---呵呵，桑切斯过不了自己这一关                   16'第16分钟，梅西直传，阿德里亚诺禁区左侧传中却偏转向球门，托尼奥轻松得到
19'梅西又一次找到桑切斯~                   16'第16分钟，梅西直传，阿德里亚诺禁区左侧传中却偏转向球门，托尼奥轻松得到
19'这一回桑切斯横向摆脱，闪开角度就打门了！可惜球打高了                   16'第16分钟，梅西直传，阿德里亚诺禁区左侧传中却偏转向球门，托尼奥轻松得到
19'梅西又一次找到桑切斯~                   19'第19分钟，梅西再度在中路送出直传，但桑切斯禁区左侧15码处射门偏出右上角
19'这一回桑切斯横向摆脱，闪开角度就打门了！可惜球打高了                   19'第19分钟，梅西再度在中路送出直传，但桑切斯禁区左侧15码处射门偏出右上角
20'蒂亚戈中场带球，还是没有哈维显得那么会护球啊                   19'第19分钟，梅西再度在中路送出直传，但桑切斯禁区左侧15码处射门偏出右上角
20'哈维的原地转身满血复活...并不是谁都能学会的                   19'第19分钟，梅西再度在中路送出直传，但桑切斯禁区左侧15码处射门偏出右上角
20'巴萨继续压制对手                   19'第19分钟，梅西再度在中路送出直传，但桑切斯禁区左侧15码处射门偏出右上角
21'阿尔维斯送出好球~传中落点不错                   19'第19分钟，梅西再度在中路送出直传，但桑切斯禁区左侧15码处射门偏出右上角
21'而抢点头球的蒂亚戈点球点上将球顶高了                   19'第19分钟，梅西再度在中路送出直传，但桑切斯禁区左侧15码处射门偏出右上角
21'或许换到小法来处理效果会更好                   19'第19分钟，梅西再度在中路送出直传，但桑切斯禁区左侧15码处射门偏出右上角
21'毕竟英超球员头球都不赖                   19'第19分钟，梅西再度在中路送出直传，但桑切斯禁区左侧15码处射门偏出右上角
21'小法倒在了禁区内                   19'第19分钟，梅西再度在中路送出直传，但桑切斯禁区左侧15码处射门偏出右上角
22'被后卫扛了一下，小法顺势倒地~                   19'第19分钟，梅西再度在中路送出直传，但桑切斯禁区左侧15码处射门偏出右上角
22'裁判没有吹点球                   19'第19分钟，梅西再度在中路送出直传，但桑切斯禁区左侧15码处射门偏出右上角
22'奇怪的是裁判也没有给小法黄牌                   19'第19分钟，梅西再度在中路送出直传，但桑切斯禁区左侧15码处射门偏出右上角
22'这是吹的？小法假摔吗？                   19'第19分钟，梅西再度在中路送出直传，但桑切斯禁区左侧15码处射门偏出右上角
22'裁判莫名其妙呀                   19'第19分钟，梅西再度在中路送出直传，但桑切斯禁区左侧15码处射门偏出右上角
21'阿尔维斯送出好球~传中落点不错                   21'第21分钟，梅西挑传禁区左侧，法布雷加斯在托尔热防守下摔倒，裁判拒绝判罚点球
21'而抢点头球的蒂亚戈点球点上将球顶高了                   21'第21分钟，梅西挑传禁区左侧，法布雷加斯在托尔热防守下摔倒，裁判拒绝判罚点球
21'或许换到小法来处理效果会更好                   21'第21分钟，梅西挑传禁区左侧，法布雷加斯在托尔热防守下摔倒，裁判拒绝判罚点球
21'毕竟英超球员头球都不赖                   21'第21分钟，梅西挑传禁区左侧，法布雷加斯在托尔热防守下摔倒，裁判拒绝判罚点球
21'小法倒在了禁区内                   21'第21分钟，梅西挑传禁区左侧，法布雷加斯在托尔热防守下摔倒，裁判拒绝判罚点球
22'被后卫扛了一下，小法顺势倒地~                   21'第21分钟，梅西挑传禁区左侧，法布雷加斯在托尔热防守下摔倒，裁判拒绝判罚点球
22'裁判没有吹点球                   21'第21分钟，梅西挑传禁区左侧，法布雷加斯在托尔热防守下摔倒，裁判拒绝判罚点球
22'奇怪的是裁判也没有给小法黄牌                   21'第21分钟，梅西挑传禁区左侧，法布雷加斯在托尔热防守下摔倒，裁判拒绝判罚点球
22'这是吹的？小法假摔吗？                   21'第21分钟，梅西挑传禁区左侧，法布雷加斯在托尔热防守下摔倒，裁判拒绝判罚点球
22'裁判莫名其妙呀                   21'第21分钟，梅西挑传禁区左侧，法布雷加斯在托尔热防守下摔倒，裁判拒绝判罚点球
23'慢动作来看后卫确实在小法身后有个拉人和绊脚的动作                   21'第21分钟，梅西挑传禁区左侧，法布雷加斯在托尔热防守下摔倒，裁判拒绝判罚点球
23'虽然不大，但是小法的摔倒也是有些夸张                   21'第21分钟，梅西挑传禁区左侧，法布雷加斯在托尔热防守下摔倒，裁判拒绝判罚点球
23'额，刚才说拉人是打错了，是撞人才对                   21'第21分钟，梅西挑传禁区左侧，法布雷加斯在托尔热防守下摔倒，裁判拒绝判罚点球
24'                    21'第21分钟，梅西挑传禁区左侧，法布雷加斯在托尔热防守下摔倒，裁判拒绝判罚点球
