2'切沃球员哈特马吉拼抢犯规,对手获得控球权.                   2'开场2分钟，博扬右路低传，帕齐尼前点小角度推射偏出
2'阿巴特为AC米兰在右路,赢得一个任意球.                   2'开场2分钟，博扬右路低传，帕齐尼前点小角度推射偏出
2'AC米兰球员帕齐尼小禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是博扬.                   2'开场2分钟，博扬右路低传，帕齐尼前点小角度推射偏出
4'切沃球员德拉梅手球犯规,对手获得球权.                   2'开场2分钟，博扬右路低传，帕齐尼前点小角度推射偏出
5'黄牌！切沃球员德拉梅因为故意手球,被主裁判出示黄牌.                   2'开场2分钟，博扬右路低传，帕齐尼前点小角度推射偏出
6'AC米兰球员帕齐尼大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是安布罗西尼.                   6'第6分钟，海特马伊中场丢球，安布罗西尼传球，帕齐尼在门前25米处打高
13'切沃球员泰罗拼抢犯规,对手获得控球权.                   13'第13分钟，沙拉维接到派遣你传球，在门前20米处抽射右上角被索伦蒂诺轻松得到
13'安布罗西尼为AC米兰赢得一个任意球.                   13'第13分钟，沙拉维接到派遣你传球，在门前20米处抽射右上角被索伦蒂诺轻松得到
13'射门!!!AC米兰球员沙拉维大禁区外右脚射门,被对方守门员横身扑出.给他传球的是帕齐尼.                   13'第13分钟，沙拉维接到派遣你传球，在门前20米处抽射右上角被索伦蒂诺轻松得到
14'AC米兰康斯坦特受伤倒地,比赛暂停                   13'第13分钟，沙拉维接到派遣你传球，在门前20米处抽射右上角被索伦蒂诺轻松得到
14'暂停结束,球员们重新开始比赛.                   13'第13分钟，沙拉维接到派遣你传球，在门前20米处抽射右上角被索伦蒂诺轻松得到
16'进球啦！！！AC米兰球员埃马纽尔森大禁区右侧左脚射门,球从左下角飞进球门,球进了! AC米兰 1-0 切沃.                   13'第13分钟，沙拉维接到派遣你传球，在门前20米处抽射右上角被索伦蒂诺轻松得到
46'N-弗雷为切沃在右路,赢得一个任意球.                   46'但仅过1分钟，卢西亚诺左侧开出角球，佩利西耶前点抢在沙拉维前面，距门4米处头球蹭入网窝，1比1
46'AC米兰球员沙拉维危险动作,对手获得控球权.                   46'但仅过1分钟，卢西亚诺左侧开出角球，佩利西耶前点抢在沙拉维前面，距门4米处头球蹭入网窝，1比1
35'射门!!!切沃球员泰罗大禁区外右脚射门,被对方守门员横身扑出.给他传球的是德拉梅.                   35'第35分钟，泰雷奥在门前22米处低射被佩利西耶漏过，视线受阻的阿比亚蒂倒地封出右门柱
35'阿比亚蒂将球处理出底线,切沃获得角球.                   35'第35分钟，泰雷奥在门前22米处低射被佩利西耶漏过，视线受阻的阿比亚蒂倒地封出右门柱
36'切沃球员瓜纳大禁区外右脚射门,被防守球员封堵.给他传球的是德拉梅.                   35'第35分钟，泰雷奥在门前22米处低射被佩利西耶漏过，视线受阻的阿比亚蒂倒地封出右门柱
36'进球啦！！！AC米兰球员蒙托利沃大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是埃马纽尔森. AC米兰 2-1 切沃.                   35'第35分钟，泰雷奥在门前22米处低射被佩利西耶漏过，视线受阻的阿比亚蒂倒地封出右门柱
40'哈特马吉为切沃赢得一个任意球.                   40'第40分钟，卢西亚诺直传，泰雷奥突入禁区右侧小角度抽射被阿比亚蒂封出
40'AC米兰球员帕齐尼拼抢犯规,对手获得控球权.                   40'第40分钟，卢西亚诺直传，泰雷奥突入禁区右侧小角度抽射被阿比亚蒂封出
40'射门!!!切沃球员泰罗球门右侧小角度右脚射门,被对方守门员横身扑出.给他传球的是卢西亚诺.                   40'第40分钟，卢西亚诺直传，泰雷奥突入禁区右侧小角度抽射被阿比亚蒂封出
41'进球啦！！！AC米兰球员博扬大禁区外右脚射门,球从右下角飞进球门,球进了!助攻的是埃马纽尔森. AC米兰 3-1 切沃.                   40'第40分钟，卢西亚诺直传，泰雷奥突入禁区右侧小角度抽射被阿比亚蒂封出
44'AC米兰球员沙拉维球门右侧小角度右脚射门,被防守球员封堵.                   44'第44分钟，蒙托利沃过顶球传入禁区，沙拉维脚后跟垫球，右侧距门7米处凌空抽射被帕普封堵
44'帕普将球处理出底线,AC米兰获得角球.                   44'第44分钟，蒙托利沃过顶球传入禁区，沙拉维脚后跟垫球，右侧距门7米处凌空抽射被帕普封堵
45'AC米兰球员安布罗西尼大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是沙拉维.                   44'第44分钟，蒙托利沃过顶球传入禁区，沙拉维脚后跟垫球，右侧距门7米处凌空抽射被帕普封堵
45'+1'切沃球员帕普大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   44'第44分钟，蒙托利沃过顶球传入禁区，沙拉维脚后跟垫球，右侧距门7米处凌空抽射被帕普封堵
45'+1'上半场结束,AC米兰 3-1 切沃,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，蒙托利沃过顶球传入禁区，沙拉维脚后跟垫球，右侧距门7米处凌空抽射被帕普封堵
46'N-弗雷为切沃在右路,赢得一个任意球.                   44'第44分钟，蒙托利沃过顶球传入禁区，沙拉维脚后跟垫球，右侧距门7米处凌空抽射被帕普封堵
46'AC米兰球员沙拉维危险动作,对手获得控球权.                   44'第44分钟，蒙托利沃过顶球传入禁区，沙拉维脚后跟垫球，右侧距门7米处凌空抽射被帕普封堵
53'N-弗雷将球处理出底线,AC米兰获得角球.                   53'下半时开始8分钟，AC米兰开出角球，梅克斯外围左脚打高
53'AC米兰球员梅克斯大禁区外尝试左脚射门,可惜皮球偏出球门.                   53'下半时开始8分钟，AC米兰开出角球，梅克斯外围左脚打高
55'切沃球员瓜纳拼抢犯规,对手获得控球权.                   53'下半时开始8分钟，AC米兰开出角球，梅克斯外围左脚打高
55'博扬为AC米兰在左路,赢得一个任意球.                   53'下半时开始8分钟，AC米兰开出角球，梅克斯外围左脚打高
55'黄牌！切沃球员瓜纳因为恶意犯规,被主裁判出示黄牌.                   53'下半时开始8分钟，AC米兰开出角球，梅克斯外围左脚打高
55'切沃换人,里戈尼换下卢西亚诺                   53'下半时开始8分钟，AC米兰开出角球，梅克斯外围左脚打高
56'AC米兰球员安布罗西尼大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是沙拉维.                   53'下半时开始8分钟，AC米兰开出角球，梅克斯外围左脚打高
56'AC米兰球员安布罗西尼大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是沙拉维.                   56'第56分钟，沙拉维左路回做，安布在门前25米处抽射高出右门角
58'切沃德拉梅受伤倒地,比赛暂停                   56'第56分钟，沙拉维左路回做，安布在门前25米处抽射高出右门角
58'暂停结束,球员们重新开始比赛.                   56'第56分钟，沙拉维左路回做，安布在门前25米处抽射高出右门角
65'切沃球员N-弗雷拼抢犯规,对手获得控球权.                   65'第65分钟，沙拉维左路低传，博扬顺势做给帕齐尼，帕齐尼禁区边缘抽射左脚偏出左门柱
65'埃马纽尔森为AC米兰赢得一个任意球.                   65'第65分钟，沙拉维左路低传，博扬顺势做给帕齐尼，帕齐尼禁区边缘抽射左脚偏出左门柱
65'AC米兰球员帕齐尼大禁区中央尝试左脚射门,可惜皮球偏出球门.给他传球的是博扬.                   65'第65分钟，沙拉维左路低传，博扬顺势做给帕齐尼，帕齐尼禁区边缘抽射左脚偏出左门柱
67'安德雷奥利将球处理出底线,AC米兰获得角球.                   65'第65分钟，沙拉维左路低传，博扬顺势做给帕齐尼，帕齐尼禁区边缘抽射左脚偏出左门柱
68'AC米兰换人,博阿滕换下埃马纽尔森                   65'第65分钟，沙拉维左路低传，博扬顺势做给帕齐尼，帕齐尼禁区边缘抽射左脚偏出左门柱
68'哈特马吉为切沃赢得一个任意球.                   65'第65分钟，沙拉维左路低传，博扬顺势做给帕齐尼，帕齐尼禁区边缘抽射左脚偏出左门柱
