26'进球啦！！！巴列卡诺球员法尔克球门右侧小角度左脚射门,球从右下角飞进球门,球进了!助攻的是拉里维. 巴列卡诺 1-0 马拉加.                   26'第26分钟，拉里维传球，法尔克连过2人后在小禁区右侧边缘外小角度破门
27'马拉加球员卡瓦列罗一脚直塞球给阿姆拉巴特,但是边裁举旗显示后者已经越位.                   26'第26分钟，拉里维传球，法尔克连过2人后在小禁区右侧边缘外小角度破门
28'进球啦！！！巴列卡诺球员阿尔维利亚大禁区外右脚射门,球从右下角飞进球门,球进了! 巴列卡诺 2-0 马拉加.                   26'第26分钟，拉里维传球，法尔克连过2人后在小禁区右侧边缘外小角度破门
29'巴列卡诺球员诺奇纳拼抢犯规,对手获得控球权.                   26'第26分钟，拉里维传球，法尔克连过2人后在小禁区右侧边缘外小角度破门
29'S-桑切斯为马拉加赢得一个任意球.                   26'第26分钟，拉里维传球，法尔克连过2人后在小禁区右侧边缘外小角度破门
45'点球,拉里维在禁区内被侵犯,巴列卡诺获得点球.                   45'第45分钟，塞尔吉奥-桑切斯禁区内对拉里维犯规累计两张黄牌被罚下，后者亲自主罚点球命中
45'马拉加球员S-桑切斯犯规,致使对方获得点球.                   45'第45分钟，塞尔吉奥-桑切斯禁区内对拉里维犯规累计两张黄牌被罚下，后者亲自主罚点球命中
45'马拉加球员S-桑切斯因为恶意犯规,被裁判出示了第二张黄牌.                   45'第45分钟，塞尔吉奥-桑切斯禁区内对拉里维犯规累计两张黄牌被罚下，后者亲自主罚点球命中
45'+1'进球啦！！！巴列卡诺球员拉里维右脚射门,球从左下角飞进球门,球进了! 巴列卡诺 3-0 马拉加.                   45'第45分钟，塞尔吉奥-桑切斯禁区内对拉里维犯规累计两张黄牌被罚下，后者亲自主罚点球命中
45'+1'上半场结束,巴列卡诺 3-0 马拉加,稍事休息,我们一会来看看下半场两队的表现.                   45'第45分钟，塞尔吉奥-桑切斯禁区内对拉里维犯规累计两张黄牌被罚下，后者亲自主罚点球命中
45'马拉加换人,达德尔换下莫拉莱斯                   45'第45分钟，塞尔吉奥-桑切斯禁区内对拉里维犯规累计两张黄牌被罚下，后者亲自主罚点球命中
45'马拉加换人,卡萨多换下Pablo Pérez                   45'第45分钟，塞尔吉奥-桑切斯禁区内对拉里维犯规累计两张黄牌被罚下，后者亲自主罚点球命中
46'马拉加球员费雷拉一脚直塞球给阿姆拉巴特,但是边裁举旗显示后者已经越位.                   45'第45分钟，塞尔吉奥-桑切斯禁区内对拉里维犯规累计两张黄牌被罚下，后者亲自主罚点球命中
46'射门!!!马拉加球员阿姆拉巴特大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是达德尔.                   45'第45分钟，塞尔吉奥-桑切斯禁区内对拉里维犯规累计两张黄牌被罚下，后者亲自主罚点球命中
48'马拉加球员费雷拉拼抢犯规,对手获得控球权.                   45'第45分钟，塞尔吉奥-桑切斯禁区内对拉里维犯规累计两张黄牌被罚下，后者亲自主罚点球命中
48'拉里维为巴列卡诺在对方半场,赢得一个任意球.                   45'第45分钟，塞尔吉奥-桑切斯禁区内对拉里维犯规累计两张黄牌被罚下，后者亲自主罚点球命中
72'进球啦！！！马拉加球员亚科文科大禁区中央左脚射门,球从中路飞进球门,球进了!助攻的是阿姆拉巴特. 巴列卡诺 4-1 马拉加.                   72'马拉加第72分钟挽回颜面，阿姆拉巴特右路传中，拉科文科10码处左脚推射破门
74'安赫莱里将球处理出底线,巴列卡诺获得角球.                   72'马拉加第72分钟挽回颜面，阿姆拉巴特右路传中，拉科文科10码处左脚推射破门
74'巴列卡诺换人,隆戈换下拉里维                   72'马拉加第72分钟挽回颜面，阿姆拉巴特右路传中，拉科文科10码处左脚推射破门
75'阿姆拉巴特为马拉加在对方半场,赢得一个任意球.                   72'马拉加第72分钟挽回颜面，阿姆拉巴特右路传中，拉科文科10码处左脚推射破门
75'巴列卡诺球员巴埃纳拼抢犯规,对手获得控球权.                   72'马拉加第72分钟挽回颜面，阿姆拉巴特右路传中，拉科文科10码处左脚推射破门
75'绍尔-尼格斯将球处理出底线,马拉加获得角球.                   72'马拉加第72分钟挽回颜面，阿姆拉巴特右路传中，拉科文科10码处左脚推射破门
