4'富力卢琳左路前场直接一脚远射吊门，球中门柱弹出，惊出阿尔滨门将张翀一身冷汗。                   4'开场第4分钟，广州富力险些利用远射机会取得进球
4'阿尔滨后场界外球。                   4'开场第4分钟，广州富力险些利用远射机会取得进球
4'今天晚上大连天气还是比较凉，现场球迷不是特别多。                   4'开场第4分钟，广州富力险些利用远射机会取得进球
5'富力前场右路获得任意球。                   4'开场第4分钟，广州富力险些利用远射机会取得进球
5'卢琳发出任意球，赵和靖禁区内，将球控制。                   4'开场第4分钟，广州富力险些利用远射机会取得进球
5'阿尔滨左路反击，对方反手队员犯规，阿尔滨后场任意球。                   4'开场第4分钟，广州富力险些利用远射机会取得进球
6'罗申巴克中路控球，分球吕鹏，阿尔滨左路进攻。                   4'开场第4分钟，广州富力险些利用远射机会取得进球
6'赵和靖右路接吕鹏传球，插上助攻。                   4'开场第4分钟，广州富力险些利用远射机会取得进球
7'赵和靖右路起球，张耀坤将球解围出边线，阿尔滨前场界外球。                   4'开场第4分钟，广州富力险些利用远射机会取得进球
7'于大宝底线传中球，巴哈两脚射门都被对方后卫挡出。                   4'开场第4分钟，广州富力险些利用远射机会取得进球
7'卢琳后场断球，大脚解围。                   4'开场第4分钟，广州富力险些利用远射机会取得进球
7'阿尔滨开场打出一个小高潮                   4'开场第4分钟，广州富力险些利用远射机会取得进球
48'于汉超左路进攻，速度很快，传球右路巴哈，巴哈速度稍慢。                   48'3分钟后，阿尔滨连续获得射门机会，程月磊的扑救将于汉超近在咫尺的射门化解
48'巴哈速度有些慢了，对方后卫都回撤回来，巴哈底线传球被程月磊将球挡出，阿尔滨进攻队员禁区内犯规，广州富力后场任意球。                   48'3分钟后，阿尔滨连续获得射门机会，程月磊的扑救将于汉超近在咫尺的射门化解
49'广州富力右路进攻，穆伦将达维和球一起铲出边线，富力获得前场右路任意球。                   48'3分钟后，阿尔滨连续获得射门机会，程月磊的扑救将于汉超近在咫尺的射门化解
49'卢琳发出前场右路任意球，张翀出击将球没收。                   48'3分钟后，阿尔滨连续获得射门机会，程月磊的扑救将于汉超近在咫尺的射门化解
50'阿尔滨右路进攻，罗申巴克控球，将球转移到左路。                   48'3分钟后，阿尔滨连续获得射门机会，程月磊的扑救将于汉超近在咫尺的射门化解
51'于汉超理由速度优势甩开对手分球陈雷，陈雷起球，对方唐淼手球犯规。                   48'3分钟后，阿尔滨连续获得射门机会，程月磊的扑救将于汉超近在咫尺的射门化解
17'于大宝大脚解围球，富力界外球。                   17'第17分钟，于大宝在拼抢时动作过大，被主裁判艾页鍪玖吮境”热的第一张黄牌
17'于大宝撞倒4号李文博，被裁判出示黄牌。                   17'第17分钟，于大宝在拼抢时动作过大，被主裁判艾页鍪玖吮境”热的第一张黄牌
18'于大宝对判罚不满，一下子踢倒了场外4个水瓶。                   17'第17分钟，于大宝在拼抢时动作过大，被主裁判艾页鍪玖吮境”热的第一张黄牌
18'晋鹏翔中路控球，个人突破反击。                   17'第17分钟，于大宝在拼抢时动作过大，被主裁判艾页鍪玖吮境”热的第一张黄牌
19'阿尔滨左路进攻，陈雷起球，禁区内凯塔头球射门，距离稍远，富力门将程月磊将球没收。                   17'第17分钟，于大宝在拼抢时动作过大，被主裁判艾页鍪玖吮境”热的第一张黄牌
19'阿尔滨左路进攻，于大宝控球。                   17'第17分钟，于大宝在拼抢时动作过大，被主裁判艾页鍪玖吮境”热的第一张黄牌
19'罗申巴克控球，做球于汉超，阿尔滨继续左路配合进攻。                   17'第17分钟，于大宝在拼抢时动作过大，被主裁判艾页鍪玖吮境”热的第一张黄牌
20'罗申巴克分球右路，赵和靖控球，进攻。                   17'第17分钟，于大宝在拼抢时动作过大，被主裁判艾页鍪玖吮境”热的第一张黄牌
20'球到罗申巴克脚下，传球禁区，富力后卫大脚解围，外围阿尔滨球员继续控球。                   17'第17分钟，于大宝在拼抢时动作过大，被主裁判艾页鍪玖吮境”热的第一张黄牌
25'阿尔滨于汉超左路起球，巴哈抢点，对方后卫将球解围出底线，角球。                   25'第25分钟，罗申巴克开出前场左侧战术角球，在传中瞬间富力防守球员头球将皮球解围出禁区
25'罗申巴克发出战术角球，罗申巴克传球禁区近角，对方后卫大脚将球解围。                   25'第25分钟，罗申巴克开出前场左侧战术角球，在传中瞬间富力防守球员头球将皮球解围出禁区
