11'Mourinho: 范雄薪呢---据说是复出了，但是谁知道呢                   11'第11分钟，索尔达多头球摆渡，列农禁区弧边缘低射被德赫亚轻松没收
11'培家520:10  曼联欧冠战绩不错，本场正常发挥应该会拿下3分 ---热刺这种球队抽起疯来很BT的                   11'第11分钟，索尔达多头球摆渡，列农禁区弧边缘低射被德赫亚轻松没收
12'列侬禁区前得球~~                   11'第11分钟，索尔达多头球摆渡，列农禁区弧边缘低射被德赫亚轻松没收
12'连续的带球摆脱~转身左脚打门！没打上力量                   11'第11分钟，索尔达多头球摆渡，列农禁区弧边缘低射被德赫亚轻松没收
13'今天两队在中场都没有过多的组织                   11'第11分钟，索尔达多头球摆渡，列农禁区弧边缘低射被德赫亚轻松没收
14'聪明利分给左路~埃弗拉的传中打在了列侬身上                   11'第11分钟，索尔达多头球摆渡，列农禁区弧边缘低射被德赫亚轻松没收
14'热刺断球反击~失误了                   11'第11分钟，索尔达多头球摆渡，列农禁区弧边缘低射被德赫亚轻松没收
14'斯莫林~右边路直接起球！打在了后卫背上，弹给了门将洛里斯                   11'第11分钟，索尔达多头球摆渡，列农禁区弧边缘低射被德赫亚轻松没收
18'热刺获得了一个禁区外的定位球机会                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
18'埃文斯踢倒了保利尼奥                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
18'给了对方一个位置不错的机会                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
18'沃克站在了球的前面                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
19'what？？？进球啦~~~~                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
19'Goooooooal~~~~                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
19'一脚低射打穿了人墙~从人墙的下方将球射入网窝！                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
19'德赫亚反应不及~球从他身体右侧滚入网窝~                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
19'虽然这球打的角度并不算刁钻                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
20'但是速度十足~人墙的错误判断啊                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
20'热刺的自我救赎已经开始了                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
20'曼联呢？莫耶斯要小心了                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
20'香川中场横传转移被断了~~~                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
20'热刺获得了一个角球机会                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
21'这个进球让曼联乱了阵脚                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
21'前面的控球...都是白瞎                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
21'差点又一个~~~                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
21'角球开出来~点球点附近维尔通亨的垫射被后卫挡出                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
21'保利尼奥分给右边路~~~                   18'热刺第18分钟取得领先，埃文斯禁区前对保利尼奥犯规，沃克尔20码处任意球低射穿过人墙入网
21'这个进球让曼联乱了阵脚                   21'第21分钟，沃克尔开出角球，道森12码处凌空扫射被封堵
21'前面的控球...都是白瞎                   21'第21分钟，沃克尔开出角球，道森12码处凌空扫射被封堵
21'差点又一个~~~                   21'第21分钟，沃克尔开出角球，道森12码处凌空扫射被封堵
21'角球开出来~点球点附近维尔通亨的垫射被后卫挡出                   21'第21分钟，沃克尔开出角球，道森12码处凌空扫射被封堵
21'保利尼奥分给右边路~~~                   21'第21分钟，沃克尔开出角球，道森12码处凌空扫射被封堵
22'传中球穿透了禁区~没有球员在包抄线路上                   21'第21分钟，沃克尔开出角球，道森12码处凌空扫射被封堵
22'曼联连续的传递失误啊                   21'第21分钟，沃克尔开出角球，道森12码处凌空扫射被封堵
23'Hing李智兴20:20  主播，给点反应。范佩西咋不上啊？ ---还没好利索呢                   21'第21分钟，沃克尔开出角球，道森12码处凌空扫射被封堵
23'海丰人781820:20  柠檬。最近怎么没直播NBA了？ ---平时只有周末才有了                   21'第21分钟，沃克尔开出角球，道森12码处凌空扫射被封堵
31'                    31'第31分钟，索尔达多直传，列农小禁区边缘左脚劲射被德赫亚用腿挡出，列农再横传门前，索尔达多未能及时抢点
32'热刺又有机会~索尔达多一脚穿透性极强的直塞~                   31'第31分钟，索尔达多直传，列农小禁区边缘左脚劲射被德赫亚用腿挡出，列农再横传门前，索尔达多未能及时抢点
32'列侬拍马赶到小禁区内的推射被德赫亚扑了出去                   31'第31分钟，索尔达多直传，列农小禁区边缘左脚劲射被德赫亚用腿挡出，列农再横传门前，索尔达多未能及时抢点
32'鲁小胖~~~                   31'第31分钟，索尔达多直传，列农小禁区边缘左脚劲射被德赫亚用腿挡出，列农再横传门前，索尔达多未能及时抢点
