1'上半场比赛开始！                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
1'首先开球的是北京国安                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
1'周挺中场拿球先回敲                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
1'马季奇回撤到后场来拿球                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
1'国安队长传打右路                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
1'范晓冬头球顶出边线                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
1'陈志钊右路拿球回敲                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
1'周挺边路起球送后点                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
1'于大宝头球攻门稍稍顶偏                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
2'国安队中场控球给到河大成                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
2'国安队这边打得很稳                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
2'开场并没有猛攻                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
2'今天的天气对两队来说也是一个考验                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
3'巴塔拉左路拿球到了禁区里                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
3'绿城这边利用人数上的优势将球防了下来                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
4'陈志钊边路断球后突破到底线                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
4'最后的传球被对方挡了下来                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
7'开场这几分钟来看，国安队也是想快速先进球                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
7'周挺右路助攻上来了                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
7'边路的传球送到禁区内                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
7'一个半高球                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
7'德扬这边停球没有停好                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
7'绿城这边反击的机会                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
7'长传送到了前场的左路                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
8'阿甘拿球在禁区边缘，第一下没有传出来                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
8'阿甘边路传球送禁区后点                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
8'拉蒙停球后禁区内挑被李磊干扰                   7'第7分钟，拉蒙在中场策动快攻，阿甘左路传中后，拉蒙禁区内挑球过人时被拦截，拉蒙向裁判示意李磊手球，主裁判林君没有判罚
