2'江苏苏宁球员谢鹏飞拼抢犯规,对手获得控球权.                   2'第2分钟，洪正好后场中路控球后突然一脚直传到禁区，被辽宁队门将石笑天没收
2'郑涛为辽宁宏运赢得一个任意球.                   2'第2分钟，洪正好后场中路控球后突然一脚直传到禁区，被辽宁队门将石笑天没收
4'江苏苏宁球员顾文翔手球犯规,对手获得球权.                   2'第2分钟，洪正好后场中路控球后突然一脚直传到禁区，被辽宁队门将石笑天没收
5'江苏苏宁球员陶源拼抢犯规,对手获得控球权.                   2'第2分钟，洪正好后场中路控球后突然一脚直传到禁区，被辽宁队门将石笑天没收
5'詹姆斯为辽宁宏运在对方半场,赢得一个任意球.                   2'第2分钟，洪正好后场中路控球后突然一脚直传到禁区，被辽宁队门将石笑天没收
20'辽宁宏运球员詹姆斯大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是金泰延.                   20'第20分钟，金泰延禁区前沿拿球后在与拉米雷斯的身体对抗中跌跌撞撞倒地，皮球来到詹姆斯脚下，后者一脚远射放了高射炮
21'肇俊哲为辽宁宏运赢得一个任意球.                   20'第20分钟，金泰延禁区前沿拿球后在与拉米雷斯的身体对抗中跌跌撞撞倒地，皮球来到詹姆斯脚下，后者一脚远射放了高射炮
21'江苏苏宁球员拉米雷斯拼抢犯规,对手获得控球权.                   20'第20分钟，金泰延禁区前沿拿球后在与拉米雷斯的身体对抗中跌跌撞撞倒地，皮球来到詹姆斯脚下，后者一脚远射放了高射炮
23'辽宁宏运球员詹姆斯拼抢犯规,对手获得控球权.                   20'第20分钟，金泰延禁区前沿拿球后在与拉米雷斯的身体对抗中跌跌撞撞倒地，皮球来到詹姆斯脚下，后者一脚远射放了高射炮
23'谢鹏飞为江苏苏宁赢得一个任意球.                   20'第20分钟，金泰延禁区前沿拿球后在与拉米雷斯的身体对抗中跌跌撞撞倒地，皮球来到詹姆斯脚下，后者一脚远射放了高射炮
23'辽宁宏运球员詹姆斯拼抢犯规,对手获得控球权.                   23'第23分钟，前场右路陶源带球突破传中被头球解围出来，外围吉翔争抢落点凌空打门偏出
23'谢鹏飞为江苏苏宁赢得一个任意球.                   23'第23分钟，前场右路陶源带球突破传中被头球解围出来，外围吉翔争抢落点凌空打门偏出
25'辽宁宏运球员杨善平拼抢犯规,对手获得控球权.                   23'第23分钟，前场右路陶源带球突破传中被头球解围出来，外围吉翔争抢落点凌空打门偏出
25'顾文翔为江苏苏宁在左路,赢得一个任意球.                   23'第23分钟，前场右路陶源带球突破传中被头球解围出来，外围吉翔争抢落点凌空打门偏出
31'刘尚坤为辽宁宏运赢得一个任意球.                   31'第31分钟，麦克拿球半高球给到前场，左路的詹姆斯越位了
31'江苏苏宁球员陶源拼抢犯规,对手获得控球权.                   31'第31分钟，麦克拿球半高球给到前场，左路的詹姆斯越位了
