42'波尔图球员Penalty missed! Still  Athletic Club 0, FC Porto 0. Jackson Martínez右脚射门,命中门柱横梁.                   42'第42分钟，特略直传，达尼洛突入禁区右侧被巴伦西亚加绊倒，点球
43'毕尔巴鄂竞技球员吉列尔莫拼抢犯规,对手获得控球权.                   42'第42分钟，特略直传，达尼洛突入禁区右侧被巴伦西亚加绊倒，点球
43'因迪为波尔图赢得一个任意球.                   42'第42分钟，特略直传，达尼洛突入禁区右侧被巴伦西亚加绊倒，点球
45'+1'毕尔巴鄂竞技球员贝尼亚特拼抢犯规,对手获得控球权.                   42'第42分钟，特略直传，达尼洛突入禁区右侧被巴伦西亚加绊倒，点球
45'+1'卡塞米罗为波尔图赢得一个任意球.                   42'第42分钟，特略直传，达尼洛突入禁区右侧被巴伦西亚加绊倒，点球
45'+2'上半场结束,毕尔巴鄂竞技 0-0 波尔图,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，特略直传，达尼洛突入禁区右侧被巴伦西亚加绊倒，点球
45'毕尔巴鄂竞技换人,伊劳拉换下贝尼亚特                   42'第42分钟，特略直传，达尼洛突入禁区右侧被巴伦西亚加绊倒，点球
45'毕尔巴鄂竞技换人,穆尼亚因换下苏萨埃塔                   42'第42分钟，特略直传，达尼洛突入禁区右侧被巴伦西亚加绊倒，点球
55'进球啦！！！波尔图球员Jackson Martínez球门线跟前左脚射门,球从中路飞进球门,球进了!助攻的是卜拉希米. 毕尔巴鄂竞技 0-1 波尔图.                   55'第55分钟，布拉希米左路转身突破两人，切入禁区底线传中，杰克逊-马丁内斯左脚推过门线，1比0
57'毕尔巴鄂竞技球员吉列尔莫大禁区外右脚射门,被防守球员封堵.                   55'第55分钟，布拉希米左路转身突破两人，切入禁区底线传中，杰克逊-马丁内斯左脚推过门线，1比0
57'毕尔巴鄂竞技球员伊劳拉拼抢犯规,对手获得控球权.                   55'第55分钟，布拉希米左路转身突破两人，切入禁区底线传中，杰克逊-马丁内斯左脚推过门线，1比0
57'卜拉希米为波尔图赢得一个任意球.                   55'第55分钟，布拉希米左路转身突破两人，切入禁区底线传中，杰克逊-马丁内斯左脚推过门线，1比0
58'麦克-里科为毕尔巴鄂竞技赢得一个任意球.                   55'第55分钟，布拉希米左路转身突破两人，切入禁区底线传中，杰克逊-马丁内斯左脚推过门线，1比0
58'波尔图球员Jackson Martínez拼抢犯规,对手获得控球权.                   55'第55分钟，布拉希米左路转身突破两人，切入禁区底线传中，杰克逊-马丁内斯左脚推过门线，1比0
48'Jackson Martínez将球处理出底线,毕尔巴鄂竞技获得角球.                   48'3分钟后，竞技后卫拉波尔特边路回传门将，伊赖索斯停球时竟然漏过，布拉希米后点跟进推入空门，2比0，他和马丁内斯参与了波尔图本赛季欧冠12球中的9球
50'波尔图球员达尼洛大禁区外尝试右脚射门,可惜皮球高出球门.                   48'3分钟后，竞技后卫拉波尔特边路回传门将，伊赖索斯停球时竟然漏过，布拉希米后点跟进推入空门，2比0，他和马丁内斯参与了波尔图本赛季欧冠12球中的9球
50'拉波尔特为毕尔巴鄂竞技赢得一个任意球.                   48'3分钟后，竞技后卫拉波尔特边路回传门将，伊赖索斯停球时竟然漏过，布拉希米后点跟进推入空门，2比0，他和马丁内斯参与了波尔图本赛季欧冠12球中的9球
50'波尔图球员Jackson Martínez拼抢犯规,对手获得控球权.                   48'3分钟后，竞技后卫拉波尔特边路回传门将，伊赖索斯停球时竟然漏过，布拉希米后点跟进推入空门，2比0，他和马丁内斯参与了波尔图本赛季欧冠12球中的9球
