4'利物浦球员杰拉德一脚直塞球给唐宁,但是边裁举旗显示后者已经越位.                   4'第4分钟，班尼特左路传中，阿邦拉霍前点近距离射门打歪
46'利物浦球员卢卡斯手球犯规,对手获得球权.                   46'1分钟后，格伦-约翰逊右路禁区边缘的射门打中贝克偏转后被古赞得到
47'进球啦！！！利物浦球员亨德森大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是库蒂尼奥. 阿斯顿维拉 1-1 利物浦.                   46'1分钟后，格伦-约翰逊右路禁区边缘的射门打中贝克偏转后被古赞得到
48'阿邦拉霍为阿斯顿维拉在左路,赢得一个任意球.                   46'1分钟后，格伦-约翰逊右路禁区边缘的射门打中贝克偏转后被古赞得到
48'利物浦球员杰拉德拼抢犯规,对手获得控球权.                   46'1分钟后，格伦-约翰逊右路禁区边缘的射门打中贝克偏转后被古赞得到
49'黄牌！利物浦球员杰拉德因为恶意犯规,被主裁判出示黄牌.                   46'1分钟后，格伦-约翰逊右路禁区边缘的射门打中贝克偏转后被古赞得到
19'利物浦球员杰拉德大禁区外左脚射门,被防守球员封堵.给他传球的是唐宁.                   19'第19分钟，格伦-约翰逊传球，苏亚雷斯16码处劲射被古赞扑出
20'射门!!!利物浦球员苏亚雷斯大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是格伦-约翰逊.                   19'第19分钟，格伦-约翰逊传球，苏亚雷斯16码处劲射被古赞扑出
20'古赞将球处理出底线,利物浦获得角球.                   19'第19分钟，格伦-约翰逊传球，苏亚雷斯16码处劲射被古赞扑出
20'阿邦拉霍为阿斯顿维拉赢得一个任意球.                   19'第19分钟，格伦-约翰逊传球，苏亚雷斯16码处劲射被古赞扑出
20'利物浦球员卢卡斯拼抢犯规,对手获得控球权.                   19'第19分钟，格伦-约翰逊传球，苏亚雷斯16码处劲射被古赞扑出
28'阿斯顿维拉球员阿邦拉霍大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是维斯特伍德.                   28'第28分钟，韦斯特伍德传球，阿邦拉霍禁区前射门偏出
28'本特克为阿斯顿维拉在对方半场,赢得一个任意球.                   28'第28分钟，韦斯特伍德传球，阿邦拉霍禁区前射门偏出
28'利物浦球员卡拉格拼抢犯规,对手获得控球权.                   28'第28分钟，韦斯特伍德传球，阿邦拉霍禁区前射门偏出
29'格伦-约翰逊将球处理出底线,阿斯顿维拉获得角球.                   28'第28分钟，韦斯特伍德传球，阿邦拉霍禁区前射门偏出
31'射门!!!利物浦球员苏亚雷斯大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是唐宁.                   28'第28分钟，韦斯特伍德传球，阿邦拉霍禁区前射门偏出
31'进球啦！！！阿斯顿维拉球员本特克大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是阿邦拉霍. 阿斯顿维拉 1-0 利物浦.                   28'第28分钟，韦斯特伍德传球，阿邦拉霍禁区前射门偏出
34'利物浦球员杰拉德小禁区左侧左脚射门,被防守球员封堵.给他传球的是苏亚雷斯.                   34'第34分钟，苏亚雷斯妙传，杰拉德切入小禁区左侧边缘的射门被贝克及时封堵
34'巴克尔将球处理出底线,利物浦获得角球.                   34'第34分钟，苏亚雷斯妙传，杰拉德切入小禁区左侧边缘的射门被贝克及时封堵
34'弗拉尔将球处理出底线,利物浦获得角球.                   34'第34分钟，苏亚雷斯妙传，杰拉德切入小禁区左侧边缘的射门被贝克及时封堵
36'利物浦球员苏亚雷斯尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是亨德森.                   34'第34分钟，苏亚雷斯妙传，杰拉德切入小禁区左侧边缘的射门被贝克及时封堵
38'维斯特伍德为阿斯顿维拉在对方半场,赢得一个任意球.                   38'第38分钟，巴南传中，本特克小角度头球攻门被雷纳摘下
38'利物浦球员卢卡斯拼抢犯规,对手获得控球权.                   38'第38分钟，巴南传中，本特克小角度头球攻门被雷纳摘下
38'射门!!!阿斯顿维拉球员本特克球门左侧小角度头球,被对方守门员横身扑出.给他传球的是班南.                   38'第38分钟，巴南传中，本特克小角度头球攻门被雷纳摘下
39'弗拉尔将球处理出底线,利物浦获得角球.                   38'第38分钟，巴南传中，本特克小角度头球攻门被雷纳摘下
41'利物浦球员苏亚雷斯大禁区外左脚射门,被防守球员封堵.                   38'第38分钟，巴南传中，本特克小角度头球攻门被雷纳摘下
41'射门!!!利物浦球员苏亚雷斯大禁区左侧左脚射门,被对方守门员横身扑出.                   38'第38分钟，巴南传中，本特克小角度头球攻门被雷纳摘下
43'巴克尔将球处理出底线,利物浦获得角球.                   43'第43分钟，杰拉德左路25码处抽射又被古赞飞身扑出
43'射门!!!利物浦球员杰拉德大禁区外右脚射门,被对方守门员横身扑出.给他传球的是唐宁.                   43'第43分钟，杰拉德左路25码处抽射又被古赞飞身扑出
45'贝内特将球处理出底线,利物浦获得角球.                   43'第43分钟，杰拉德左路25码处抽射又被古赞飞身扑出
45'利物浦球员苏亚雷斯大禁区右侧右脚射门,被防守球员封堵.给他传球的是亨德森.                   43'第43分钟，杰拉德左路25码处抽射又被古赞飞身扑出
45'本特克为阿斯顿维拉赢得一个任意球.                   43'第43分钟，杰拉德左路25码处抽射又被古赞飞身扑出
45'利物浦球员卢卡斯拼抢犯规,对手获得控球权.                   43'第43分钟，杰拉德左路25码处抽射又被古赞飞身扑出
45'+1'上半场结束,阿斯顿维拉 1-0 利物浦,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，杰拉德左路25码处抽射又被古赞飞身扑出
