5'毅腾的机会，闫相闯的插上，但是门将反应很快，出击把球拿到。                   5'第5分钟两队第一脚射门出现，武磊禁区左路接球，摆脱于涛后射门被王敬平接住
6'上港队左路的传中，被门将王敬平拿到。                   5'第5分钟两队第一脚射门出现，武磊禁区左路接球，摆脱于涛后射门被王敬平接住
7'上港队好机会，武磊在禁区内拿球晃出角度后打门，被门将直接拿到了。                   5'第5分钟两队第一脚射门出现，武磊禁区左路接球，摆脱于涛后射门被王敬平接住
8'上港的进攻造成了对手的手球犯规，犯规的是于涛。                   5'第5分钟两队第一脚射门出现，武磊禁区左路接球，摆脱于涛后射门被王敬平接住
8'今天球场的风比较大，对于比赛可能会有一点影响。                   5'第5分钟两队第一脚射门出现，武磊禁区左路接球，摆脱于涛后射门被王敬平接住
9'任意球打门蹭到了人墙，上港获得了一个角球。                   9'第9分钟哈尔滨队也获得一个角球，禁区混战中球中门柱弹出
10'角球开出来蔡惠康打门，王敬平反应非常快，将球扑出。                   9'第9分钟哈尔滨队也获得一个角球，禁区混战中球中门柱弹出
10'第二个角球开出来就没有机会了，球出了禁区。                   9'第9分钟哈尔滨队也获得一个角球，禁区混战中球中门柱弹出
10'这边毅腾的快速反击也获得了一个角球。                   9'第9分钟哈尔滨队也获得一个角球，禁区混战中球中门柱弹出
11'毅腾队运气不好啊！皮球打到了立柱上。                   9'第9分钟哈尔滨队也获得一个角球，禁区混战中球中门柱弹出
11'双方开场都有进球的机会，但是都没有把握住。                   9'第9分钟哈尔滨队也获得一个角球，禁区混战中球中门柱弹出
23'卜鑫往前送了个直线，但是里卡多没有追。                   23'第23分钟上港打到毅腾禁区，毅腾后卫忙中出错，本来可以被解围的球，又被打到小禁区附近，但麦克布林一脚扫射，却踢在王敬平身上
24'毅腾后场拿球受到了很凶狠的逼抢，传球之中把球踢出了边线。                   23'第23分钟上港打到毅腾禁区，毅腾后卫忙中出错，本来可以被解围的球，又被打到小禁区附近，但麦克布林一脚扫射，却踢在王敬平身上
25'武磊在禁区内要传给麦克布林，被后卫解围了。                   23'第23分钟上港打到毅腾禁区，毅腾后卫忙中出错，本来可以被解围的球，又被打到小禁区附近，但麦克布林一脚扫射，却踢在王敬平身上
25'麦克布林抢点时候撞到了王敬平，被吹了犯规。                   23'第23分钟上港打到毅腾禁区，毅腾后卫忙中出错，本来可以被解围的球，又被打到小禁区附近，但麦克布林一脚扫射，却踢在王敬平身上
25'麦克布林和罗德瑞格在中场的纠缠，最后还是罗德瑞格把球控制了下来。                   23'第23分钟上港打到毅腾禁区，毅腾后卫忙中出错，本来可以被解围的球，又被打到小禁区附近，但麦克布林一脚扫射，却踢在王敬平身上
26'亚当修斯打门没有吃准部位，放了个高射炮。                   23'第23分钟上港打到毅腾禁区，毅腾后卫忙中出错，本来可以被解围的球，又被打到小禁区附近，但麦克布林一脚扫射，却踢在王敬平身上
29'毅腾前场获得一个任意球，卜鑫却吃到了一张黄牌。                   29'第29分钟王龀中场附近犯规吃到黄牌
30'是和裁判理论之后吃到了黄牌，他认为人墙太近了。                   29'第29分钟王龀中场附近犯规吃到黄牌
30'拖了很久之后这个球发的也不好。                   29'第29分钟王龀中场附近犯规吃到黄牌
31'这段时间毅腾明显加强了攻势。                   29'第29分钟王龀中场附近犯规吃到黄牌
31'上港队的王燊超也吃到了一张黄牌。                   29'第29分钟王龀中场附近犯规吃到黄牌
33'毅腾的好机会，闫相闯右路接球传中，中路球员打门被后卫挡出，角球。                   32'第32分钟蔡慧康飞铲季骁宣吃到黄牌
33'上港队的反击，卡里里拿球。                   32'第32分钟蔡慧康飞铲季骁宣吃到黄牌
34'毅腾回防很快，把卡里里的球断了下来，之后蔡惠康对对手的犯规吃到了一张黄牌。                   32'第32分钟蔡慧康飞铲季骁宣吃到黄牌
34'毅腾队获得了一个角球。                   32'第32分钟蔡慧康飞铲季骁宣吃到黄牌
35'角球第一点被防守队员顶到。                   32'第32分钟蔡慧康飞铲季骁宣吃到黄牌
37'毅腾不断的获得定位球的机会，看看能否抓住机会。                   37'第37分钟卡里里左路射门被王敬平打出界外，第39分钟阎相闯左路带球连过三人后射门踢高
37'这个球点不错，门将已经够不到了，但是门线上被伊班解围了。                   37'第37分钟卡里里左路射门被王敬平打出界外，第39分钟阎相闯左路带球连过三人后射门踢高
38'今天毅腾的运气也不是很好。                   37'第37分钟卡里里左路射门被王敬平打出界外，第39分钟阎相闯左路带球连过三人后射门踢高
39'上港利用不多的机会完成了一次进攻，卡里里的挑射被门将托了出去，角球。                   37'第37分钟卡里里左路射门被王敬平打出界外，第39分钟阎相闯左路带球连过三人后射门踢高
