13'皮什切克右路助攻上来                   13'开场13分钟，尤文首次射门就取得领先
13'低平球往禁区里送找因莫比莱                   13'开场13分钟，尤文首次射门就取得领先
13'这球送到了身后                   13'开场13分钟，尤文首次射门就取得领先
13'尤文图斯进球了！！！                   13'开场13分钟，尤文首次射门就取得领先
13'特维斯！！！                   13'开场13分钟，尤文首次射门就取得领先
14'特维斯中场拿球做策划，分到了边路，莫拉塔接球后带球到了禁区内，小角度横敲到门前，魏登费勒扑球出现脱手，特维斯跟进补射将球打进！                   13'开场13分钟，尤文首次射门就取得领先
15'魏登费勒这次的扑救感觉有些没有控制好                   13'开场13分钟，尤文首次射门就取得领先
15'看看多特蒙德接下来会怎么调整                   13'开场13分钟，尤文首次射门就取得领先
18'1-1！！！                   18'大黄蜂第18分钟扳平比分
18'多特蒙德很快将比分扳平                   18'大黄蜂第18分钟扳平比分
19'罗伊斯！                   18'大黄蜂第18分钟扳平比分
20'尤文图斯后场控球出现失误，罗伊斯抓住机会后拿球到了禁区前沿，冷静推射扳平比分                   18'大黄蜂第18分钟扳平比分
20'博格巴左路带球自己失误了                   18'大黄蜂第18分钟扳平比分
21'尤文图斯中场控球回敲                   18'大黄蜂第18分钟扳平比分
21'在往前送直接被解围                   18'大黄蜂第18分钟扳平比分
21'利希施泰纳右路边线突破被放倒                   18'大黄蜂第18分钟扳平比分
21'尤文图斯中场再传身后                   18'大黄蜂第18分钟扳平比分
21'底线附近将球勾了回来                   18'大黄蜂第18分钟扳平比分
42'特维斯边路拿球将球碰了出去                   42'第42分钟，博努奇后场长距离直传，特维斯突破京多安分球，博格巴禁区左侧低传，莫拉塔在门前6米处推进远角，尤文2比1再度领先
42'上半场比赛两队都有球员出现被迫换人吗？A有、B没有[qingda]                   42'第42分钟，博努奇后场长距离直传，特维斯突破京多安分球，博格巴禁区左侧低传，莫拉塔在门前6米处推进远角，尤文2比1再度领先
42'2-1！！！                   42'第42分钟，博努奇后场长距离直传，特维斯突破京多安分球，博格巴禁区左侧低传，莫拉塔在门前6米处推进远角，尤文2比1再度领先
43'尤文图斯再次反超了比分                   42'第42分钟，博努奇后场长距离直传，特维斯突破京多安分球，博格巴禁区左侧低传，莫拉塔在门前6米处推进远角，尤文2比1再度领先
43'莫拉塔！！                   42'第42分钟，博努奇后场长距离直传，特维斯突破京多安分球，博格巴禁区左侧低传，莫拉塔在门前6米处推进远角，尤文2比1再度领先
43'特维斯禁区前沿拿球分到左路，博格巴接球直接一脚传球到了中路，莫拉塔跟进推射破门！                   42'第42分钟，博努奇后场长距离直传，特维斯突破京多安分球，博格巴禁区左侧低传，莫拉塔在门前6米处推进远角，尤文2比1再度领先
45'因莫比莱前场接球的时候先越位了                   42'第42分钟，博努奇后场长距离直传，特维斯突破京多安分球，博格巴禁区左侧低传，莫拉塔在门前6米处推进远角，尤文2比1再度领先
45'基耶利尼后场控球也是稳下节奏                   42'第42分钟，博努奇后场长距离直传，特维斯突破京多安分球，博格巴禁区左侧低传，莫拉塔在门前6米处推进远角，尤文2比1再度领先
45'上半场也是进入到了补时阶段                   42'第42分钟，博努奇后场长距离直传，特维斯突破京多安分球，博格巴禁区左侧低传，莫拉塔在门前6米处推进远角，尤文2比1再度领先
45'上半场要补时2分钟！                   42'第42分钟，博努奇后场长距离直传，特维斯突破京多安分球，博格巴禁区左侧低传，莫拉塔在门前6米处推进远角，尤文2比1再度领先
56'禁区内因莫比莱接球后转身打门                   56'第56分钟，奥巴梅扬禁区分球，因莫比莱右侧转身斜射被布冯得到
56'布冯封住角度将球拿到                   56'第56分钟，奥巴梅扬禁区分球，因莫比莱右侧转身斜射被布冯得到
56'多特蒙德中场拿球打到边路                   56'第56分钟，奥巴梅扬禁区分球，因莫比莱右侧转身斜射被布冯得到
57'边路传球送禁区内，落点不好                   56'第56分钟，奥巴梅扬禁区分球，因莫比莱右侧转身斜射被布冯得到
57'胡梅尔斯中场拿球失误了                   56'第56分钟，奥巴梅扬禁区分球，因莫比莱右侧转身斜射被布冯得到
57'博格巴禁区内接球没有传中的机会                   56'第56分钟，奥巴梅扬禁区分球，因莫比莱右侧转身斜射被布冯得到
58'多特蒙德后场控球稳一下                   56'第56分钟，奥巴梅扬禁区分球，因莫比莱右侧转身斜射被布冯得到
59'尤文图斯边路送直塞                   56'第56分钟，奥巴梅扬禁区分球，因莫比莱右侧转身斜射被布冯得到
59'莫拉塔前插接球的时候越位了                   56'第56分钟，奥巴梅扬禁区分球，因莫比莱右侧转身斜射被布冯得到
59'尤文图斯后场传球又是险些失误                   56'第56分钟，奥巴梅扬禁区分球，因莫比莱右侧转身斜射被布冯得到
79'佩雷拉中后场的防守扫倒了对方                   78'第78分钟，特维斯右侧禁区前沿劲射被魏登费勒封出近角，马尔基西奥右侧开出角球，基耶利尼头球掠过横梁
79'佩雷拉得到一张黄牌！                   78'第78分钟，特维斯右侧禁区前沿劲射被魏登费勒封出近角，马尔基西奥右侧开出角球，基耶利尼头球掠过横梁
80'多特蒙德前场的任意球                   78'第78分钟，特维斯右侧禁区前沿劲射被魏登费勒封出近角，马尔基西奥右侧开出角球，基耶利尼头球掠过横梁
80'落点送禁区中路                   78'第78分钟，特维斯右侧禁区前沿劲射被魏登费勒封出近角，马尔基西奥右侧开出角球，基耶利尼头球掠过横梁
80'没人去包抄啊                   78'第78分钟，特维斯右侧禁区前沿劲射被魏登费勒封出近角，马尔基西奥右侧开出角球，基耶利尼头球掠过横梁
80'右路再起送中路                   78'第78分钟，特维斯右侧禁区前沿劲射被魏登费勒封出近角，马尔基西奥右侧开出角球，基耶利尼头球掠过横梁
80'布瓦什奇科夫斯基头球攻门将球顶偏                   78'第78分钟，特维斯右侧禁区前沿劲射被魏登费勒封出近角，马尔基西奥右侧开出角球，基耶利尼头球掠过横梁
81'基耶利尼争抢头球的时候也是被撞了一下                   78'第78分钟，特维斯右侧禁区前沿劲射被魏登费勒封出近角，马尔基西奥右侧开出角球，基耶利尼头球掠过横梁
81'基耶利尼有点远，队医进场接受检查                   78'第78分钟，特维斯右侧禁区前沿劲射被魏登费勒封出近角，马尔基西奥右侧开出角球，基耶利尼头球掠过横梁
86'莫拉塔中路拿球送直塞到禁区内                   86'第86分钟，莫拉塔分球，佩雷拉突入禁区左侧，在门前8米处斜射滑出远门柱
86'比达尔插上后推射远角稍稍偏了一点                   86'第86分钟，莫拉塔分球，佩雷拉突入禁区左侧，在门前8米处斜射滑出远门柱
86'尤文图斯换人，比达尔下，帕多因上！                   86'第86分钟，莫拉塔分球，佩雷拉突入禁区左侧，在门前8米处斜射滑出远门柱
89'尤文图斯再次换人，特维斯下，科曼上！                   86'第86分钟，莫拉塔分球，佩雷拉突入禁区左侧，在门前8米处斜射滑出远门柱
89'尤文中场控球转移到边路                   86'第86分钟，莫拉塔分球，佩雷拉突入禁区左侧，在门前8米处斜射滑出远门柱
89'多特蒙德中场断球下来打快速反击                   86'第86分钟，莫拉塔分球，佩雷拉突入禁区左侧，在门前8米处斜射滑出远门柱
