1'上半场比赛开始了                   1'巴萨第1分钟全力施压，皮克传球，伊涅斯塔禁区前劲射偏出
1'上半场是由客场作战的巴萨开球                   1'巴萨第1分钟全力施压，皮克传球，伊涅斯塔禁区前劲射偏出
2'虽然皇马轮换了大多数主力，但是巴萨今天的正副队长也都没有出场                   1'巴萨第1分钟全力施压，皮克传球，伊涅斯塔禁区前劲射偏出
2'佩佩看位置应该是打中场                   1'巴萨第1分钟全力施压，皮克传球，伊涅斯塔禁区前劲射偏出
2'穆尼尼奥还是要用他来遏制梅西                   1'巴萨第1分钟全力施压，皮克传球，伊涅斯塔禁区前劲射偏出
2'蒂亚戈中场传球失误，卡卡回给了佩佩                   1'巴萨第1分钟全力施压，皮克传球，伊涅斯塔禁区前劲射偏出
3'皇马中场长传给左路~佩佩把球直接给出了边线                   1'巴萨第1分钟全力施压，皮克传球，伊涅斯塔禁区前劲射偏出
4'游戏人生2710:哎…这是我最早看到的西甲---晚上7点开赛的没看见吧？                   1'巴萨第1分钟全力施压，皮克传球，伊涅斯塔禁区前劲射偏出
4'皇马把球送到禁区~                   1'巴萨第1分钟全力施压，皮克传球，伊涅斯塔禁区前劲射偏出
4'卡卡脚后跟妙传本泽马~                   1'巴萨第1分钟全力施压，皮克传球，伊涅斯塔禁区前劲射偏出
4'扣过了马斯切拉诺，没有打门哪                   1'巴萨第1分钟全力施压，皮克传球，伊涅斯塔禁区前劲射偏出
4'最后皇马进攻中传球失误了                   1'巴萨第1分钟全力施压，皮克传球，伊涅斯塔禁区前劲射偏出
4'游戏人生2710:哎…这是我最早看到的西甲---晚上7点开赛的没看见吧？                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
4'皇马把球送到禁区~                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
4'卡卡脚后跟妙传本泽马~                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
4'扣过了马斯切拉诺，没有打门哪                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
4'最后皇马进攻中传球失误了                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
5'伊涅斯塔在中场掌控住皮球                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
5'梅西内切之后想给左路的比利亚                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
5'这球也是传大啦，直接出了底线                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
6'莫德里奇中场铲抢~                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
6'给边路的埃辛，皇马传中~被阿尔维斯解围出去                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
6'本泽马！！！                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
6'Goooooooooooooal~~~~                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
6'皇马第一次射门就取得了进球~                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
7'阿尔维斯在右路被过轻松抹过，莫拉塔传中~本泽马门前抢点推射空门                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
7'巴萨的防守太烂了                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
7'JO小佳:柠檬直播NBA ，也直播足球啊？---嗯，通杀~呵呵                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
7'进球之后镜头马上对准了梅西                   4'第4分钟，科恩特朗边路对佩德罗犯规，哈维右路任意球传中，普约尔12码处头球攻门偏出
12'巴萨今天在控球率方面感觉并不占多大的优势                   12'第12分钟，法布雷加斯传球，法布雷加斯传球，伊涅斯塔禁区左侧的射门被封堵
12'阿尔巴左路下底，拉莫斯大脚解围出去                   12'第12分钟，法布雷加斯传球，法布雷加斯传球，伊涅斯塔禁区左侧的射门被封堵
13'皇马收缩阵型之后留给巴萨的进攻空间太小了                   12'第12分钟，法布雷加斯传球，法布雷加斯传球，伊涅斯塔禁区左侧的射门被封堵
13'而巴萨现在球员的穿插跑动并不是太积极                   12'第12分钟，法布雷加斯传球，法布雷加斯传球，伊涅斯塔禁区左侧的射门被封堵
13'比利亚左路突破~低平球传中被莫德里奇解围了                   12'第12分钟，法布雷加斯传球，法布雷加斯传球，伊涅斯塔禁区左侧的射门被封堵
14'佩佩在前场争抢，倒地之后裁判没有理会                   12'第12分钟，法布雷加斯传球，法布雷加斯传球，伊涅斯塔禁区左侧的射门被封堵
14'巴萨只要一拿球，皇马是全体退防                   12'第12分钟，法布雷加斯传球，法布雷加斯传球，伊涅斯塔禁区左侧的射门被封堵
14'最面前的本泽马都回到后场参与防守                   12'第12分钟，法布雷加斯传球，法布雷加斯传球，伊涅斯塔禁区左侧的射门被封堵
15'巴萨反击缺乏速度                   12'第12分钟，法布雷加斯传球，法布雷加斯传球，伊涅斯塔禁区左侧的射门被封堵
15'伊涅斯塔传到右路，佩德罗~被围抢                   12'第12分钟，法布雷加斯传球，法布雷加斯传球，伊涅斯塔禁区左侧的射门被封堵
