1'好的，比赛开始了！                   1'第1分钟河南建业借助主场之利主动出击
1'舜天开场就逼到前场，但是犯规了。                   1'第1分钟河南建业借助主场之利主动出击
2'今天拉斐尔处在一个他不是很熟悉的位置，看看能不能有好的效果。                   1'第1分钟河南建业借助主场之利主动出击
2'球场上歌声不断，一直在为主队呐喊助威啊。                   1'第1分钟河南建业借助主场之利主动出击
3'安塔尔后场险些失误了！拿球被张璐断了，但是拉斐尔跟上打门打高了。                   1'第1分钟河南建业借助主场之利主动出击
4'建业进球了！                   1'第1分钟河南建业借助主场之利主动出击
3'安塔尔后场险些失误了！拿球被张璐断了，但是拉斐尔跟上打门打高了。                   3'开场仅3分钟河南建业便打破僵局――张璐在右路斜传禁区，舜天后卫解围不力，禁区外跟进的马科斯拔脚怒射，皮球如出膛炮弹直入死角，1-0
4'建业进球了！                   3'开场仅3分钟河南建业便打破僵局――张璐在右路斜传禁区，舜天后卫解围不力，禁区外跟进的马科斯拔脚怒射，皮球如出膛炮弹直入死角，1-0
5'张璐在右路传球，在中路漏了一下，马科斯在后点凌空打门！                   3'开场仅3分钟河南建业便打破僵局――张璐在右路斜传禁区，舜天后卫解围不力，禁区外跟进的马科斯拔脚怒射，皮球如出膛炮弹直入死角，1-0
5'这个球非常漂亮，配合精彩，打门果断，梦幻开局啊！                   3'开场仅3分钟河南建业便打破僵局――张璐在右路斜传禁区，舜天后卫解围不力，禁区外跟进的马科斯拔脚怒射，皮球如出膛炮弹直入死角，1-0
6'刚才肖智倒地裁判没有吹，但是之后埃雷尔森还是被吹了。                   3'开场仅3分钟河南建业便打破僵局――张璐在右路斜传禁区，舜天后卫解围不力，禁区外跟进的马科斯拔脚怒射，皮球如出膛炮弹直入死角，1-0
7'这个任意球战术打了出来，但是桑科打门被挡了。                   7'第7分钟建业三人之间的战术任意球，拉斐尔大力低射被关震侧身扑住
7'马科斯点了一下有点慢了，对面防守队员都看了出来。                   7'第7分钟建业三人之间的战术任意球，拉斐尔大力低射被关震侧身扑住
8'张璐又在右路突破传中，中路的肖智和埃雷尔森的纠缠下没有拿到球。                   7'第7分钟建业三人之间的战术任意球，拉斐尔大力低射被关震侧身扑住
8'舜天有点被那个进球打懵了啊，传球多次失误。                   7'第7分钟建业三人之间的战术任意球，拉斐尔大力低射被关震侧身扑住
9'建业在左路传个低平球，被后卫解围了。                   7'第7分钟建业三人之间的战术任意球，拉斐尔大力低射被关震侧身扑住
10'这个时候就看吴曦，孙可等人的表现了，能不能帮助舜天打开局面。                   7'第7分钟建业三人之间的战术任意球，拉斐尔大力低射被关震侧身扑住
10'埃雷尔森后场长传，没有人拿到。                   7'第7分钟建业三人之间的战术任意球，拉斐尔大力低射被关震侧身扑住
25'两边现在都没有什么办法攻到对方禁区，场面略显沉闷。                   25'第25分钟舜天中卫尹信荣受伤接受治疗，建业主帅贾秀全抓紧向拉斐尔交代战术布置
25'尹信荣好像有点伤，暂停了一下。                   25'第25分钟舜天中卫尹信荣受伤接受治疗，建业主帅贾秀全抓紧向拉斐尔交代战术布置
27'比赛进行了26分钟了，比分还是1比0                   25'第25分钟舜天中卫尹信荣受伤接受治疗，建业主帅贾秀全抓紧向拉斐尔交代战术布置
27'建业在中场拿球直塞，给的有点大了。                   25'第25分钟舜天中卫尹信荣受伤接受治疗，建业主帅贾秀全抓紧向拉斐尔交代战术布置
28'任航在前场自己拿球过掉一个人以后想要吊门，脚法没有控制好。                   25'第25分钟舜天中卫尹信荣受伤接受治疗，建业主帅贾秀全抓紧向拉斐尔交代战术布置
33'吴曦在中路带球连过两人给到艾利亚斯！但是艾利亚斯没有停好，否则是个很好的机会！                   33'第33分钟舜天前场任意球，三人之间小配合后吉翔突然大力低射，皮球穿过人墙被韩峰倒地扑出
33'舜天获得一个位置不错的角球                   33'第33分钟舜天前场任意球，三人之间小配合后吉翔突然大力低射，皮球穿过人墙被韩峰倒地扑出
