4'刘若钒后场拼抢犯规了！                   3'第3分钟刘若钒拦截姜至鹏时犯规吃到黄牌
4'吃到黄牌！                   3'第3分钟刘若钒拦截姜至鹏时犯规吃到黄牌
5'华夏前场左侧任意球！                   3'第3分钟刘若钒拦截姜至鹏时犯规吃到黄牌
5'距离球门33米的位置！                   3'第3分钟刘若钒拦截姜至鹏时犯规吃到黄牌
5'任意球给到小禁区左侧！                   3'第3分钟刘若钒拦截姜至鹏时犯规吃到黄牌
5'任航和对方争顶头球！                   3'第3分钟刘若钒拦截姜至鹏时犯规吃到黄牌
5'球进了！！                   3'第3分钟刘若钒拦截姜至鹏时犯规吃到黄牌
8'刘若钒前场拼抢得球！                   8'第8分钟曹赟定送球给罗梅罗，后者远射被杨程扑住
8'小禁区右侧近距离抽射！                   8'第8分钟曹赟定送球给罗梅罗，后者远射被杨程扑住
8'被杨程扑出啊！                   8'第8分钟曹赟定送球给罗梅罗，后者远射被杨程扑住
8'杨程出击拿回球！                   8'第8分钟曹赟定送球给罗梅罗，后者远射被杨程扑住
8'长传前场！                   8'第8分钟曹赟定送球给罗梅罗，后者远射被杨程扑住
9'莫雷诺反击分右侧！                   8'第8分钟曹赟定送球给罗梅罗，后者远射被杨程扑住
9'刘若钒得球横传中路罗梅罗！                   8'第8分钟曹赟定送球给罗梅罗，后者远射被杨程扑住
9'罗梅罗一脚低射！！                   8'第8分钟曹赟定送球给罗梅罗，后者远射被杨程扑住
9'球被杨程没收了！                   8'第8分钟曹赟定送球给罗梅罗，后者远射被杨程扑住
11' 赵宇豪长传前场左侧！                   8'第8分钟曹赟定送球给罗梅罗，后者远射被杨程扑住
11'球出了边线！                   8'第8分钟曹赟定送球给罗梅罗，后者远射被杨程扑住
17'角球给到后点！                   17'第17分钟荣昊左路传中，登巴巴空中潇洒跃起头球稍偏
17'姜至鹏凌空扫射！                   17'第17分钟荣昊左路传中，登巴巴空中潇洒跃起头球稍偏
17'球打飞了！                   17'第17分钟荣昊左路传中，登巴巴空中潇洒跃起头球稍偏
18'荣昊右侧45度传中！                   17'第17分钟荣昊左路传中，登巴巴空中潇洒跃起头球稍偏
18'登巴-巴头球攻门！                   17'第17分钟荣昊左路传中，登巴巴空中潇洒跃起头球稍偏
18'偏出左侧立柱！                   17'第17分钟荣昊左路传中，登巴巴空中潇洒跃起头球稍偏
24'罗梅罗回传莫雷诺！                   24'第24分钟高华泽左路防守犯规，罗梅罗在角度很偏的前提下，毅然射门被杨程扑住
24'横传左侧曹赟定！                   24'第24分钟高华泽左路防守犯规，罗梅罗在角度很偏的前提下，毅然射门被杨程扑住
24'曹赟定短传莫雷诺！                   24'第24分钟高华泽左路防守犯规，罗梅罗在角度很偏的前提下，毅然射门被杨程扑住
24'横传孙世林！                   24'第24分钟高华泽左路防守犯规，罗梅罗在角度很偏的前提下，毅然射门被杨程扑住
24'转移右侧荣昊！                   24'第24分钟高华泽左路防守犯规，罗梅罗在角度很偏的前提下，毅然射门被杨程扑住
25'荣昊内切突破被拉倒犯规！                   24'第24分钟高华泽左路防守犯规，罗梅罗在角度很偏的前提下，毅然射门被杨程扑住
25'申花前场右边路任意球！                   24'第24分钟高华泽左路防守犯规，罗梅罗在角度很偏的前提下，毅然射门被杨程扑住
25'罗梅罗直接远射！                   24'第24分钟高华泽左路防守犯规，罗梅罗在角度很偏的前提下，毅然射门被杨程扑住
25'球被杨程扑下来！                   24'第24分钟高华泽左路防守犯规，罗梅罗在角度很偏的前提下，毅然射门被杨程扑住
27'柏佳骏挑传莫雷诺！转身球被捅出边线！                   24'第24分钟高华泽左路防守犯规，罗梅罗在角度很偏的前提下，毅然射门被杨程扑住
30'马斯切拉诺长传禁区左侧底线！                   30'第30分钟申花外援配合，登巴巴接到罗梅罗横传，调整一下后禁区外远射，结果被杨程再次稳稳扑住来球
30'拉维奇转身传中！                   30'第30分钟申花外援配合，登巴巴接到罗梅罗横传，调整一下后禁区外远射，结果被杨程再次稳稳扑住来球
30'球打中防守球员出了底线！                   30'第30分钟申花外援配合，登巴巴接到罗梅罗横传，调整一下后禁区外远射，结果被杨程再次稳稳扑住来球
30'华夏左侧角球！                   30'第30分钟申花外援配合，登巴巴接到罗梅罗横传，调整一下后禁区外远射，结果被杨程再次稳稳扑住来球
31'登巴-巴中路得球！                   30'第30分钟申花外援配合，登巴巴接到罗梅罗横传，调整一下后禁区外远射，结果被杨程再次稳稳扑住来球
31'直接选择兜射！！                   30'第30分钟申花外援配合，登巴巴接到罗梅罗横传，调整一下后禁区外远射，结果被杨程再次稳稳扑住来球
31'球被杨程倒地抱住！                   30'第30分钟申花外援配合，登巴巴接到罗梅罗横传，调整一下后禁区外远射，结果被杨程再次稳稳扑住来球
32'申花换人了！张璐换下刘若钒！                   30'第30分钟申花外援配合，登巴巴接到罗梅罗横传，调整一下后禁区外远射，结果被杨程再次稳稳扑住来球
33'姜至鹏中场趟球突破！                   30'第30分钟申花外援配合，登巴巴接到罗梅罗横传，调整一下后禁区外远射，结果被杨程再次稳稳扑住来球
33'被张璐铲倒！                   30'第30分钟申花外援配合，登巴巴接到罗梅罗横传，调整一下后禁区外远射，结果被杨程再次稳稳扑住来球
33'裁判给了张璐黄牌！                   30'第30分钟申花外援配合，登巴巴接到罗梅罗横传，调整一下后禁区外远射，结果被杨程再次稳稳扑住来球
33'张璐刚上场就吃黄牌啊！                   30'第30分钟申花外援配合，登巴巴接到罗梅罗横传，调整一下后禁区外远射，结果被杨程再次稳稳扑住来球
33'完全没有收脚！                   30'第30分钟申花外援配合，登巴巴接到罗梅罗横传，调整一下后禁区外远射，结果被杨程再次稳稳扑住来球
32'申花换人了！张璐换下刘若钒！                   32'第32分钟张璐正面大动作铲倒姜至鹏吃到黄牌
33'姜至鹏中场趟球突破！                   32'第32分钟张璐正面大动作铲倒姜至鹏吃到黄牌
33'被张璐铲倒！                   32'第32分钟张璐正面大动作铲倒姜至鹏吃到黄牌
33'裁判给了张璐黄牌！                   32'第32分钟张璐正面大动作铲倒姜至鹏吃到黄牌
33'张璐刚上场就吃黄牌啊！                   32'第32分钟张璐正面大动作铲倒姜至鹏吃到黄牌
33'完全没有收脚！                   32'第32分钟张璐正面大动作铲倒姜至鹏吃到黄牌
34'队医进来检查了！                   32'第32分钟张璐正面大动作铲倒姜至鹏吃到黄牌
35'华夏前场左侧任意球！                   32'第32分钟张璐正面大动作铲倒姜至鹏吃到黄牌
35'裁判在听VAR意见！                   32'第32分钟张璐正面大动作铲倒姜至鹏吃到黄牌
35'看是不是给红牌！                   32'第32分钟张璐正面大动作铲倒姜至鹏吃到黄牌
35'裁判选择去看视频了！                   32'第32分钟张璐正面大动作铲倒姜至鹏吃到黄牌
39'马斯切拉诺短传任航！                   38'第38分钟姜至鹏从左路传进皮球，背对大门无法转身的高华泽把球往外拨，无人看守的罗森文中路推射得分，2比0
39'分左侧姜至鹏！斜传给拉维奇！                   38'第38分钟姜至鹏从左路传进皮球，背对大门无法转身的高华泽把球往外拨，无人看守的罗森文中路推射得分，2比0
39'失误了！莫雷诺反击被断！                   38'第38分钟姜至鹏从左路传进皮球，背对大门无法转身的高华泽把球往外拨，无人看守的罗森文中路推射得分，2比0
39'拉维奇中路分进球左侧！                   38'第38分钟姜至鹏从左路传进皮球，背对大门无法转身的高华泽把球往外拨，无人看守的罗森文中路推射得分，2比0
39'姜至鹏得球横传中路！                   38'第38分钟姜至鹏从左路传进皮球，背对大门无法转身的高华泽把球往外拨，无人看守的罗森文中路推射得分，2比0
39'张呈栋得球回传！                   38'第38分钟姜至鹏从左路传进皮球，背对大门无法转身的高华泽把球往外拨，无人看守的罗森文中路推射得分，2比0
39'罗森文迎球推射！！                   38'第38分钟姜至鹏从左路传进皮球，背对大门无法转身的高华泽把球往外拨，无人看守的罗森文中路推射得分，2比0
39'GOOOOOOOOOOOOOAL！                   38'第38分钟姜至鹏从左路传进皮球，背对大门无法转身的高华泽把球往外拨，无人看守的罗森文中路推射得分，2比0
41'莫雷诺长传中场！                   38'第38分钟姜至鹏从左路传进皮球，背对大门无法转身的高华泽把球往外拨，无人看守的罗森文中路推射得分，2比0
41'赵宇豪头球解围！                   38'第38分钟姜至鹏从左路传进皮球，背对大门无法转身的高华泽把球往外拨，无人看守的罗森文中路推射得分，2比0
41'前场右侧拼抢！                   38'第38分钟姜至鹏从左路传进皮球，背对大门无法转身的高华泽把球往外拨，无人看守的罗森文中路推射得分，2比0
41'莫雷诺犯规了！                   38'第38分钟姜至鹏从左路传进皮球，背对大门无法转身的高华泽把球往外拨，无人看守的罗森文中路推射得分，2比0
41'华夏 前场右侧任意球！                   38'第38分钟姜至鹏从左路传进皮球，背对大门无法转身的高华泽把球往外拨，无人看守的罗森文中路推射得分，2比0
41'任意球给到后点！                   38'第38分钟姜至鹏从左路传进皮球，背对大门无法转身的高华泽把球往外拨，无人看守的罗森文中路推射得分，2比0
44'马斯切拉诺后场得球！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
44'斜传左侧姜至鹏！直传前场！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
44'被破坏出去！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
44'罗森文得球长传禁区左侧！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
44'姜至鹏得球传中到后点！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
44'柏佳骏头球回传李帅！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
44'李帅长传前场！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
45'罗梅罗右侧突破禁区！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
45'顶着防守小角度抽射！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
45'被杨程扑出了底线！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
45'申花右侧角球！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
45'战术角球给出来！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
45'传中到前点被解围了！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
46'罗森文中路远射！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
46'李帅扑救脱手！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
46'幸好李帅自己拿回来！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
46'曹赟定得球分左侧柏佳骏！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
46'挑传禁区左侧！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
46'球直接出了底线！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
46'裁判哨响！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
46'下半场开始了！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
46'登巴-巴弧顶远射！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
46'打中防守球员弹起来！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
46'球被杨程拿到！                   44'第44分钟申花队也获得机会，但罗梅罗的射门被杨程扑出
62'登巴-巴被受伤了！                   61'第61分钟上半场已经有伤的登巴巴又倒在地上，吴金贵做出换人手势
62'准备换下！                   61'第61分钟上半场已经有伤的登巴巴又倒在地上，吴金贵做出换人手势
63'高迪换下登巴-巴！                   61'第61分钟上半场已经有伤的登巴巴又倒在地上，吴金贵做出换人手势
63'罗梅罗中场长传前场右侧！                   61'第61分钟上半场已经有伤的登巴巴又倒在地上，吴金贵做出换人手势
63'荣昊挑球打中姜至鹏手臂！                   61'第61分钟上半场已经有伤的登巴巴又倒在地上，吴金贵做出换人手势
