1'上半场比赛开始！！                   1'第1分钟国安率先展开冲击，李磊在任意球攻势中前插头球被判越位
1'首先由身穿绿衣绿裤的国安开球，从画面的右侧向左进攻！！                   1'第1分钟国安率先展开冲击，李磊在任意球攻势中前插头球被判越位
1'雷腾龙后场拿球，过顶长传到前场                   1'第1分钟国安率先展开冲击，李磊在任意球攻势中前插头球被判越位
2'可惜力量太大，球被张鹭出击拿到                   1'第1分钟国安率先展开冲击，李磊在任意球攻势中前插头球被判越位
2'维特塞尔中场拿球，面对逼抢，分球郑达伦                   1'第1分钟国安率先展开冲击，李磊在任意球攻势中前插头球被判越位
2'可惜郑达伦停球没停好，球先出了边线！！                   1'第1分钟国安率先展开冲击，李磊在任意球攻势中前插头球被判越位
3'国安前场进攻，赢得左侧的任意球机会！                   1'第1分钟国安率先展开冲击，李磊在任意球攻势中前插头球被判越位
3'奥古斯托任意球斜传到禁区，李磊的头球，顶偏！！                   1'第1分钟国安率先展开冲击，李磊在任意球攻势中前插头球被判越位
3'同时边裁举旗，吹罚了李磊越位在先！！                   1'第1分钟国安率先展开冲击，李磊在任意球攻势中前插头球被判越位
4'权健前场进攻，赵旭日的过顶球到禁区左侧                   1'第1分钟国安率先展开冲击，李磊在任意球攻势中前插头球被判越位
4'糜昊伦插上拿球，回传找李星灿                   1'第1分钟国安率先展开冲击，李磊在任意球攻势中前插头球被判越位
4'李星灿凌空打门，踢飞了！！                   1'第1分钟国安率先展开冲击，李磊在任意球攻势中前插头球被判越位
4'同时边裁举旗，吹罚了糜昊伦之前接应过顶球，越位在先                   1'第1分钟国安率先展开冲击，李磊在任意球攻势中前插头球被判越位
11'奥古斯托的任意球斜传禁区，晋鹏翔插上头球，顶偏！                   11'第11分钟，晋鹏翔后场回传时力道稍轻，帕托前插几乎获得单刀机会，杨智及时冲出禁区将球破坏
12'权健前场进攻，左路的直塞球打身后                   11'第11分钟，晋鹏翔后场回传时力道稍轻，帕托前插几乎获得单刀机会，杨智及时冲出禁区将球破坏
12'帕托前插接应，单刀了！！                   11'第11分钟，晋鹏翔后场回传时力道稍轻，帕托前插几乎获得单刀机会，杨智及时冲出禁区将球破坏
12'杨智出击到禁区外，一个滑铲，将球破坏！！                   11'第11分钟，晋鹏翔后场回传时力道稍轻，帕托前插几乎获得单刀机会，杨智及时冲出禁区将球破坏
14'赵旭日中场拿球，拉尔夫上抢犯规！！                   11'第11分钟，晋鹏翔后场回传时力道稍轻，帕托前插几乎获得单刀机会，杨智及时冲出禁区将球破坏
14'权健获得前场中路，靠近左侧的任意球机会！                   11'第11分钟，晋鹏翔后场回传时力道稍轻，帕托前插几乎获得单刀机会，杨智及时冲出禁区将球破坏
14'帕托的任意球斜传到禁区                   11'第11分钟，晋鹏翔后场回传时力道稍轻，帕托前插几乎获得单刀机会，杨智及时冲出禁区将球破坏
14'维特塞尔头球，没顶到！！                   11'第11分钟，晋鹏翔后场回传时力道稍轻，帕托前插几乎获得单刀机会，杨智及时冲出禁区将球破坏
14'国安球员一个倒勾，将球解围出来！！                   11'第11分钟，晋鹏翔后场回传时力道稍轻，帕托前插几乎获得单刀机会，杨智及时冲出禁区将球破坏
18'权景元左路的直塞球，被晋鹏翔解围出边线！                   18'第18分钟，权健取得入球：权敬源在本场比赛中首次大力投掷界外球，他用毛巾擦球时现场球迷给出掌声；皮球掷入后权健展开持续冲击，帕托将球塞至禁区右侧，维特塞尔底线前传中穿越国安防线，后点包抄的郑达伦轻松攻破空门
18'权健进球了！！！                   18'第18分钟，权健取得入球：权敬源在本场比赛中首次大力投掷界外球，他用毛巾擦球时现场球迷给出掌声；皮球掷入后权健展开持续冲击，帕托将球塞至禁区右侧，维特塞尔底线前传中穿越国安防线，后点包抄的郑达伦轻松攻破空门
18'郑达伦的推射得手！！                   18'第18分钟，权健取得入球：权敬源在本场比赛中首次大力投掷界外球，他用毛巾擦球时现场球迷给出掌声；皮球掷入后权健展开持续冲击，帕托将球塞至禁区右侧，维特塞尔底线前传中穿越国安防线，后点包抄的郑达伦轻松攻破空门
20'维特塞尔前场中路拿球，分球右侧给帕托，做踢墙配合，维特塞尔强突横传，张修维前点抢点打门被挡出到后点，郑达伦推射空门得分！                   18'第18分钟，权健取得入球：权敬源在本场比赛中首次大力投掷界外球，他用毛巾擦球时现场球迷给出掌声；皮球掷入后权健展开持续冲击，帕托将球塞至禁区右侧，维特塞尔底线前传中穿越国安防线，后点包抄的郑达伦轻松攻破空门
20'李磊左路拿球，横传奥古斯托                   18'第18分钟，权健取得入球：权敬源在本场比赛中首次大力投掷界外球，他用毛巾擦球时现场球迷给出掌声；皮球掷入后权健展开持续冲击，帕托将球塞至禁区右侧，维特塞尔底线前传中穿越国安防线，后点包抄的郑达伦轻松攻破空门
20'奥古斯托的斜传到禁区，第一点被权健球员解围出来                   18'第18分钟，权健取得入球：权敬源在本场比赛中首次大力投掷界外球，他用毛巾擦球时现场球迷给出掌声；皮球掷入后权健展开持续冲击，帕托将球塞至禁区右侧，维特塞尔底线前传中穿越国安防线，后点包抄的郑达伦轻松攻破空门
