1'上半场比赛开始！！                   1'曼联第1分钟主动施压
1'首先开球的是曼联                   1'曼联第1分钟主动施压
1'曼联边路拿球推进                   1'曼联第1分钟主动施压
1'往前输送被沃特福德断抢                   1'曼联第1分钟主动施压
1'迪尼前场拿球被断                   1'曼联第1分钟主动施压
1'反抢的时候对拜利犯规                   1'曼联第1分钟主动施压
2'埃雷拉中场没有控下球来                   1'曼联第1分钟主动施压
2'马塔中场拿球稳一下                   1'曼联第1分钟主动施压
2'拜利拿球没有很好的出球线路                   1'曼联第1分钟主动施压
3'瓦伦西亚右路拿球做撞墙                   1'曼联第1分钟主动施压
3'右路起球送禁区                   1'曼联第1分钟主动施压
3'伊布这边直接凌空到一脚                   1'曼联第1分钟主动施压
3'打了一个反弹球                   1'曼联第1分钟主动施压
3'偏出了门框                   1'曼联第1分钟主动施压
3'伊布的动作做了早一点                   1'曼联第1分钟主动施压
4'幸福长相伴美满一家人：这场有帽子戏法---看样子是个大比分                   1'曼联第1分钟主动施压
25'高度稍微低了一点                   25'曼联第25分钟错过机会，博格巴直传，反越位成功的伊布胸部停球后小禁区左上角外凌空抽射偏出
25'曼联底线拿球                   25'曼联第25分钟错过机会，博格巴直传，反越位成功的伊布胸部停球后小禁区左上角外凌空抽射偏出
25'倒三角传回来                   25'曼联第25分钟错过机会，博格巴直传，反越位成功的伊布胸部停球后小禁区左上角外凌空抽射偏出
25'马夏尔的打门抡空了                   25'曼联第25分钟错过机会，博格巴直传，反越位成功的伊布胸部停球后小禁区左上角外凌空抽射偏出
27'萨拉特禁区内倒钩打门                   25'曼联第25分钟错过机会，博格巴直传，反越位成功的伊布胸部停球后小禁区左上角外凌空抽射偏出
27'球打得比较正                   25'曼联第25分钟错过机会，博格巴直传，反越位成功的伊布胸部停球后小禁区左上角外凌空抽射偏出
27'博格巴前场做撞墙                   25'曼联第25分钟错过机会，博格巴直传，反越位成功的伊布胸部停球后小禁区左上角外凌空抽射偏出
27'没有渗透过去                   25'曼联第25分钟错过机会，博格巴直传，反越位成功的伊布胸部停球后小禁区左上角外凌空抽射偏出
27'曼联这边换到右路来进攻                   25'曼联第25分钟错过机会，博格巴直传，反越位成功的伊布胸部停球后小禁区左上角外凌空抽射偏出
28'瓦伦西亚右路低平球给到禁区内                   25'曼联第25分钟错过机会，博格巴直传，反越位成功的伊布胸部停球后小禁区左上角外凌空抽射偏出
28'博格巴中路推射被戈麦斯封了出去                   25'曼联第25分钟错过机会，博格巴直传，反越位成功的伊布胸部停球后小禁区左上角外凌空抽射偏出
31'推射居然是打高了！！                   31'沃特福德第31分钟再次救险，马塔禁区左侧传中，伊布近距离头球攻门被戈麦斯神勇扑出
31'曼联左路机会又来了                   31'沃特福德第31分钟再次救险，马塔禁区左侧传中，伊布近距离头球攻门被戈麦斯神勇扑出
31'底线的半高球到禁区                   31'沃特福德第31分钟再次救险，马塔禁区左侧传中，伊布近距离头球攻门被戈麦斯神勇扑出
31'伊布头球攻门被戈麦斯扑了出去                   31'沃特福德第31分钟再次救险，马塔禁区左侧传中，伊布近距离头球攻门被戈麦斯神勇扑出
31'禁区内第二落点                   31'沃特福德第31分钟再次救险，马塔禁区左侧传中，伊布近距离头球攻门被戈麦斯神勇扑出
31'跟进的队友滑铲没有碰到                   31'沃特福德第31分钟再次救险，马塔禁区左侧传中，伊布近距离头球攻门被戈麦斯神勇扑出
32'1-0！！！                   31'沃特福德第31分钟再次救险，马塔禁区左侧传中，伊布近距离头球攻门被戈麦斯神勇扑出
32'马塔！！！                   31'沃特福德第31分钟再次救险，马塔禁区左侧传中，伊布近距离头球攻门被戈麦斯神勇扑出
33'曼联前场中路拿球给到左路，马夏尔告诉跟进后低平球给到中路，伊布想脚后跟打门没有碰到，马塔跟进推射破门！！                   31'沃特福德第31分钟再次救险，马塔禁区左侧传中，伊布近距离头球攻门被戈麦斯神勇扑出
33'戈麦斯这次也是先被伊布晃了一下                   31'沃特福德第31分钟再次救险，马塔禁区左侧传中，伊布近距离头球攻门被戈麦斯神勇扑出
33'沃特福德中场获得一个任意球                   31'沃特福德第31分钟再次救险，马塔禁区左侧传中，伊布近距离头球攻门被戈麦斯神勇扑出
33'任意球给到禁区                   31'沃特福德第31分钟再次救险，马塔禁区左侧传中，伊布近距离头球攻门被戈麦斯神勇扑出
34'第一点被曼联顶出来                   31'沃特福德第31分钟再次救险，马塔禁区左侧传中，伊布近距离头球攻门被戈麦斯神勇扑出
34'卡普埃二点争抢的时候抬脚过高                   31'沃特福德第31分钟再次救险，马塔禁区左侧传中，伊布近距离头球攻门被戈麦斯神勇扑出
60'2-0！！！                   60'曼联第60分钟扩大比分，伊布反击中直传，马夏尔切入禁区左肋8码处射入近角，2-0
60'马夏尔！！                   60'曼联第60分钟扩大比分，伊布反击中直传，马夏尔切入禁区左肋8码处射入近角，2-0
60'伊布前场接球直塞给到马夏尔，马夏尔带球到禁区内小角度推射近角破门！！                   60'曼联第60分钟扩大比分，伊布反击中直传，马夏尔切入禁区左肋8码处射入近角，2-0
60'曼联扩大了比分                   60'曼联第60分钟扩大比分，伊布反击中直传，马夏尔切入禁区左肋8码处射入近角，2-0
61'曼联中场拿球回敲                   60'曼联第60分钟扩大比分，伊布反击中直传，马夏尔切入禁区左肋8码处射入近角，2-0
61'沃特福德这边似乎是要提速了                   60'曼联第60分钟扩大比分，伊布反击中直传，马夏尔切入禁区左肋8码处射入近角，2-0
62'伊布争抢有一个拉人的动作                   60'曼联第60分钟扩大比分，伊布反击中直传，马夏尔切入禁区左肋8码处射入近角，2-0
