1'上半场比赛开始！！                   1'沃特福德第1分钟占据主动
1'首先开球的是沃特福德                   1'沃特福德第1分钟占据主动
1'切尔西后场拿球                   1'沃特福德第1分钟占据主动
1'坎特拿球中场转移                   1'沃特福德第1分钟占据主动
1'沃特福德这边也是展开中场拦截                   1'沃特福德第1分钟占据主动
1'切尔西后场大范围转移                   1'沃特福德第1分钟占据主动
1'也是没有太好的办法                   1'沃特福德第1分钟占据主动
1'沃特福德中场断球下来                   1'沃特福德第1分钟占据主动
2'马上就被巴卡约科断了                   1'沃特福德第1分钟占据主动
2'巴卡约科这边回传又是险些失误啊                   1'沃特福德第1分钟占据主动
3'切尔西传球给到左路                   1'沃特福德第1分钟占据主动
3'卡希尔的突破没有过去                   1'沃特福德第1分钟占据主动
3'比赛开始后双方的节奏并不快                   1'沃特福德第1分钟占据主动
3'切尔西中场送直塞                   1'沃特福德第1分钟占据主动
4'给的并不好                   1'沃特福德第1分钟占据主动
12'双方现在是都有机会啊                   12'切尔西首次射门出现在第12分钟，但威廉禁区右侧射门打飞
12'沃特福德前场送直塞                   12'切尔西首次射门出现在第12分钟，但威廉禁区右侧射门打飞
12'禁区弧顶乌洛费乌接球                   12'切尔西首次射门出现在第12分钟，但威廉禁区右侧射门打飞
12'边裁这边先举旗示意                   12'切尔西首次射门出现在第12分钟，但威廉禁区右侧射门打飞
12'越位                   12'切尔西首次射门出现在第12分钟，但威廉禁区右侧射门打飞
13'慢镜头的回放也是不好说啊                   12'切尔西首次射门出现在第12分钟，但威廉禁区右侧射门打飞
13'沃特福德后场控球下来                   12'切尔西首次射门出现在第12分钟，但威廉禁区右侧射门打飞
13'往前送的时候被断了                   12'切尔西首次射门出现在第12分钟，但威廉禁区右侧射门打飞
30'巴卡约科两黄变一红！！！！                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
30'这是什么情况！！                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
30'巴卡约科中场丢球后又是反抢                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
30'抢球的时候裁判认为有瞪踏对手的意思                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
31'这样巴卡约科被罚下了                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
31'切尔西少一人作战                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
31'切尔西这边要尽快做出调整了                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
31'还有60分钟的时间，切尔西要少一人应战                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
31'沃特福德中场拿球给到边路                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
32'中场横向转移                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
32'右路起球送禁区                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
32'没有过顶                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
32'切尔西这边反击的机会                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
32'摩西右路拿球                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
32'没有往前走                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
32'而是先选择了回敲                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
32'还是求稳                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
32'毕竟现在又是少一人                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
33'切尔西中场稳一下                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
33'沃特福德开始展开上抢                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
33'库尔图瓦大脚送到中场                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
33'沃特福德没有将球控下来                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
33'阿扎尔前场拿球被侵犯                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
33'切尔西这边要准备换人了                   30'切尔西第30分钟遭遇打击，巴卡约科对理查利森犯规被麦克-迪恩掏出第2张黄牌罚下，他5分钟前对卡普埃犯规领到首张黄牌
42'库尔图瓦出击扑到了德乌洛费乌！！                   42'沃特福德第42分钟打破僵局，德乌洛费乌禁区右侧被库尔图瓦出击扑倒，迪尼主罚点球命中
42'裁判这边直接吹罚点球                   42'沃特福德第42分钟打破僵局，德乌洛费乌禁区右侧被库尔图瓦出击扑倒，迪尼主罚点球命中
42'迪尼来主罚                   42'沃特福德第42分钟打破僵局，德乌洛费乌禁区右侧被库尔图瓦出击扑倒，迪尼主罚点球命中
42'点球推射左路，库尔图瓦这边站住中路，没有办法了！！！1-0！！！                   42'沃特福德第42分钟打破僵局，德乌洛费乌禁区右侧被库尔图瓦出击扑倒，迪尼主罚点球命中
43'迪尼这边也是打破球晃                   42'沃特福德第42分钟打破僵局，德乌洛费乌禁区右侧被库尔图瓦出击扑倒，迪尼主罚点球命中
43'这样对切尔西来说比较困难了                   42'沃特福德第42分钟打破僵局，德乌洛费乌禁区右侧被库尔图瓦出击扑倒，迪尼主罚点球命中
