4'大脚给到前场左侧！                   1'利物浦第1分钟全力施压
4'球被隆东顶了一下！                   1'利物浦第1分钟全力施压
4'出了界外！                   1'利物浦第1分钟全力施压
13'走禁区内！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
14'球进了！！！！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
14'阿诺德角球开出去！后点范迪克跑出空位！高高跃起！暴力头槌入网！！！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
14'利物浦客场领先了！！！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
14'利物浦的角球机会！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
14'中圈弧附近法比尼奥得球！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
15'分右路阿诺德！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
15'大脚给上去！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
15'到了纽卡禁区内！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
15'杜布拉夫卡大脚给上去！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
15'给右路佩雷斯！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
15'阿利森出来！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
15'佩雷斯推倒了阿利森！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
15'球也出底线了！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
16'这边马内好像有机会！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
16'左侧禁区！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
16'被杜布拉夫卡得到了！趟大了一点点！！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
16'杜布拉夫卡大脚开出去！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
16'前场分右路！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
16'右路佩雷斯得球！                   13'利物浦第13分钟取得领先，阿诺德开出角球，无人盯防的范戴克小禁区边缘头球破门
28'斯图里奇得球！                   28'利物浦第28分钟再次超出，斯图里奇在2人紧逼下脚后跟妙传，阿诺德右路传中，无人防守的萨拉赫10码处凌空垫射入网，2-1
28'分回来阿诺德！                   28'利物浦第28分钟再次超出，斯图里奇在2人紧逼下脚后跟妙传，阿诺德右路传中，无人防守的萨拉赫10码处凌空垫射入网，2-1
28'45°传中！！                   28'利物浦第28分钟再次超出，斯图里奇在2人紧逼下脚后跟妙传，阿诺德右路传中，无人防守的萨拉赫10码处凌空垫射入网，2-1
28'萨拉赫禁区内推射！                   28'利物浦第28分钟再次超出，斯图里奇在2人紧逼下脚后跟妙传，阿诺德右路传中，无人防守的萨拉赫10码处凌空垫射入网，2-1
28'球进了！！                   28'利物浦第28分钟再次超出，斯图里奇在2人紧逼下脚后跟妙传，阿诺德右路传中，无人防守的萨拉赫10码处凌空垫射入网，2-1
28'利物浦重新领先！                   28'利物浦第28分钟再次超出，斯图里奇在2人紧逼下脚后跟妙传，阿诺德右路传中，无人防守的萨拉赫10码处凌空垫射入网，2-1
29'阿诺德界外球掷出来！斯图里奇做回来球！阿诺德45°传中！！后点的萨拉赫推射入网！！！                   28'利物浦第28分钟再次超出，斯图里奇在2人紧逼下脚后跟妙传，阿诺德右路传中，无人防守的萨拉赫10码处凌空垫射入网，2-1
29'阿诺德和罗伯逊的助攻数量都来到了11！可谓是双十一啊！！                   28'利物浦第28分钟再次超出，斯图里奇在2人紧逼下脚后跟妙传，阿诺德右路传中，无人防守的萨拉赫10码处凌空垫射入网，2-1
