3'库蒂尼奥左路带球直传，苏亚雷斯得球小角度打门被后卫挡出                   3'开场仅3分钟，库蒂尼奥传球，苏亚雷斯禁区左侧射近角被里科扑出
4'保利尼奥控球，分右路的罗贝托                   3'开场仅3分钟，库蒂尼奥传球，苏亚雷斯禁区左侧射近角被里科扑出
4'回传给皮克                   3'开场仅3分钟，库蒂尼奥传球，苏亚雷斯禁区左侧射近角被里科扑出
4'交给乌姆蒂蒂，直传，伊涅斯塔接应分边，传到了阿尔巴身后出边线                   3'开场仅3分钟，库蒂尼奥传球，苏亚雷斯禁区左侧射近角被里科扑出
4'乌姆蒂蒂交给皮克                   3'开场仅3分钟，库蒂尼奥传球，苏亚雷斯禁区左侧射近角被里科扑出
6'巴斯克斯前场断球，传中被皮克挡一下                   3'开场仅3分钟，库蒂尼奥传球，苏亚雷斯禁区左侧射近角被里科扑出
6'塞尔维亚中场控球                   3'开场仅3分钟，库蒂尼奥传球，苏亚雷斯禁区左侧射近角被里科扑出
6'克亚尔交给朗格莱                   3'开场仅3分钟，库蒂尼奥传球，苏亚雷斯禁区左侧射近角被里科扑出
6'直传，登贝莱断球分给保利尼奥                   3'开场仅3分钟，库蒂尼奥传球，苏亚雷斯禁区左侧射近角被里科扑出
6'回传给拉基蒂奇，再分给伊涅斯塔                   3'开场仅3分钟，库蒂尼奥传球，苏亚雷斯禁区左侧射近角被里科扑出
37'科雷阿禁区左侧得球，与巴内加做二过一配合后横传门前                   36'塞维利亚第36分钟打破僵局，科雷亚禁区左侧传中，无人防守的巴斯克斯小禁区前推射入网
37'巴斯克斯无人看防下在门前将球推射入网                   36'塞维利亚第36分钟打破僵局，科雷亚禁区左侧传中，无人防守的巴斯克斯小禁区前推射入网
38'塞尔维亚1：0领先巴塞罗那                   36'塞维利亚第36分钟打破僵局，科雷亚禁区左侧传中，无人防守的巴斯克斯小禁区前推射入网
38'拉基蒂奇控球，分给左侧的伊涅斯塔                   36'塞维利亚第36分钟打破僵局，科雷亚禁区左侧传中，无人防守的巴斯克斯小禁区前推射入网
38'回一下，拉基蒂奇推进，直传被拦截                   36'塞维利亚第36分钟打破僵局，科雷亚禁区左侧传中，无人防守的巴斯克斯小禁区前推射入网
38'巴内加交给穆尼尔，趟大了                   36'塞维利亚第36分钟打破僵局，科雷亚禁区左侧传中，无人防守的巴斯克斯小禁区前推射入网
39'巴塞罗那反击                   36'塞维利亚第36分钟打破僵局，科雷亚禁区左侧传中，无人防守的巴斯克斯小禁区前推射入网
39'伊涅斯塔左路转移给罗贝托                   36'塞维利亚第36分钟打破僵局，科雷亚禁区左侧传中，无人防守的巴斯克斯小禁区前推射入网
39'内切，交给苏亚雷斯，回传一下                   36'塞维利亚第36分钟打破僵局，科雷亚禁区左侧传中，无人防守的巴斯克斯小禁区前推射入网
50'塞尔维亚再进一球！                   50'塞维利亚第50分钟扩大比分，埃斯库德罗禁区左侧劲射被扑出，穆里尔12码处射门打在乌姆蒂蒂腿上偏转后击中左侧立柱内侧入网，2-0
50'穆尼尔的进球！                   50'塞维利亚第50分钟扩大比分，埃斯库德罗禁区左侧劲射被扑出，穆里尔12码处射门打在乌姆蒂蒂腿上偏转后击中左侧立柱内侧入网，2-0
50'穆尼尔禁区边缘分给巴内加，巴内加劲射被特尔施特根挡出！                   50'塞维利亚第50分钟扩大比分，埃斯库德罗禁区左侧劲射被扑出，穆里尔12码处射门打在乌姆蒂蒂腿上偏转后击中左侧立柱内侧入网，2-0
