4'伊波比拿到！往前送！禁区前沿右侧！胡特滑铲！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
4'纳斯里禁区右路一脚抽射！门将解围出去！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
4'右侧角球！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
5'纳斯里传中！禁区内没拿拿到！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
5'皮球直接开出了底线！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
5'莱斯特球门球！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
5'大脚开出来！中场伊波比拿到！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
5'低平球斜传左路！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
6'马赫雷斯拦截下来！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
6'德林克沃特断下！直接一脚出球！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
6'拉米边路拼抢碰出边线！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
6'莱斯特右路界外球出来！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
6'给到右路马赫雷斯！带丢了！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
7'伊波比拿到！斜传前场！福克斯破坏出边线！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
7'前场右路瓦尔迪！往前带！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
7'遭遇逼抢！埃斯库德罗上抢一脚踢出界！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
27'伊波比犯规了！                   27'莱斯特城第27分钟取得领先，马赫雷斯左路任意球传中，摩根小禁区右侧抢在梅卡多之前用膝盖将皮球顶入
27'莱斯特禁区左侧定位球！吊向禁区！                   27'莱斯特城第27分钟取得领先，马赫雷斯左路任意球传中，摩根小禁区右侧抢在梅卡多之前用膝盖将皮球顶入
27'摩根头球一顶！                   27'莱斯特城第27分钟取得领先，马赫雷斯左路任意球传中，摩根小禁区右侧抢在梅卡多之前用膝盖将皮球顶入
27'进了进了进了进了进了进了！！！！！！！！！！！！！！                   27'莱斯特城第27分钟取得领先，马赫雷斯左路任意球传中，摩根小禁区右侧抢在梅卡多之前用膝盖将皮球顶入
28'上半场26分钟！摩根头球首开记录！1-0！！！！！！！                   27'莱斯特城第27分钟取得领先，马赫雷斯左路任意球传中，摩根小禁区右侧抢在梅卡多之前用膝盖将皮球顶入
28'比赛继续！                   27'莱斯特城第27分钟取得领先，马赫雷斯左路任意球传中，摩根小禁区右侧抢在梅卡多之前用膝盖将皮球顶入
29'前场左路瓦尔迪！突破！梅尔克多出脚断下！                   27'莱斯特城第27分钟取得领先，马赫雷斯左路任意球传中，摩根小禁区右侧抢在梅卡多之前用膝盖将皮球顶入
29'大脚长传到前场！右路伊波比！远射啊！！！                   27'莱斯特城第27分钟取得领先，马赫雷斯左路任意球传中，摩根小禁区右侧抢在梅卡多之前用膝盖将皮球顶入
29'胡特踢出底线！                   27'莱斯特城第27分钟取得领先，马赫雷斯左路任意球传中，摩根小禁区右侧抢在梅卡多之前用膝盖将皮球顶入
29'右侧角球！                   27'莱斯特城第27分钟取得领先，马赫雷斯左路任意球传中，摩根小禁区右侧抢在梅卡多之前用膝盖将皮球顶入
29'战术角球！                   27'莱斯特城第27分钟取得领先，马赫雷斯左路任意球传中，摩根小禁区右侧抢在梅卡多之前用膝盖将皮球顶入
30'禁区内胡特解围出来！比托洛拿到！下底！传中！                   27'莱斯特城第27分钟取得领先，马赫雷斯左路任意球传中，摩根小禁区右侧抢在梅卡多之前用膝盖将皮球顶入
30'后点！马赫雷斯补防过来踢出底线！                   27'莱斯特城第27分钟取得领先，马赫雷斯左路任意球传中，摩根小禁区右侧抢在梅卡多之前用膝盖将皮球顶入
30'右侧角球！                   27'莱斯特城第27分钟取得领先，马赫雷斯左路任意球传中，摩根小禁区右侧抢在梅卡多之前用膝盖将皮球顶入
30'还是战术角球！                   27'莱斯特城第27分钟取得领先，马赫雷斯左路任意球传中，摩根小禁区右侧抢在梅卡多之前用膝盖将皮球顶入
52'长传转移奥布莱恩！反抢得手！给到禁区左侧横敲一下！                   52'塞维利亚第52分钟险些扳平，埃斯库德罗30码外抽射憾中横梁弹回
52'前场右路纳斯里得到皮球！                   52'塞维利亚第52分钟险些扳平，埃斯库德罗30码外抽射憾中横梁弹回
52'纳斯里低平球向前！给到中圈伊波比拿到！                   52'塞维利亚第52分钟险些扳平，埃斯库德罗30码外抽射憾中横梁弹回
