2'登贝莱边路接球                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
2'没有什么机会                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
2'莱万特这边断球了                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
2'右路起球送禁区                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
2'博阿滕停球有些远                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
2'巴萨这边先将球破坏                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
2'莱万特的角球                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
2'角球送前点                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
2'威胁并不大                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
2'右路再传禁区                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
2'后点队友停球下来                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
2'在转移                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
2'莱尔马这球是完成了打门                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
3'直接将球打高                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
3'巴萨中场控球给到边路                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
3'莱万特阵型回收的也是很快                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
3'巴萨横向转移                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
3'给到了右路                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
3'登贝莱这边传球失误                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
3'莱万特后场大脚打到前场                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
3'雷梅塞罗这边没有拿到                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
4'莱万特这边再次获得角球机会                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
5'角球还是给后点                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
5'第一点没有挣到                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
5'外围在挑传进来                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
5'特尔施特根将球得到                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
5'巴萨中场拿球大范围转移                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
5'球先出了边线                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
12'巴萨前场拿球给到右路                   12'巴萨第12分钟取得领先，梅西挑传禁区左侧，阿尔巴头球回摆，梅西12码处半凌空扫射，皮球两次弹地后击中右侧立柱内侧入网
12'低平球给进来                   12'巴萨第12分钟取得领先，梅西挑传禁区左侧，阿尔巴头球回摆，梅西12码处半凌空扫射，皮球两次弹地后击中右侧立柱内侧入网
12'1-0！！！                   12'巴萨第12分钟取得领先，梅西挑传禁区左侧，阿尔巴头球回摆，梅西12码处半凌空扫射，皮球两次弹地后击中右侧立柱内侧入网
12'梅西！！！                   12'巴萨第12分钟取得领先，梅西挑传禁区左侧，阿尔巴头球回摆，梅西12码处半凌空扫射，皮球两次弹地后击中右侧立柱内侧入网
