1'尤文图斯在自己后场控球                   1'第1分钟节奏很快
1'尤文图斯很耐心的控制                   1'第1分钟节奏很快
2'基耶利尼中场一脚直传，球在前场落点不好，球被门将没收                   1'第1分钟节奏很快
2'博格巴把球挑到后卫身后                   1'第1分钟节奏很快
2'尤文图斯左边路禁区里传中，球被后卫破坏出来                   1'第1分钟节奏很快
3'禁区外莫拉塔不停球直接射门，球被洛佩兹扑住！                   1'第1分钟节奏很快
3'米兰在右边路推进，本田圭佑拿球突破，球带丢了                   1'第1分钟节奏很快
4'米兰右边路控球，尤文图斯防守时身后推人犯规                   1'第1分钟节奏很快
15'尤文图斯右边路直塞，特维斯前插形成单刀，面对门将推射得分！                   15'尤文本赛季联赛前15分钟打进10球，排名意甲首位，其中特维斯包办5球
16'不过慢镜头看特维斯确实有越位嫌疑，但裁判判罚进球有效。                   15'尤文本赛季联赛前15分钟打进10球，排名意甲首位，其中特维斯包办5球
16'15分钟尤文图斯就打破了僵局                   15'尤文本赛季联赛前15分钟打进10球，排名意甲首位，其中特维斯包办5球
17'帕多因在右边路传中到门前，被阿莱士头球顶出禁区                   15'尤文本赛季联赛前15分钟打进10球，排名意甲首位，其中特维斯包办5球
17'禁区弧顶尤文图斯皮尔洛凌空抽射，被禁区里后卫又挡出来                   15'尤文本赛季联赛前15分钟打进10球，排名意甲首位，其中特维斯包办5球
18'埃弗拉在左边路起球斜传，落点不太好，球被后卫头球破坏                   15'尤文本赛季联赛前15分钟打进10球，排名意甲首位，其中特维斯包办5球
22'皮尔洛人员传到后点，接应球员头球摆渡到门前，可惜第二点没有队友！！被蒙塔里勾出，角球                   22'第22分钟，皮尔洛右侧开出任意球，埃弗拉后点抢在迭戈-洛佩斯前面传中，蒙塔里门线前倒钩解围
23'角球发出，扎卡尔多被博努奇拉倒，犯规！                   22'第22分钟，皮尔洛右侧开出任意球，埃弗拉后点抢在迭戈-洛佩斯前面传中，蒙塔里门线前倒钩解围
25'尤文图斯又在右边路获得任意球                   22'第22分钟，皮尔洛右侧开出任意球，埃弗拉后点抢在迭戈-洛佩斯前面传中，蒙塔里门线前倒钩解围
25'皮尔洛任意球传中到门前，埃弗拉抢到落点，但头球攻门顶高了！                   22'第22分钟，皮尔洛右侧开出任意球，埃弗拉后点抢在迭戈-洛佩斯前面传中，蒙塔里门线前倒钩解围
28'埃辛禁区角上传中到后点，没人接应啊                   28'AC米兰第28分钟扳平
28'米兰在左边路抢断后传中，落点太靠近门将，布冯不客气啊！                   28'AC米兰第28分钟扳平
28'米兰获得一个角球                   28'AC米兰第28分钟扳平
29'进球了！！！安东内利！1-1                   28'AC米兰第28分钟扳平
29'角球传到门前，安东内利抢点头球一蹭，球直窜球门后角！布冯没有反应！                   28'AC米兰第28分钟扳平
30'尤文图斯禁区右侧短传渗透，莫拉塔接球后突入禁区抽射打进后角！！！                   28'AC米兰第28分钟扳平
30'但裁判示意越位，进球无效                   28'AC米兰第28分钟扳平
31'慢动作看确实稍微多跨了半步                   28'AC米兰第28分钟扳平
31'慢动作看确实稍微多跨了半步                   31'第31分钟，蒙塔里禁区玩火没有直接解围，马尔基西奥在门前13米处左脚低射左下角，迭戈-洛佩斯指尖托出底线，皮尔洛左侧角球被迭戈-洛佩斯击出，特维斯头球摆渡，博努奇在门前5米处外脚背凌空撩射入网，2比1
32'尤文图斯右边路下底传中，球被后卫顶出来，蒙塔里停球失误，尤文图斯禁区线上抽射被门将扑出底线，角球                   31'第31分钟，蒙塔里禁区玩火没有直接解围，马尔基西奥在门前13米处左脚低射左下角，迭戈-洛佩斯指尖托出底线，皮尔洛左侧角球被迭戈-洛佩斯击出，特维斯头球摆渡，博努奇在门前5米处外脚背凌空撩射入网，2比1
32'角球传到门前，特维斯头球摆渡到门前，博努奇小禁区内脚背顺势一垫，球进了！！2-1                   31'第31分钟，蒙塔里禁区玩火没有直接解围，马尔基西奥在门前13米处左脚低射左下角，迭戈-洛佩斯指尖托出底线，皮尔洛左侧角球被迭戈-洛佩斯击出，特维斯头球摆渡，博努奇在门前5米处外脚背凌空撩射入网，2比1
