3'射门!!!APOEL Nicosia球员谢里登大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是艾弗里姆.                   3'开场3分钟，安东尼亚德斯左路回敲，谢里登左脚推射被西里古封出底线
3'西里古将球处理出底线,APOEL Nicosia获得角球.                   3'开场3分钟，安东尼亚德斯左路回敲，谢里登左脚推射被西里古封出底线
5'范德维尔将球处理出底线,APOEL Nicosia获得角球.                   3'开场3分钟，安东尼亚德斯左路回敲，谢里登左脚推射被西里古封出底线
56'APOEL Nicosia球员蒂亚戈-戈麦斯大禁区中央头球,被防守球员封堵.给他传球的是曼杜卡.                   56'第56分钟，埃弗雷姆突破范德维尔传中，戈麦斯头球令西里古无能为力，但大卫-路易斯在门线上顶出
56'大卫-路易斯将球处理出底线,APOEL Nicosia获得角球.                   56'第56分钟，埃弗雷姆突破范德维尔传中，戈麦斯头球令西里古无能为力，但大卫-路易斯在门线上顶出
57'APOEL Nicosia球员维尼修斯拼抢犯规,对手获得控球权.                   56'第56分钟，埃弗雷姆突破范德维尔传中，戈麦斯头球令西里古无能为力，但大卫-路易斯在门线上顶出
57'维拉蒂为巴黎圣日耳曼赢得一个任意球.                   56'第56分钟，埃弗雷姆突破范德维尔传中，戈麦斯头球令西里古无能为力，但大卫-路易斯在门线上顶出
58'维尼修斯为APOEL Nicosia赢得一个任意球.                   56'第56分钟，埃弗雷姆突破范德维尔传中，戈麦斯头球令西里古无能为力，但大卫-路易斯在门线上顶出
58'巴黎圣日耳曼球员维拉蒂拼抢犯规,对手获得控球权.                   56'第56分钟，埃弗雷姆突破范德维尔传中，戈麦斯头球令西里古无能为力，但大卫-路易斯在门线上顶出
68'巴黎圣日耳曼球员小卢卡斯大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是卡瓦尼.                   68'第68分钟，小卢卡斯扣过里瑟，左脚大力抽射偏出
70'巴黎圣日耳曼换人,卡巴耶换下帕斯托雷                   68'第68分钟，小卢卡斯扣过里瑟，左脚大力抽射偏出
70'巴黎圣日耳曼换人,巴希贝克换下维拉蒂                   68'第68分钟，小卢卡斯扣过里瑟，左脚大力抽射偏出
87'进球啦！！！巴黎圣日耳曼球员卡瓦尼大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是巴希贝克. APOEL Nicosia 0-1 巴黎圣日耳曼.                   87'巴黎第87分钟打破僵局
89'巴黎圣日耳曼换人,尚托姆换下小卢卡斯                   87'巴黎第87分钟打破僵局
90'+1'APOEL Nicosia球员里瑟拼抢犯规,对手获得控球权.                   87'巴黎第87分钟打破僵局
90'+1'尚托姆为巴黎圣日耳曼赢得一个任意球.                   87'巴黎第87分钟打破僵局
90'+4'下半场结束,APOEL Nicosia 0-1 巴黎圣日耳曼                   87'巴黎第87分钟打破僵局
