5'力帆的进攻，左路上来，吴庆背身护球，敲给徐洋                   5'第5分钟，广州富力前场组织进攻，边路横传禁区前，扎哈维得球直接远射将球打高
5'徐洋45度斜吊到门前，被韩锋没收了                   5'第5分钟，广州富力前场组织进攻，边路横传禁区前，扎哈维得球直接远射将球打高
5'双方开场节奏都不快，一个第8一个第9。实力非常接近，比赛肯定会很艰难                   5'第5分钟，广州富力前场组织进攻，边路横传禁区前，扎哈维得球直接远射将球打高
6'左侧姜至鹏拨给王晓龙，速度很快，往前推进                   5'第5分钟，广州富力前场组织进攻，边路横传禁区前，扎哈维得球直接远射将球打高
6'在给弧顶外的扎哈维，扎哈维得球兜射远角，高了。                   5'第5分钟，广州富力前场组织进攻，边路横传禁区前，扎哈维得球直接远射将球打高
6'扎哈维的这个能力现在是令中超的后卫闻风丧胆啊，几乎场场都有精彩表现                   5'第5分钟，广州富力前场组织进攻，边路横传禁区前，扎哈维得球直接远射将球打高
7'富力逐渐显现了控球好的特点，虽然是客场作战但控球率明显占优                   5'第5分钟，广州富力前场组织进攻，边路横传禁区前，扎哈维得球直接远射将球打高
7'姜至鹏左侧插上，给到扎哈维，丁捷上来两人双双倒地，吹了丁捷的犯规                   5'第5分钟，广州富力前场组织进攻，边路横传禁区前，扎哈维得球直接远射将球打高
8'前场左侧的定位球，扎哈维亲自操刀主罚                   5'第5分钟，广州富力前场组织进攻，边路横传禁区前，扎哈维得球直接远射将球打高
8'球进了，乌龙啊                   5'第5分钟，广州富力前场组织进攻，边路横传禁区前，扎哈维得球直接远射将球打高
14'郑又荣前场拿球，回敲一下，米洛维奇大范围的转移给到左侧                   14'第14分钟，重庆力帆前场一脚传球配合，吴庆禁区前拿球晃开防守队员后大力远射将球打高
14'刘宇插上，把球拿好，给到了中间                   14'第14分钟，重庆力帆前场一脚传球配合，吴庆禁区前拿球晃开防守队员后大力远射将球打高
14'小摩托闪开空当，一脚抽射，打偏                   14'第14分钟，重庆力帆前场一脚传球配合，吴庆禁区前拿球晃开防守队员后大力远射将球打高
15'力帆前场的进攻，扎哈维护球，往回撤，在找右路王晓龙                   14'第14分钟，重庆力帆前场一脚传球配合，吴庆禁区前拿球晃开防守队员后大力远射将球打高
15'扎哈维的个人能力确实很好啊                   14'第14分钟，重庆力帆前场一脚传球配合，吴庆禁区前拿球晃开防守队员后大力远射将球打高
15'姜至鹏左侧分球失误，力帆的反击机会                   14'第14分钟，重庆力帆前场一脚传球配合，吴庆禁区前拿球晃开防守队员后大力远射将球打高
15'吴庆，，扳平比分了，依靠姜至鹏的一次传球失误，反击得手                   14'第14分钟，重庆力帆前场一脚传球配合，吴庆禁区前拿球晃开防守队员后大力远射将球打高
