28'曼联队控球走左路发动进攻                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
28'阿什利-扬 传球被破坏出边线                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
28'界外球掷到场内，大范围转移球到右侧                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
28'博格巴再分球给林加德 ，横向转移球到左侧                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
29'阿什利-扬左路传球                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
29'马夏尔头球攻门被门将没收了                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
29'迈尔控球推进，挑传到禁区内                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
29'斯莫林头球顶出来                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
30'米利沃耶维奇控球，转移到右侧，比斯萨卡再传球被挡出来                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
30'萨科控球，转移给扎哈，后者停球停大了                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
30'曼联队控球走左路快速的推进，左路的斜长传被挡了一下                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
30'门将出击抢在进攻队员前把球没收                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
31'米利沃耶维奇低平球传球给扎哈，再转移到左侧                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
31'左路传中球被门将得到                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
31'德赫亚手抛球，曼联队控球进攻                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
31'中场水晶宫队把球抢断下来                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
31'扎哈拿球连续的盘带一下，球交到库亚特的脚下                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
43'不过边裁举旗，越位～                   43'第43分钟，米利沃耶维奇左路传中，库亚特头球破门因越位在先被判无效
43'曼联队逃过一劫！                   43'第43分钟，米利沃耶维奇左路传中，库亚特头球破门因越位在先被判无效
46'上半场比赛补时1分钟                   43'第43分钟，米利沃耶维奇左路传中，库亚特头球破门因越位在先被判无效
46'米利沃耶维奇拿球被林加德给放倒了                   43'第43分钟，米利沃耶维奇左路传中，库亚特头球破门因越位在先被判无效
46'主裁判一声哨响，上半场比赛结束                   43'第43分钟，米利沃耶维奇左路传中，库亚特头球破门因越位在先被判无效
46'双方以0－0战平！                   43'第43分钟，米利沃耶维奇左路传中，库亚特头球破门因越位在先被判无效
46'稍事休息，共同关注双方下半场的比赛！                   43'第43分钟，米利沃耶维奇左路传中，库亚特头球破门因越位在先被判无效
46'下半场比赛开始                   43'第43分钟，米利沃耶维奇左路传中，库亚特头球破门因越位在先被判无效
46'水晶宫队发球                   43'第43分钟，米利沃耶维奇左路传中，库亚特头球破门因越位在先被判无效
46'双方异地再战                   43'第43分钟，米利沃耶维奇左路传中，库亚特头球破门因越位在先被判无效
57'卢卡库进球，越位！！                   57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
57'达米安右路传中，阿什利-扬拔脚低射被朱来                   57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
57'挡出来                   57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
58'卢卡库补射，球打进，不过边裁举旗，真位！                   57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
58'曼联队后场控球，走中路渗透                   57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
58'博格巴分球转移到左侧阿什利-扬的脚下                   57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
58'再直传球交给马夏尔，回带一下，横敲球到中路                   57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
58'再接队友的传球，马夏尔捅球想给博格巴，球被拦截了                   57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
58'博格巴反断成功                   57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
59'马塔在对方三人的夹击下，传出来，力量小了                   57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
59'被拦截！                   57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
59'水晶宫队控球推进，迈尔分球给扎哈，再传球失误                    57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
59'扎哈情绪有点激动呀！                   57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
59'裁判口头警告一下                   57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
59'曼联队换人，费莱尼上场换下林加德                   57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
60'拉什福德上场换下马塔                   57'第57分钟，阿什利-扬禁区边缘劲射被亨尼西勉强偏出，卢卡库近距离补射空门因越位在先被判无效
74'曼联队控球走中路推进，桑切斯挑传球                   74'第74分钟，汤森德连过数人突入禁区右肋，但最后10码处的单刀射门偏出
74'萨科把球拦截下来                   74'第74分钟，汤森德连过数人突入禁区右肋，但最后10码处的单刀射门偏出
74'汤森德带球突入禁区内                   74'第74分钟，汤森德连过数人突入禁区右肋，但最后10码处的单刀射门偏出
