2'里斯本竞技的前场进攻，塞萨尔禁区弧顶拿球，起脚远射，打偏！                   2'开场仅2分钟，阿德里安-席尔瓦传球，塞萨尔禁区前的劲射擦左侧立柱偏出
3'开场里斯本竞技的表现有点反客为主啊                   2'开场仅2分钟，阿德里安-席尔瓦传球，塞萨尔禁区前的劲射擦左侧立柱偏出
3'拉莫斯后场拿球，直塞给到回撤接应的本泽马                   2'开场仅2分钟，阿德里安-席尔瓦传球，塞萨尔禁区前的劲射擦左侧立柱偏出
4'本泽马分球莫德里奇，莫德里奇再给卡瓦哈尔                   2'开场仅2分钟，阿德里安-席尔瓦传球，塞萨尔禁区前的劲射擦左侧立柱偏出
4'卡瓦哈尔的边路传中，第一点被里斯本竞技球员解围                   2'开场仅2分钟，阿德里安-席尔瓦传球，塞萨尔禁区前的劲射擦左侧立柱偏出
4'马丁斯中场拿球，卡塞米罗上抢犯规！                   2'开场仅2分钟，阿德里安-席尔瓦传球，塞萨尔禁区前的劲射擦左侧立柱偏出
5'皇马中场抢断，本泽马前场左路拿球                   2'开场仅2分钟，阿德里安-席尔瓦传球，塞萨尔禁区前的劲射擦左侧立柱偏出
5'本泽马内切被回防的科茨解围出边线！！！                   2'开场仅2分钟，阿德里安-席尔瓦传球，塞萨尔禁区前的劲射擦左侧立柱偏出
47'本泽马前场背身拿球，回传找克罗斯                   47'葡萄牙体育第47分钟打破僵局，拉莫斯和摩德里奇封堵鲁伊斯传球失误，塞萨尔禁区右侧12码处弧线球射入远角
47'克罗斯在对方两名球员夹击下，没能拿到                   47'葡萄牙体育第47分钟打破僵局，拉莫斯和摩德里奇封堵鲁伊斯传球失误，塞萨尔禁区右侧12码处弧线球射入远角
47'巴斯克斯已经在场边热身，看看何时出场！                   47'葡萄牙体育第47分钟打破僵局，拉莫斯和摩德里奇封堵鲁伊斯传球失误，塞萨尔禁区右侧12码处弧线球射入远角
48'里斯本竞技进球了！！！                   47'葡萄牙体育第47分钟打破僵局，拉莫斯和摩德里奇封堵鲁伊斯传球失误，塞萨尔禁区右侧12码处弧线球射入远角
48'塞萨尔破门得分！！                   47'葡萄牙体育第47分钟打破僵局，拉莫斯和摩德里奇封堵鲁伊斯传球失误，塞萨尔禁区右侧12码处弧线球射入远角
49'马丁斯右路拿球内切，和多斯特的踢墙配合，马丁斯斜塞禁区被拉莫斯一挡，球到了塞萨尔脚下，后者起脚推射远角，击中立柱内侧弹进网窝！                   47'葡萄牙体育第47分钟打破僵局，拉莫斯和摩德里奇封堵鲁伊斯传球失误，塞萨尔禁区右侧12码处弧线球射入远角
49'下半场开始3分钟，皇马主场0-1落后啦！！                   47'葡萄牙体育第47分钟打破僵局，拉莫斯和摩德里奇封堵鲁伊斯传球失误，塞萨尔禁区右侧12码处弧线球射入远角
83'卡塞米罗再给套边的卡瓦哈尔，卡瓦哈尔的传中球，被里斯本竞技球员伸脚一垫                   83'第83分钟，卡瓦哈尔右路传中偏转，C罗远点近距离射门憾中近角立柱弹回
83'后点的C罗跟进捅射，击中立柱弹回！！                   83'第83分钟，卡瓦哈尔右路传中偏转，C罗远点近距离射门憾中近角立柱弹回
84'里斯本竞技主教练站在看台也很激动啊，对着场内大声说着什么                   83'第83分钟，卡瓦哈尔右路传中偏转，C罗远点近距离射门憾中近角立柱弹回
84'皇马能否扳平甚至反超比分？1、能；2、不能[qiangda]                   83'第83分钟，卡瓦哈尔右路传中偏转，C罗远点近距离射门憾中近角立柱弹回
85'佩雷拉前场传球失误，J罗回防抢断                   83'第83分钟，卡瓦哈尔右路传中偏转，C罗远点近距离射门憾中近角立柱弹回
85'多斯特前场原地反抢，掀翻了J罗，犯规！！                   83'第83分钟，卡瓦哈尔右路传中偏转，C罗远点近距离射门憾中近角立柱弹回
86'巴斯克斯拿球，过顶球找莫拉塔，边裁举旗，越位！                   83'第83分钟，卡瓦哈尔右路传中偏转，C罗远点近距离射门憾中近角立柱弹回
86'塞萨尔中场背身拿球，面对被抢，回传鲁伊斯                   83'第83分钟，卡瓦哈尔右路传中偏转，C罗远点近距离射门憾中近角立柱弹回
90'C罗助跑，右脚弧线球，越过人墙，击中右侧立柱靠上位置的内侧，钻进网窝！！                   89'皇马第89分钟扳平，C罗25码处任意球直接射右上角，帕特里西奥飞身扑挡仍无力阻止大门失守，1-1
90'这球帕特里西奥已经判断对了方向，但是球的角度太刁钻，无能为力啊                   89'皇马第89分钟扳平，C罗25码处任意球直接射右上角，帕特里西奥飞身扑挡仍无力阻止大门失守，1-1
90'下半场比赛补时4分钟！！！                   89'皇马第89分钟扳平，C罗25码处任意球直接射右上角，帕特里西奥飞身扑挡仍无力阻止大门失守，1-1
91'慢镜回放显示，C罗的任意球直接是个死角，帕特里西奥侧扑拍了一下，击中的立柱进网啊！                   89'皇马第89分钟扳平，C罗25码处任意球直接射右上角，帕特里西奥飞身扑挡仍无力阻止大门失守，1-1
92'莫拉塔右路拿球，底线强行内切                   89'皇马第89分钟扳平，C罗25码处任意球直接射右上角，帕特里西奥飞身扑挡仍无力阻止大门失守，1-1
92'泽格拉尔回防，和莫拉塔争抢，后者被吹拉人犯规                   89'皇马第89分钟扳平，C罗25码处任意球直接射右上角，帕特里西奥飞身扑挡仍无力阻止大门失守，1-1
92'里斯本竞技换人：7号坎贝尔上，换下10号鲁伊斯                   89'皇马第89分钟扳平，C罗25码处任意球直接射右上角，帕特里西奥飞身扑挡仍无力阻止大门失守，1-1
