2'马塔前场拿球，没机会，回敲给到米克尔                   2'开场仅2分钟，马塔传球，阿扎尔禁区左侧12码处斜射偏出远角
2'米克尔边路起球到禁区弧顶，第一点被雷丁球员顶出                   2'开场仅2分钟，马塔传球，阿扎尔禁区左侧12码处斜射偏出远角
2'雷丁中场传球失误，兰帕德的抢断                   2'开场仅2分钟，马塔传球，阿扎尔禁区左侧12码处斜射偏出远角
3'马塔一脚直塞打后卫身后，阿扎尔跟进拿球，右脚的推射远角打偏                   2'开场仅2分钟，马塔传球，阿扎尔禁区左侧12码处斜射偏出远角
3'阿扎尔的这次前场意识很不错，可惜了最后一脚打门                   2'开场仅2分钟，马塔传球，阿扎尔禁区左侧12码处斜射偏出远角
4'切尔西后场起球到前场找托雷斯，可惜后者被吹罚越位在先                   2'开场仅2分钟，马塔传球，阿扎尔禁区左侧12码处斜射偏出远角
5'科尔左路拿球横敲给到兰帕德                   2'开场仅2分钟，马塔传球，阿扎尔禁区左侧12码处斜射偏出远角
5'兰帕德大范围转移球打右路给伊万诺维奇                   2'开场仅2分钟，马塔传球，阿扎尔禁区左侧12码处斜射偏出远角
5'伊万诺维奇直塞球给到马塔                   2'开场仅2分钟，马塔传球，阿扎尔禁区左侧12码处斜射偏出远角
5'马塔继续直塞球打后卫身后，可惜又被拦截啦                   2'开场仅2分钟，马塔传球，阿扎尔禁区左侧12码处斜射偏出远角
46'米尔克禁区右侧的传中，被卡拉坎倒地解围出边线                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
46'上半场补时2分钟                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
47'游客4629:怎么踢第三轮的了？（为切尔西的欧洲超级杯让道）                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
47'阿扎尔禁区右上角的原地起球到门前                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
47'托雷斯在两名中卫之间抢到落点，可惜头球攻门顶偏啦                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
48'切尔西后场抢断，大脚传到前场给到托雷斯                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
48'托雷斯头球回顶给到左边路跟进的阿扎尔                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
46'下半场开始，雷丁开球                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
46'切赫上半场的低级失误，下半场需要给力才行                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
