1'上半场比赛开始！！                   1'双方第1分钟拼抢激烈，巴萨的进攻遭遇瓦伦西亚的顽强阻击
1'巴萨率先开球，从画面的右侧向左进攻！                   1'双方第1分钟拼抢激烈，巴萨的进攻遭遇瓦伦西亚的顽强阻击
1'乌姆蒂蒂后场拿球，带至前场                   1'双方第1分钟拼抢激烈，巴萨的进攻遭遇瓦伦西亚的顽强阻击
1'遭遇夹击，强突，被断啦！！                   1'双方第1分钟拼抢激烈，巴萨的进攻遭遇瓦伦西亚的顽强阻击
2'瓦伦西亚的反击，佩雷斯的过顶长传到禁区                   1'双方第1分钟拼抢激烈，巴萨的进攻遭遇瓦伦西亚的顽强阻击
2'特尔施特根出击，将球控制！！                   1'双方第1分钟拼抢激烈，巴萨的进攻遭遇瓦伦西亚的顽强阻击
2'瓦伦西亚中场抢断，分球左侧给纳尼                   1'双方第1分钟拼抢激烈，巴萨的进攻遭遇瓦伦西亚的顽强阻击
3'纳尼单挑罗贝托，内切遭遇夹击                   1'双方第1分钟拼抢激烈，巴萨的进攻遭遇瓦伦西亚的顽强阻击
3'一个变向，再送横传到禁区                   1'双方第1分钟拼抢激烈，巴萨的进攻遭遇瓦伦西亚的顽强阻击
3'第一点被巴萨球员出脚解围                   1'双方第1分钟拼抢激烈，巴萨的进攻遭遇瓦伦西亚的顽强阻击
3'瓦伦西亚开场，借助主场之利，发动了猛攻哈！！                   1'双方第1分钟拼抢激烈，巴萨的进攻遭遇瓦伦西亚的顽强阻击
3'布斯克茨中场拿球，分球给到戈麦斯                   1'双方第1分钟拼抢激烈，巴萨的进攻遭遇瓦伦西亚的顽强阻击
4'戈麦斯再给伊涅斯塔，伊涅斯塔回传乌姆蒂蒂                   1'双方第1分钟拼抢激烈，巴萨的进攻遭遇瓦伦西亚的顽强阻击
4'乌姆蒂蒂的过顶球，力量轻了，被解围                   1'双方第1分钟拼抢激烈，巴萨的进攻遭遇瓦伦西亚的顽强阻击
22'罗德里戈刹车失灵，撞在了场边摄影的摄像师身上                   22'巴萨第22分钟取得领先，拉基蒂奇传中被挡后禁区右侧回传，梅西16码处射右下角入网
22'摄像师的设备被撞出了问题，赶紧查看下                   22'巴萨第22分钟取得领先，拉基蒂奇传中被挡后禁区右侧回传，梅西16码处射右下角入网
22'1-0！！！                   22'巴萨第22分钟取得领先，拉基蒂奇传中被挡后禁区右侧回传，梅西16码处射右下角入网
23'梅西的进球！！！                   22'巴萨第22分钟取得领先，拉基蒂奇传中被挡后禁区右侧回传，梅西16码处射右下角入网
24'拉基蒂奇右路拿球，内切后回传给梅西，梅西调整一下，左脚低射，穿过加雷和苏亚雷斯的小门，钻进球门右下角！                   22'巴萨第22分钟取得领先，拉基蒂奇传中被挡后禁区右侧回传，梅西16码处射右下角入网
24'迭戈-阿尔维斯出来，示意苏亚雷斯处于越位位置，对着裁判表达不满                   22'巴萨第22分钟取得领先，拉基蒂奇传中被挡后禁区右侧回传，梅西16码处射右下角入网
24'迭戈-阿尔维斯被主裁判出示了黄牌警告！！                   22'巴萨第22分钟取得领先，拉基蒂奇传中被挡后禁区右侧回传，梅西16码处射右下角入网
25'关键时刻，梅西再次站出来，帮助巴萨取得领先                   22'巴萨第22分钟取得领先，拉基蒂奇传中被挡后禁区右侧回传，梅西16码处射右下角入网
25'布斯克茨中场争抢，身后拉倒了帕雷霍                   22'巴萨第22分钟取得领先，拉基蒂奇传中被挡后禁区右侧回传，梅西16码处射右下角入网
25'布斯克茨被主裁判出示了黄牌警告！！                   22'巴萨第22分钟取得领先，拉基蒂奇传中被挡后禁区右侧回传，梅西16码处射右下角入网
31'巴萨前场进攻，梅西禁区左侧接到苏亚雷斯斜传                   31'第31分钟，苏亚雷斯直传，梅西禁区左侧10码处劲射被扑出，安德列-戈麦斯补射偏出近角
32'小禁区角上起脚打门，被迭戈-阿尔维斯封堵                   31'第31分钟，苏亚雷斯直传，梅西禁区左侧10码处劲射被扑出，安德列-戈麦斯补射偏出近角
32'戈麦斯跟进补射，打飞！！                   31'第31分钟，苏亚雷斯直传，梅西禁区左侧10码处劲射被扑出，安德列-戈麦斯补射偏出近角
32'曼加拉后场拿球，面对逼抢，直塞给到马里奥-苏亚雷斯                   31'第31分钟，苏亚雷斯直传，梅西禁区左侧10码处劲射被扑出，安德列-戈麦斯补射偏出近角
33'马里奥-苏亚雷斯再给帕雷霍，帕雷霍再给过顶打身后                   31'第31分钟，苏亚雷斯直传，梅西禁区左侧10码处劲射被扑出，安德列-戈麦斯补射偏出近角
33'罗德里戈前插接应，乌姆蒂蒂回防                   31'第31分钟，苏亚雷斯直传，梅西禁区左侧10码处劲射被扑出，安德列-戈麦斯补射偏出近角
33'两人相撞后，罗德里戈摔倒在禁区                   31'第31分钟，苏亚雷斯直传，梅西禁区左侧10码处劲射被扑出，安德列-戈麦斯补射偏出近角
33'球出底线，裁判没理会，给了巴萨门球                   31'第31分钟，苏亚雷斯直传，梅西禁区左侧10码处劲射被扑出，安德列-戈麦斯补射偏出近角
33'慢镜回放显示，乌姆蒂蒂这个有犯规嫌疑                   31'第31分钟，苏亚雷斯直传，梅西禁区左侧10码处劲射被扑出，安德列-戈麦斯补射偏出近角
36'上半场35分钟，比分1-0，梅西进球，巴萨领先！                   36'巴萨第36分钟错过机会，梅西直传，加亚受伤让苏亚雷斯有机会突入禁区右肋12码处单刀射门，但迭戈-阿尔维斯飞身扑出
36'巴萨前场的进攻，苏亚雷斯禁区内的抽射                   36'巴萨第36分钟错过机会，梅西直传，加亚受伤让苏亚雷斯有机会突入禁区右肋12码处单刀射门，但迭戈-阿尔维斯飞身扑出
37'被回防的瓦伦西亚球员滑铲一挡                   36'巴萨第36分钟错过机会，梅西直传，加亚受伤让苏亚雷斯有机会突入禁区右肋12码处单刀射门，但迭戈-阿尔维斯飞身扑出
37'迭戈-阿尔维斯侧扑，将球挡出！！                   36'巴萨第36分钟错过机会，梅西直传，加亚受伤让苏亚雷斯有机会突入禁区右肋12码处单刀射门，但迭戈-阿尔维斯飞身扑出
37'盖亚这次回防，自己也是受伤啦！！                   36'巴萨第36分钟错过机会，梅西直传，加亚受伤让苏亚雷斯有机会突入禁区右肋12码处单刀射门，但迭戈-阿尔维斯飞身扑出
38'瓦伦西亚换人：14号盖亚受伤被换下，换上23号阿卜杜努尔                   36'巴萨第36分钟错过机会，梅西直传，加亚受伤让苏亚雷斯有机会突入禁区右肋12码处单刀射门，但迭戈-阿尔维斯飞身扑出
38'罗贝托右路拿球，横传给梅西                   36'巴萨第36分钟错过机会，梅西直传，加亚受伤让苏亚雷斯有机会突入禁区右肋12码处单刀射门，但迭戈-阿尔维斯飞身扑出
38'梅西再给戈麦斯，戈麦斯斜传左侧给迪涅                   36'巴萨第36分钟错过机会，梅西直传，加亚受伤让苏亚雷斯有机会突入禁区右肋12码处单刀射门，但迭戈-阿尔维斯飞身扑出
39'迪涅横传内马尔，内马尔斜塞禁区找苏亚雷斯                   36'巴萨第36分钟错过机会，梅西直传，加亚受伤让苏亚雷斯有机会突入禁区右肋12码处单刀射门，但迭戈-阿尔维斯飞身扑出
39'苏亚雷斯停球转身，一脚扫射，被迭戈-阿尔维斯挡出                   36'巴萨第36分钟错过机会，梅西直传，加亚受伤让苏亚雷斯有机会突入禁区右肋12码处单刀射门，但迭戈-阿尔维斯飞身扑出
39'曼加拉补防，抢在上来的戈麦斯之前，大脚解围！                   36'巴萨第36分钟错过机会，梅西直传，加亚受伤让苏亚雷斯有机会突入禁区右肋12码处单刀射门，但迭戈-阿尔维斯飞身扑出
39'苏亚雷斯前场右路拿球，回传梅西                   36'巴萨第36分钟错过机会，梅西直传，加亚受伤让苏亚雷斯有机会突入禁区右肋12码处单刀射门，但迭戈-阿尔维斯飞身扑出
50'瓦伦西亚前场传倒，帕雷霍的直塞禁区找穆尼尔                   50'巴萨第50分钟错过机会，苏亚雷斯传球，内马尔禁区前劲射被巴尔德斯扑出，拉基蒂奇禁区右侧小角度补射打中近角立柱弹出
