7'双方争抢犯规                   6'第6分钟，顾操后场传球失误，热尔维尼奥摆脱之后直塞，拉维奇启动时越位
7'柯钊给到顾操                   6'第6分钟，顾操后场传球失误，热尔维尼奥摆脱之后直塞，拉维奇启动时越位
8'热鸟给拉维奇的直塞，越位了                   6'第6分钟，顾操后场传球失误，热尔维尼奥摆脱之后直塞，拉维奇启动时越位
8'杨程给到中路                   6'第6分钟，顾操后场传球失误，热尔维尼奥摆脱之后直塞，拉维奇启动时越位
8'罗森文给赵明剑                   6'第6分钟，顾操后场传球失误，热尔维尼奥摆脱之后直塞，拉维奇启动时越位
9'巴索戈大力直塞                   6'第6分钟，顾操后场传球失误，热尔维尼奥摆脱之后直塞，拉维奇启动时越位
9'左路推射，球进了！！！！！                   6'第6分钟，顾操后场传球失误，热尔维尼奥摆脱之后直塞，拉维奇启动时越位
9'这球来自巴索戈接传球后的左脚推射                   6'第6分钟，顾操后场传球失误，热尔维尼奥摆脱之后直塞，拉维奇启动时越位
12'建业定位球                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
12'吴龚开到中线附近                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
12'巴索戈争抢犯规                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
12'建业任意球                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
12'任航给到赵明剑                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
13'热尔维尼奥起高球                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
13'拉维奇头球                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
13'偏了一点，门球                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
13'建业边线球                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
14'王飞给到巴索戈                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
14'球出底线，华夏球                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
14'柯钊得球，大脚给到中路                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
14'马斯切拉诺解围                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
15'球到中圈，顾操给右路                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
15'球出了边线，华夏边线球                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
15'罗森文给到巴索戈                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
15'任航将球破坏出界                   12'第12分钟，华夏幸福左路发动进攻，张呈栋前场右路突破到底线附近横敲中路，拉维奇没有跟上，热尔维尼奥前场左路背身拿球，连续摆脱后斜传门前，拉维奇甩头攻门，皮球稍稍偏出左侧门柱
21'赵明剑反抢柯钊犯规                   21'第21分钟，双方中场拼抢，柯钊铲抢赵明剑倒地，赵明剑一脚踢在柯钊的小腿上，主裁判先是向赵明剑出示了黄牌，经过视频助理裁判提醒，主裁判经过在场边看视频回放后判定赵明剑属于恶意踩踏，将黄牌改判为红牌，赵明剑被直接罚下，华夏幸福队比分落后只能以10人应战
21'裁判出示了黄牌                   21'第21分钟，双方中场拼抢，柯钊铲抢赵明剑倒地，赵明剑一脚踢在柯钊的小腿上，主裁判先是向赵明剑出示了黄牌，经过视频助理裁判提醒，主裁判经过在场边看视频回放后判定赵明剑属于恶意踩踏，将黄牌改判为红牌，赵明剑被直接罚下，华夏幸福队比分落后只能以10人应战
