14'皇家马德里球员加雷斯-贝尔大禁区外左脚射门,命中门柱横梁.                   14'第14分钟，贝尔右路禁区前任意球直接射门憾中横梁
15'瓦伦西亚球员安德烈-戈麦斯拼抢犯规,对手获得控球权.                   14'第14分钟，贝尔右路禁区前任意球直接射门憾中横梁
15'阿韦洛亚为皇家马德里赢得一个任意球.                   14'第14分钟，贝尔右路禁区前任意球直接射门憾中横梁
16'瓦伦西亚球员费古利拼抢犯规,对手获得控球权.                   14'第14分钟，贝尔右路禁区前任意球直接射门憾中横梁
16'罗德里格斯为皇家马德里在左路,赢得一个任意球.                   14'第14分钟，贝尔右路禁区前任意球直接射门憾中横梁
16'瓦伦西亚球员盖亚拼抢犯规,对手获得控球权.                   14'第14分钟，贝尔右路禁区前任意球直接射门憾中横梁
16'伊斯科为皇家马德里在右路,赢得一个任意球.                   14'第14分钟，贝尔右路禁区前任意球直接射门憾中横梁
16'黄牌！瓦伦西亚球员盖亚因为恶意犯规,被主裁判出示黄牌.                   14'第14分钟，贝尔右路禁区前任意球直接射门憾中横梁
17'奥塔门迪为瓦伦西亚赢得一个任意球.                   14'第14分钟，贝尔右路禁区前任意球直接射门憾中横梁
17'皇家马德里球员拉莫斯拼抢犯规,对手获得控球权.                   14'第14分钟，贝尔右路禁区前任意球直接射门憾中横梁
19'进球啦！！！瓦伦西亚球员阿尔卡塞尔球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是盖亚. 皇家马德里 0-1 瓦伦西亚.                   19'瓦伦西亚第19分钟取得领先，加亚左路传中，佩佩身后的帕科小禁区边缘凌空捅射，卡西利亚斯扑挡碰到皮球也无法阻止大门失守
22'皇家马德里球员C罗大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是加雷斯-贝尔.                   19'瓦伦西亚第19分钟取得领先，加亚左路传中，佩佩身后的帕科小禁区边缘凌空捅射，卡西利亚斯扑挡碰到皮球也无法阻止大门失守
22'皇家马德里球员克罗斯大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   19'瓦伦西亚第19分钟取得领先，加亚左路传中，佩佩身后的帕科小禁区边缘凌空捅射，卡西利亚斯扑挡碰到皮球也无法阻止大门失守
26'进球啦！！！瓦伦西亚球员弗埃戈大禁区中央头球,球从右下角飞进球门,球进了!助攻的是帕雷霍. 皇家马德里 0-2 瓦伦西亚.                   26'瓦伦西亚第26分钟扩大比分，帕雷霍左路任意球传中，无人防守的富埃戈12码处背身后仰头球破门，2-0
27'皇家马德里球员阿韦洛亚手球犯规,对手获得球权.                   26'瓦伦西亚第26分钟扩大比分，帕雷霍左路任意球传中，无人防守的富埃戈12码处背身后仰头球破门，2-0
29'瓦伦西亚球员费古利拼抢犯规,对手获得控球权.                   26'瓦伦西亚第26分钟扩大比分，帕雷霍左路任意球传中，无人防守的富埃戈12码处背身后仰头球破门，2-0
29'科恩特朗为皇家马德里赢得一个任意球.                   26'瓦伦西亚第26分钟扩大比分，帕雷霍左路任意球传中，无人防守的富埃戈12码处背身后仰头球破门，2-0
