3'郜林接应，饶伟辉缠着郜林                   3'第3分钟，广州恒大队中路策动进攻，郑智摆脱防守起脚远射，球偏出了立柱许多
3'球迂回到左路，孙祥的挑传被萨利头球解围                   3'第3分钟，广州恒大队中路策动进攻，郑智摆脱防守起脚远射，球偏出了立柱许多
3'黄博文的上抢将球碰出边线                   3'第3分钟，广州恒大队中路策动进攻，郑智摆脱防守起脚远射，球偏出了立柱许多
4'陈昌源的界外球掷到场内，孙祥跃起头球解围                   3'第3分钟，广州恒大队中路策动进攻，郑智摆脱防守起脚远射，球偏出了立柱许多
4'杨一虎右路内切，起脚慢了，刘健将球破坏                   3'第3分钟，广州恒大队中路策动进攻，郑智摆脱防守起脚远射，球偏出了立柱许多
4'米西莫维奇中场得球，视察野很开阔，分到左路                   3'第3分钟，广州恒大队中路策动进攻，郑智摆脱防守起脚远射，球偏出了立柱许多
5'于海进了禁区再加速，雷内回防及时卡住身位将球断下                   3'第3分钟，广州恒大队中路策动进攻，郑智摆脱防守起脚远射，球偏出了立柱许多
15'孙祥左路的直传，陈昌源速度稍慢一点，但身位还是没有丢                   12'第12分钟，于海左路高速下底传中，孙祥及时回撤中路大脚解围
15'埃尔克森背后撞人犯规                   12'第12分钟，于海左路高速下底传中，孙祥及时回撤中路大脚解围
21'饶伟辉长传禁区左侧，尤里得球面对双人包夹横传力量小了                   21'第21分钟，广州恒大队快速反击，雷内高速突破米西莫维奇背后犯规，主裁判出示了本场比赛第一张黄牌
21'刘健将球破坏                   21'第21分钟，广州恒大队快速反击，雷内高速突破米西莫维奇背后犯规，主裁判出示了本场比赛第一张黄牌
21'饶伟辉左路下底传中，曾诚单拳将球打出禁区                   21'第21分钟，广州恒大队快速反击，雷内高速突破米西莫维奇背后犯规，主裁判出示了本场比赛第一张黄牌
21'雷内带球反击，米西莫维奇背后铲倒了雷内                   21'第21分钟，广州恒大队快速反击，雷内高速突破米西莫维奇背后犯规，主裁判出示了本场比赛第一张黄牌
21'米西莫维奇吃到一张黄牌！                   21'第21分钟，广州恒大队快速反击，雷内高速突破米西莫维奇背后犯规，主裁判出示了本场比赛第一张黄牌
22'黄博文任意球送到后点，刘健头球攻门顶高了                   21'第21分钟，广州恒大队快速反击，雷内高速突破米西莫维奇背后犯规，主裁判出示了本场比赛第一张黄牌
22'郑智左路得球，送一记直传，吉拉迪诺还没有起动                   21'第21分钟，广州恒大队快速反击，雷内高速突破米西莫维奇背后犯规，主裁判出示了本场比赛第一张黄牌
22'于海回传给杨一虎稳一下节奏                   21'第21分钟，广州恒大队快速反击，雷内高速突破米西莫维奇背后犯规，主裁判出示了本场比赛第一张黄牌
23'陈杰先开纪录！                   21'第21分钟，广州恒大队快速反击，雷内高速突破米西莫维奇背后犯规，主裁判出示了本场比赛第一张黄牌
23'饶伟辉左路横传，陈杰上前停球后顺势大力远射球打在刘健身上折射入网！                   21'第21分钟，广州恒大队快速反击，雷内高速突破米西莫维奇背后犯规，主裁判出示了本场比赛第一张黄牌
24'上半场23分钟，形势比较落后的贵州人和却率先破门                   21'第21分钟，广州恒大队快速反击，雷内高速突破米西莫维奇背后犯规，主裁判出示了本场比赛第一张黄牌
23'陈杰先开纪录！                   23'第23分钟，贵州人和快速反击，左路于海横敲中路空挡，陈杰高速插上稍作调整起右脚远射，球打在飞身封堵的刘健脚上折射入网，曾诚已经判断了没有办法扑救
