1'上半场比赛开始                   1'第1分钟仅7分钟，金敬道回防时拉人犯规，吃到本场比赛第一张黄牌
1'鲁能泰山队开球，回传后场                   1'第1分钟仅7分钟，金敬道回防时拉人犯规，吃到本场比赛第一张黄牌
1'鲁能泰山队直传球，对方破坏回来                   1'第1分钟仅7分钟，金敬道回防时拉人犯规，吃到本场比赛第一张黄牌
1'后场鲁能泰山队得球，走右路攻到中场，对方把球破坏出边线                   1'第1分钟仅7分钟，金敬道回防时拉人犯规，吃到本场比赛第一张黄牌
2'中场上海申鑫队断球，左路直传球，对方大脚破坏到中场                   1'第1分钟仅7分钟，金敬道回防时拉人犯规，吃到本场比赛第一张黄牌
2'双方在中场争夺，上海申鑫队今天有点反客为主的意思                   1'第1分钟仅7分钟，金敬道回防时拉人犯规，吃到本场比赛第一张黄牌
3'上海申鑫队直传禁区，王大雷出击把球没收                   1'第1分钟仅7分钟，金敬道回防时拉人犯规，吃到本场比赛第一张黄牌
12'鲁能泰山队进球啦！！洛维，1-0                   12'第12分钟，张文钊边路突破杀到禁区线附近，孙凯将其拉倒，山东鲁能获得边路任意球，蒙蒂略横传门前，洛维拿球稍作调整后突然抽射，球打在防守队员身上后转入近角，山东鲁能1-0领先
12'蒙蒂略发任意球到外围，洛维横带打门，守门员视线受阻！！皮球应声入网！！！                   12'第12分钟，张文钊边路突破杀到禁区线附近，孙凯将其拉倒，山东鲁能获得边路任意球，蒙蒂略横传门前，洛维拿球稍作调整后突然抽射，球打在防守队员身上后转入近角，山东鲁能1-0领先
14'[互动话题]本来想让大家猜一下哪队先进球来着，鲁能泰山队就先进啦！！大家猜一下是在上半场是上海申鑫队扳平还是鲁能泰山队扩大优势？？A、扳平 B、扩大战果 C、上半场再没有进球啦！[qiangda]                   12'第12分钟，张文钊边路突破杀到禁区线附近，孙凯将其拉倒，山东鲁能获得边路任意球，蒙蒂略横传门前，洛维拿球稍作调整后突然抽射，球打在防守队员身上后转入近角，山东鲁能1-0领先
14'蒙蒂略中路带球突破，对方犯规                   12'第12分钟，张文钊边路突破杀到禁区线附近，孙凯将其拉倒，山东鲁能获得边路任意球，蒙蒂略横传门前，洛维拿球稍作调整后突然抽射，球打在防守队员身上后转入近角，山东鲁能1-0领先
