9'王赟给了右翼刘俊楠传中，禁区内后卫解围，然后马上加多一脚！                   9'第9分钟，于汉超在申鑫禁区内倒地，主裁判谭海示意比赛继续
9'罗申巴克边路突破，一扣转移于汉超，拉边给了李学鹏                   9'第9分钟，于汉超在申鑫禁区内倒地，主裁判谭海示意比赛继续
10'于大宝左翼控球，想和于汉超2过1配合，但只有one ，没有two，让朱家伟解围！                   9'第9分钟，于汉超在申鑫禁区内倒地，主裁判谭海示意比赛继续
10'凯撒这里越位了                   9'第9分钟，于汉超在申鑫禁区内倒地，主裁判谭海示意比赛继续
10'打了10分钟，比赛状况就大连64开！！占据主动！！                   9'第9分钟，于汉超在申鑫禁区内倒地，主裁判谭海示意比赛继续
11'回应9:48] 游客3476: 成也李明，败也李明（水平问题！感觉有好牌，但使不出来）                   9'第9分钟，于汉超在申鑫禁区内倒地，主裁判谭海示意比赛继续
12'于大宝直塞给了于汉超，落底传中，让乔尼头锤解围了。                   9'第9分钟，于汉超在申鑫禁区内倒地，主裁判谭海示意比赛继续
46'乌塔卡给了后上的于大宝传中，于汉超抢点软弱无力，刘殿座没收。                   46'上海申鑫第1分钟的积极主动让阿尔滨有些始料未及，上半场前15分钟，申鑫在场面上稍占上风
46'上半场补时1分钟！                   46'上海申鑫第1分钟的积极主动让阿尔滨有些始料未及，上半场前15分钟，申鑫在场面上稍占上风
46'罗申巴克主罚后场任意球！                   46'上海申鑫第1分钟的积极主动让阿尔滨有些始料未及，上半场前15分钟，申鑫在场面上稍占上风
47'于汉超给了于大宝，给了周通再给凯塔                   46'上海申鑫第1分钟的积极主动让阿尔滨有些始料未及，上半场前15分钟，申鑫在场面上稍占上风
46'下半场开始了！                   46'上海申鑫第1分钟的积极主动让阿尔滨有些始料未及，上半场前15分钟，申鑫在场面上稍占上风
46'罗申巴克拉边失误了                   46'上海申鑫第1分钟的积极主动让阿尔滨有些始料未及，上半场前15分钟，申鑫在场面上稍占上风
46'王佳玉顶替了朱家伟！！                   46'上海申鑫第1分钟的积极主动让阿尔滨有些始料未及，上半场前15分钟，申鑫在场面上稍占上风
47'姜至鹏头锤解围，转移给了左翼朱宝杰，王赟拖慢节奏。                   46'上海申鑫第1分钟的积极主动让阿尔滨有些始料未及，上半场前15分钟，申鑫在场面上稍占上风
47'于大宝精彩的1个过了2个，连续2过1配合后，落底传中，但后卫葛振解围了                   46'上海申鑫第1分钟的积极主动让阿尔滨有些始料未及，上半场前15分钟，申鑫在场面上稍占上风
47'刚刚那几下完全是个人能力的体现啊！！                   46'上海申鑫第1分钟的积极主动让阿尔滨有些始料未及，上半场前15分钟，申鑫在场面上稍占上风
48'于大宝这里越位了                   46'上海申鑫第1分钟的积极主动让阿尔滨有些始料未及，上半场前15分钟，申鑫在场面上稍占上风
48'乔尼直接开大脚，送给了门将刘伟国                   46'上海申鑫第1分钟的积极主动让阿尔滨有些始料未及，上半场前15分钟，申鑫在场面上稍占上风
48'李学鹏给了左翼的杨博宇，赵和靖转移边路失误了                   46'上海申鑫第1分钟的积极主动让阿尔滨有些始料未及，上半场前15分钟，申鑫在场面上稍占上风
49'王赟给了凯撒，连续的倒脚配合，过顶球失误                   46'上海申鑫第1分钟的积极主动让阿尔滨有些始料未及，上半场前15分钟，申鑫在场面上稍占上风
49'回应0:42] 疯才寒冰: 大连好多人突破过人很牛   就是战术配合差了点（是啊！个人能力没得说，但整体捏不在一起）                   46'上海申鑫第1分钟的积极主动让阿尔滨有些始料未及，上半场前15分钟，申鑫在场面上稍占上风
47'于汉超给了于大宝，给了周通再给凯塔                   47'2分钟后，阿尔滨在申鑫半场获得边线附近任意球机会，罗申巴克主罚前点被申鑫后卫头球解围
47'姜至鹏头锤解围，转移给了左翼朱宝杰，王赟拖慢节奏。                   47'2分钟后，阿尔滨在申鑫半场获得边线附近任意球机会，罗申巴克主罚前点被申鑫后卫头球解围
47'于大宝精彩的1个过了2个，连续2过1配合后，落底传中，但后卫葛振解围了                   47'2分钟后，阿尔滨在申鑫半场获得边线附近任意球机会，罗申巴克主罚前点被申鑫后卫头球解围
47'刚刚那几下完全是个人能力的体现啊！！                   47'2分钟后，阿尔滨在申鑫半场获得边线附近任意球机会，罗申巴克主罚前点被申鑫后卫头球解围
48'于大宝这里越位了                   47'2分钟后，阿尔滨在申鑫半场获得边线附近任意球机会，罗申巴克主罚前点被申鑫后卫头球解围
48'乔尼直接开大脚，送给了门将刘伟国                   47'2分钟后，阿尔滨在申鑫半场获得边线附近任意球机会，罗申巴克主罚前点被申鑫后卫头球解围
48'李学鹏给了左翼的杨博宇，赵和靖转移边路失误了                   47'2分钟后，阿尔滨在申鑫半场获得边线附近任意球机会，罗申巴克主罚前点被申鑫后卫头球解围
49'王赟给了凯撒，连续的倒脚配合，过顶球失误                   47'2分钟后，阿尔滨在申鑫半场获得边线附近任意球机会，罗申巴克主罚前点被申鑫后卫头球解围
49'回应0:42] 疯才寒冰: 大连好多人突破过人很牛   就是战术配合差了点（是啊！个人能力没得说，但整体捏不在一起）                   47'2分钟后，阿尔滨在申鑫半场获得边线附近任意球机会，罗申巴克主罚前点被申鑫后卫头球解围
50'于大宝给了罗申巴克，直塞给了左翼，于汉超的传中，陈涛后上凌空抽射打中了葛振身体出界了。                   47'2分钟后，阿尔滨在申鑫半场获得边线附近任意球机会，罗申巴克主罚前点被申鑫后卫头球解围
50'原来周通半场让陈涛顶替了。                   47'2分钟后，阿尔滨在申鑫半场获得边线附近任意球机会，罗申巴克主罚前点被申鑫后卫头球解围
50'王赟交给了朱宝杰，安东尼奥传中，让刘伟国没收了。                    47'2分钟后，阿尔滨在申鑫半场获得边线附近任意球机会，罗申巴克主罚前点被申鑫后卫头球解围
29'王赟的直塞，凯撒顶住了后卫，然后禁区内的扫射让杨博宇抢先解围，上海的角球。                   29'上海申鑫在第29分钟利用任意球机会敲开阿尔滨球门，但主裁判谭海鸣哨示意进球的球员凯撒是用手将球撞入球门的，进球无效
30'有入球了！！但裁判示意不算！！                   29'上海申鑫在第29分钟利用任意球机会敲开阿尔滨球门，但主裁判谭海鸣哨示意进球的球员凯撒是用手将球撞入球门的，进球无效
31'上海申鑫的战术角球，安东尼奥传中，凯撒冲顶打中了肩部多一点！但裁判算手球，入球不算。                   29'上海申鑫在第29分钟利用任意球机会敲开阿尔滨球门，但主裁判谭海鸣哨示意进球的球员凯撒是用手将球撞入球门的，进球无效
31'乌塔卡给于大宝做球，但越位了                   29'上海申鑫在第29分钟利用任意球机会敲开阿尔滨球门，但主裁判谭海鸣哨示意进球的球员凯撒是用手将球撞入球门的，进球无效
32'回应[20:09] 游客4051: 大连真应该让董方卓回来，绝对行 （伤仲永啊）                   29'上海申鑫在第29分钟利用任意球机会敲开阿尔滨球门，但主裁判谭海鸣哨示意进球的球员凯撒是用手将球撞入球门的，进球无效
32'罗申巴克回传给了赵和靖，拖慢一下节奏。                     29'上海申鑫在第29分钟利用任意球机会敲开阿尔滨球门，但主裁判谭海鸣哨示意进球的球员凯撒是用手将球撞入球门的，进球无效
32'朱宝杰交给了凯撒传中，李学鹏飞铲拦截成功。                     29'上海申鑫在第29分钟利用任意球机会敲开阿尔滨球门，但主裁判谭海鸣哨示意进球的球员凯撒是用手将球撞入球门的，进球无效
32'罗申巴克拖慢节奏，交给了凯塔，但失误了。                    29'上海申鑫在第29分钟利用任意球机会敲开阿尔滨球门，但主裁判谭海鸣哨示意进球的球员凯撒是用手将球撞入球门的，进球无效
32'乔尼的分球失误了                   29'上海申鑫在第29分钟利用任意球机会敲开阿尔滨球门，但主裁判谭海鸣哨示意进球的球员凯撒是用手将球撞入球门的，进球无效
