1'上半场比赛开始！！                   1'皇马第1分钟打出积极攻势
1'白衣白裤的皇马，从画面的右侧向左进攻！！                   1'皇马第1分钟打出积极攻势
1'皇马后场过顶长传到禁区                   1'皇马第1分钟打出积极攻势
1'阿森西奥插上接应，抢点打门，被保罗封堵                   1'皇马第1分钟打出积极攻势
1'这球差一点啊！1                   1'皇马第1分钟打出积极攻势
2'伊斯科前场左路拿球，横切到中路                   1'皇马第1分钟打出积极攻势
2'面对三名防守球员夹抢，回传后场给瓦拉内                   1'皇马第1分钟打出积极攻势
2'瓦拉内带球到前场，分给右侧上去的阿什拉夫                   1'皇马第1分钟打出积极攻势
3'阿什拉夫再横传瓦拉内                   1'皇马第1分钟打出积极攻势
3'瓦拉内再给拉莫斯，拉莫斯分球克罗斯                   1'皇马第1分钟打出积极攻势
3'克罗斯斜塞左侧给到C罗                   1'皇马第1分钟打出积极攻势
3'C罗虚晃一枪，再给边上插上的纳乔                   1'皇马第1分钟打出积极攻势
4'纳乔内切遭遇夹击，再给C罗                   1'皇马第1分钟打出积极攻势
4'C罗横传中间找伊斯科，伊斯科调整一下                   1'皇马第1分钟打出积极攻势
4'禁区外直接弧线球攻门，被保罗稳稳揽入怀中！！                   1'皇马第1分钟打出积极攻势
4'皇马前场左路的进攻，克罗斯的传球                   1'皇马第1分钟打出积极攻势
30'进球了！！1-0！！！                   30'皇马第30分钟打破僵局，C罗直传，甩开戴维-洛佩斯的伊斯科禁区左肋8码处单刀捅射入网
30'伊斯科推射建功！！                   30'皇马第30分钟打破僵局，C罗直传，甩开戴维-洛佩斯的伊斯科禁区左肋8码处单刀捅射入网
31'拉莫斯中场一脚斜塞给到背身接应的C罗，C罗停球转身强突，送直塞打身后找插入禁区的伊斯科，伊斯科拿球单刀赴会，面对保罗，右脚外脚背的弹射，打进球门右下方！！                   30'皇马第30分钟打破僵局，C罗直传，甩开戴维-洛佩斯的伊斯科禁区左肋8码处单刀捅射入网
31'皇马前场再攻，C罗的打门，差之毫厘啊！！                   30'皇马第30分钟打破僵局，C罗直传，甩开戴维-洛佩斯的伊斯科禁区左肋8码处单刀捅射入网
32'目前的射门对比：皇马9次，西班牙人还没射门！！                   30'皇马第30分钟打破僵局，C罗直传，甩开戴维-洛佩斯的伊斯科禁区左肋8码处单刀捅射入网
33'克罗斯前场拿球，分球纳乔                   30'皇马第30分钟打破僵局，C罗直传，甩开戴维-洛佩斯的伊斯科禁区左肋8码处单刀捅射入网
33'纳乔再给伊斯科，伊斯科转身内切                   30'皇马第30分钟打破僵局，C罗直传，甩开戴维-洛佩斯的伊斯科禁区左肋8码处单刀捅射入网
44'西班牙人前场进攻，杰拉德禁区左侧的打门，被挡出                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
44'阿森西奥前场右路拿球，内切到禁区弧附近                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
44'直接起脚打门抽近角，保罗倒地稳稳将球拿到！                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
45'克罗斯禁区内和C罗的配合                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
45'可惜最后的传球被洛佩斯挡出                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
45'纳乔前场再抢，撞翻了桑切斯，犯规！                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
45'上半场比赛补时1分钟！！！                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
46'拉莫斯后场拿球，横传给瓦拉内                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
46'瓦拉内再给回来接应的伊斯科                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
46'伊斯科带球到中圈附近，分给卡塞米罗                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
46'卡塞米罗面对逼抢，回传拉莫斯                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
46'拉莫斯的过顶长传找前插的C罗                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
47'C罗左路强突下底，回传纳乔                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
47'纳乔拿球调整一下，起脚打门，打偏                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
46'下半场比赛开始！！                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
46'伊斯科前场左路拿球，内切遭遇夹击                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
46'脚后跟回传找跟进的纳乔                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
46'可惜失误了，球先出了边线！！                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
47'弗埃戈前场左路拿球，带至角旗附近                   44'西班牙人第44分钟险些扳平，卡塞米罗解围踢空，莫雷诺12码处劲射憾中左侧立柱
72'皇马后场抢断，C罗拿球反击，带球到前场，分球左侧给上来的阿森西奥，阿森西奥内切，倒三角回传禁区弧位置，伊斯科接应，调整一下，右脚脚弓推射打进球门左侧！                   71'皇马第71分钟扩大比分，伊斯科后场断球，C罗反击中突破分球，阿森西奥禁区左侧回传，伊斯科16码处低射右下角入网，2-0
73'西班牙人前场进攻，赢得左侧角球！！                   71'皇马第71分钟扩大比分，伊斯科后场断球，C罗反击中突破分球，阿森西奥禁区左侧回传，伊斯科16码处低射右下角入网，2-0
73'战术角球开出，达德尔的传中到后点                   71'皇马第71分钟扩大比分，伊斯科后场断球，C罗反击中突破分球，阿森西奥禁区左侧回传，伊斯科16码处低射右下角入网，2-0
73'加西亚的头球，太正了，被纳瓦斯直接没收                   71'皇马第71分钟扩大比分，伊斯科后场断球，C罗反击中突破分球，阿森西奥禁区左侧回传，伊斯科16码处低射右下角入网，2-0
74'西班牙人前场进攻，赢得中路靠右的任意球机会                   71'皇马第71分钟扩大比分，伊斯科后场断球，C罗反击中突破分球，阿森西奥禁区左侧回传，伊斯科16码处低射右下角入网，2-0
