2'卡斯坦诺斯为佩斯卡拉赢得一个任意球.                   1'第1分钟，佩斯卡拉连续两脚远射没有太大威胁
2'国际米兰球员长友佑都拼抢犯规,对手获得控球权.                   1'第1分钟，佩斯卡拉连续两脚远射没有太大威胁
3'佩斯卡拉球员巴希贝克大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   1'第1分钟，佩斯卡拉连续两脚远射没有太大威胁
23'佩斯卡拉球员卡斯坦诺斯一脚直塞球给韦雷,但是边裁举旗显示后者已经越位.                   23'国米第23分钟取得领先
23'射门!!!国际米兰球员若奥-马里奥大禁区外右脚射门,被对方守门员横身扑出.给他传球的是汉达诺维奇.                   23'国米第23分钟取得领先
23'比萨里将球处理出底线,国际米兰获得角球.                   23'国米第23分钟取得领先
23'进球啦！！！国际米兰球员德安布罗西奥小禁区右侧右脚射门,球从右下角飞进球门,球进了!助攻的是布罗佐维奇. 国际米兰 1-0 佩斯卡拉.                   23'国米第23分钟取得领先
26'梅穆萨伊为佩斯卡拉在左路,赢得一个任意球.                   23'国米第23分钟取得领先
26'国际米兰球员梅德尔拼抢犯规,对手获得控球权.                   23'国米第23分钟取得领先
43'进球啦！！！国际米兰球员若奥-马里奥球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是佩里西奇. 国际米兰 2-0 佩斯卡拉.                   43'国米第43分钟扩大优势
45'+2'上半场结束,国际米兰 2-0 佩斯卡拉,稍事休息,我们一会来看看下半场两队的表现.                   43'国米第43分钟扩大优势
73'进球啦！！！国际米兰球员埃德球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是伊卡尔迪. 国际米兰 3-0 佩斯卡拉.                   73'第73分钟，埃德尔后场断球长途奔袭分到右侧，布罗佐维奇直塞禁区右侧，伊卡尔迪回敲，埃德尔前点距门4米处推射入近角，3比0
75'国际米兰球员伊卡尔迪大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是若奥-马里奥.                   73'第73分钟，埃德尔后场断球长途奔袭分到右侧，布罗佐维奇直塞禁区右侧，伊卡尔迪回敲，埃德尔前点距门4米处推射入近角，3比0
75'佩斯卡拉换人,塞里换下巴希贝克                   73'第73分钟，埃德尔后场断球长途奔袭分到右侧，布罗佐维奇直塞禁区右侧，伊卡尔迪回敲，埃德尔前点距门4米处推射入近角，3比0
76'国际米兰换人,加布里埃尔换下坎德雷瓦                   73'第73分钟，埃德尔后场断球长途奔袭分到右侧，布罗佐维奇直塞禁区右侧，伊卡尔迪回敲，埃德尔前点距门4米处推射入近角，3比0
