3'冯仁亮左路拿球回敲                   3'第3分钟，冯仁亮左路拿球回敲，米西莫维奇禁区左侧小角度打门被封堵出底线
3'米西莫维奇禁区左侧小角度打门被封堵出底线                   3'第3分钟，冯仁亮左路拿球回敲，米西莫维奇禁区左侧小角度打门被封堵出底线
4'米西莫维奇角球送到禁区被顶出底线                   3'第3分钟，冯仁亮左路拿球回敲，米西莫维奇禁区左侧小角度打门被封堵出底线
4'米西莫维奇角球再送到禁区，第一点被解围                   3'第3分钟，冯仁亮左路拿球回敲，米西莫维奇禁区左侧小角度打门被封堵出底线
5'永昌后场断球                   3'第3分钟，冯仁亮左路拿球回敲，米西莫维奇禁区左侧小角度打门被封堵出底线
5'冯绍顺中场被萨利霍维奇踢翻在地                   3'第3分钟，冯仁亮左路拿球回敲，米西莫维奇禁区左侧小角度打门被封堵出底线
5'古德约翰森中场拿球直塞                   3'第3分钟，冯仁亮左路拿球回敲，米西莫维奇禁区左侧小角度打门被封堵出底线
5'冯绍顺右路斜传禁区被顶出                   3'第3分钟，冯仁亮左路拿球回敲，米西莫维奇禁区左侧小角度打门被封堵出底线
6'人和右路拿球                   3'第3分钟，冯仁亮左路拿球回敲，米西莫维奇禁区左侧小角度打门被封堵出底线
7'米西莫维奇外围打门，皮球打在防守球员身上弹出                   7'第7分钟，人和右路拿球，米西莫维奇外围打门，皮球打在防守球员身上弹出
7'人和外围继续控球                   7'第7分钟，人和右路拿球，米西莫维奇外围打门，皮球打在防守球员身上弹出
7'米西莫维奇中场拿球杀到禁区前沿直接起脚打门，皮球被关震没收                   7'第7分钟，人和右路拿球，米西莫维奇外围打门，皮球打在防守球员身上弹出
8'在另外一场争冠比赛中，恒大取得了进球                   7'第7分钟，人和右路拿球，米西莫维奇外围打门，皮球打在防守球员身上弹出
9'人和开场之后打的是比较主动的                   7'第7分钟，人和右路拿球，米西莫维奇外围打门，皮球打在防守球员身上弹出
9'冯绍顺右路上来给到隆东                   7'第7分钟，人和右路拿球，米西莫维奇外围打门，皮球打在防守球员身上弹出
10'古德语汉森中场摆脱后给到右路的隆东，隆东右路直接传中，球被张烈挡了一下，穆伦加没能拿到，人和后卫及时解围                   7'第7分钟，人和右路拿球，米西莫维奇外围打门，皮球打在防守球员身上弹出
10'冯仁亮传中被顶出                   7'第7分钟，人和右路拿球，米西莫维奇外围打门，皮球打在防守球员身上弹出
10'人和前场断球，桑托斯给到左路                   7'第7分钟，人和右路拿球，米西莫维奇外围打门，皮球打在防守球员身上弹出
10'古德语汉森中场摆脱后给到右路的隆东，隆东右路直接传中，球被张烈挡了一下，穆伦加没能拿到，人和后卫及时解围                   10'第10分钟，古德约汉森中场摆脱后给到右路的隆东，隆东右路直接传中，球被张烈挡了一下，穆伦加没能拿到，人和后卫及时解围
10'冯仁亮传中被顶出                   10'第10分钟，古德约汉森中场摆脱后给到右路的隆东，隆东右路直接传中，球被张烈挡了一下，穆伦加没能拿到，人和后卫及时解围
10'人和前场断球，桑托斯给到左路                   10'第10分钟，古德约汉森中场摆脱后给到右路的隆东，隆东右路直接传中，球被张烈挡了一下，穆伦加没能拿到，人和后卫及时解围
11'冯仁亮左路传中，球被后卫蹭到右路                   10'第10分钟，古德约汉森中场摆脱后给到右路的隆东，隆东右路直接传中，球被张烈挡了一下，穆伦加没能拿到，人和后卫及时解围
11'人和前场右侧犯规                   10'第10分钟，古德约汉森中场摆脱后给到右路的隆东，隆东右路直接传中，球被张烈挡了一下，穆伦加没能拿到，人和后卫及时解围
12'人和后场回传门将，差点被古德约翰森抢断                   10'第10分钟，古德约汉森中场摆脱后给到右路的隆东，隆东右路直接传中，球被张烈挡了一下，穆伦加没能拿到，人和后卫及时解围
12'米西莫维奇斜塞左路的桑托斯，桑托斯拿球到禁区                   10'第10分钟，古德约汉森中场摆脱后给到右路的隆东，隆东右路直接传中，球被张烈挡了一下，穆伦加没能拿到，人和后卫及时解围
12'突破犯规踢倒了赵荣亨                   10'第10分钟，古德约汉森中场摆脱后给到右路的隆东，隆东右路直接传中，球被张烈挡了一下，穆伦加没能拿到，人和后卫及时解围
13'桑托斯上前也是伸手表示歉意                   10'第10分钟，古德约汉森中场摆脱后给到右路的隆东，隆东右路直接传中，球被张烈挡了一下，穆伦加没能拿到，人和后卫及时解围
13'继续比赛                   10'第10分钟，古德约汉森中场摆脱后给到右路的隆东，隆东右路直接传中，球被张烈挡了一下，穆伦加没能拿到，人和后卫及时解围
13'永昌中场左侧拿球长传找穆伦加，脚法差了点                   10'第10分钟，古德约汉森中场摆脱后给到右路的隆东，隆东右路直接传中，球被张烈挡了一下，穆伦加没能拿到，人和后卫及时解围
19'米西莫维奇禁区前沿打门，打在桑托斯腿上弹出，禁区右侧人和回敲，刘君鹏直接左脚打门高出                   19'第19分钟，米西莫维奇禁区前沿打门打在桑托斯腿上弹出，禁区右侧人和回敲，刘君鹏直接左脚打门高出
20'米西莫维奇外围又是一脚打门高出                   19'第19分钟，米西莫维奇禁区前沿打门打在桑托斯腿上弹出，禁区右侧人和回敲，刘君鹏直接左脚打门高出
20'人和左路又来了                   19'第19分钟，米西莫维奇禁区前沿打门打在桑托斯腿上弹出，禁区右侧人和回敲，刘君鹏直接左脚打门高出
21'刘君鹏外围右侧打门，被后卫挡出底线                   19'第19分钟，米西莫维奇禁区前沿打门打在桑托斯腿上弹出，禁区右侧人和回敲，刘君鹏直接左脚打门高出
22'萨利霍维奇角球到禁区，关震抱球踏进球门，人和球员示意球进了，裁判吹了朴柱成手球                   19'第19分钟，米西莫维奇禁区前沿打门打在桑托斯腿上弹出，禁区右侧人和回敲，刘君鹏直接左脚打门高出
22'陈昌源突破被踢倒在地                   19'第19分钟，米西莫维奇禁区前沿打门打在桑托斯腿上弹出，禁区右侧人和回敲，刘君鹏直接左脚打门高出
22'人和活得禁区前沿定位球                   19'第19分钟，米西莫维奇禁区前沿打门打在桑托斯腿上弹出，禁区右侧人和回敲，刘君鹏直接左脚打门高出
31'米西莫维奇拿球横带给右侧                   31'第31分钟，萨利霍维奇禁区外围远射，皮球被关震单手拖出横梁
31'人和右路传中到后点，跟进球员打门被封堵                   31'第31分钟，萨利霍维奇禁区外围远射，皮球被关震单手拖出横梁
31'萨利霍维奇禁区外围远射，皮球被关震单手拖出横梁                   31'第31分钟，萨利霍维奇禁区外围远射，皮球被关震单手拖出横梁
32'角球到禁区被解围出底线                   31'第31分钟，萨利霍维奇禁区外围远射，皮球被关震单手拖出横梁
32'角球又是被解围出去                   31'第31分钟，萨利霍维奇禁区外围远射，皮球被关震单手拖出横梁
32'萨利霍维奇前场被踢倒                   31'第31分钟，萨利霍维奇禁区外围远射，皮球被关震单手拖出横梁
33'可惜了啊                   31'第31分钟，萨利霍维奇禁区外围远射，皮球被关震单手拖出横梁
33'萨利霍维奇任意球到禁区，前点人和蹭到后点，关震扑了一下，没打远，禁区内人和球员连续四脚打门最后出了底线                   31'第31分钟，萨利霍维奇禁区外围远射，皮球被关震单手拖出横梁
34'人和运气太不好了                   31'第31分钟，萨利霍维奇禁区外围远射，皮球被关震单手拖出横梁
34'王鹏接受队医治疗                   31'第31分钟，萨利霍维奇禁区外围远射，皮球被关震单手拖出横梁
38'隆东右路拿球倒地，裁判没吹                   38'第38分钟，米西莫维奇横敲左路，饶伟辉传中被顶出，外围米西晃开防守后打门被关震扑出
38'米西给到左路，饶伟辉传中被顶出，外围米西晃开防守后打门，被关震扑出                   38'第38分钟，米西莫维奇横敲左路，饶伟辉传中被顶出，外围米西晃开防守后打门被关震扑出
39'人和中场控球                   38'第38分钟，米西莫维奇横敲左路，饶伟辉传中被顶出，外围米西晃开防守后打门被关震扑出
40'穆伦加中场拿球给到右侧                   38'第38分钟，米西莫维奇横敲左路，饶伟辉传中被顶出，外围米西晃开防守后打门被关震扑出
40'人和中场断球                   38'第38分钟，米西莫维奇横敲左路，饶伟辉传中被顶出，外围米西晃开防守后打门被关震扑出
40'冯仁亮直塞禁区前沿                   38'第38分钟，米西莫维奇横敲左路，饶伟辉传中被顶出，外围米西晃开防守后打门被关震扑出
40'萨利霍维奇停球失误                   38'第38分钟，米西莫维奇横敲左路，饶伟辉传中被顶出，外围米西晃开防守后打门被关震扑出
40'陈昌源逼抢赢得一个角球                   38'第38分钟，米西莫维奇横敲左路，饶伟辉传中被顶出，外围米西晃开防守后打门被关震扑出
41'人和扳平比分了                   38'第38分钟，米西莫维奇横敲左路，饶伟辉传中被顶出，外围米西晃开防守后打门被关震扑出
41'萨利霍维奇角球到禁区，张成林禁区内头球攻门将球顶进                   38'第38分钟，米西莫维奇横敲左路，饶伟辉传中被顶出，外围米西晃开防守后打门被关震扑出
45'比赛来到常规时间最后一分钟                   45'第45分钟米西莫维奇斜吊禁区又被关震摘下
45'隆东前场争抢犯规                   45'第45分钟米西莫维奇斜吊禁区又被关震摘下
46'上半场补时2分钟                   45'第45分钟米西莫维奇斜吊禁区又被关震摘下
46'冯仁亮左路横传                   45'第45分钟米西莫维奇斜吊禁区又被关震摘下
46'桑托斯禁区内停球停大了被解围                   45'第45分钟米西莫维奇斜吊禁区又被关震摘下
46'米西外围又是一脚远射偏出                   45'第45分钟米西莫维奇斜吊禁区又被关震摘下
47'米西中场往禁区吊，关震抱住                   45'第45分钟米西莫维奇斜吊禁区又被关震摘下
47'穆伦加前场撞到人和球员犯规                   45'第45分钟米西莫维奇斜吊禁区又被关震摘下
47'人和中场拿球                   45'第45分钟米西莫维奇斜吊禁区又被关震摘下
46'下半场比赛开始                   45'第45分钟米西莫维奇斜吊禁区又被关震摘下
52'冯仁亮回敲，队友斜传禁区被解围                   52'第52分钟饶伟辉凶狠铲倒隆东被黄牌警告
52'隆东中场被侵犯倒地                   52'第52分钟饶伟辉凶狠铲倒隆东被黄牌警告
52'裁判给了饶伟辉一张黄牌                   52'第52分钟饶伟辉凶狠铲倒隆东被黄牌警告
53'永昌禁区内打门被门将没收                   52'第52分钟饶伟辉凶狠铲倒隆东被黄牌警告
53'永昌后场犯规                   52'第52分钟饶伟辉凶狠铲倒隆东被黄牌警告
53'张成林横传，米西莫维奇禁区前沿转身打门被关震倒地没收                   52'第52分钟饶伟辉凶狠铲倒隆东被黄牌警告
54'糜昊伦后场犯规                   52'第52分钟饶伟辉凶狠铲倒隆东被黄牌警告
54'萨利霍维奇任意球直接打门，皮球高出横梁                   52'第52分钟饶伟辉凶狠铲倒隆东被黄牌警告
55'人和中场挑传被解围                   52'第52分钟饶伟辉凶狠铲倒隆东被黄牌警告
55'张成林中场犯规                   52'第52分钟饶伟辉凶狠铲倒隆东被黄牌警告
55'古德约翰森前场停球失误被断了                   52'第52分钟饶伟辉凶狠铲倒隆东被黄牌警告
54'糜昊伦后场犯规                   54'第54分钟张成林横传，米西莫维奇禁区前沿转身抽射被关震倒地扑出
54'萨利霍维奇任意球直接打门，皮球高出横梁                   54'第54分钟张成林横传，米西莫维奇禁区前沿转身抽射被关震倒地扑出
55'人和中场挑传被解围                   54'第54分钟张成林横传，米西莫维奇禁区前沿转身抽射被关震倒地扑出
55'张成林中场犯规                   54'第54分钟张成林横传，米西莫维奇禁区前沿转身抽射被关震倒地扑出
55'古德约翰森前场停球失误被断了                   54'第54分钟张成林横传，米西莫维奇禁区前沿转身抽射被关震倒地扑出
56'冯仁亮左路拿球往里切被断了                   54'第54分钟张成林横传，米西莫维奇禁区前沿转身抽射被关震倒地扑出
56'永昌后场转移球失误，球出了边线                   54'第54分钟张成林横传，米西莫维奇禁区前沿转身抽射被关震倒地扑出
56'米西往禁区塞，被踢出                   54'第54分钟张成林横传，米西莫维奇禁区前沿转身抽射被关震倒地扑出
57'冯仁亮左路突破后传中，球被顶出底线                   54'第54分钟张成林横传，米西莫维奇禁区前沿转身抽射被关震倒地扑出
57'米西角球送到禁区，关震击出                   54'第54分钟张成林横传，米西莫维奇禁区前沿转身抽射被关震倒地扑出
57'永昌左路反击，直塞球被挡住                   54'第54分钟张成林横传，米西莫维奇禁区前沿转身抽射被关震倒地扑出
60'张成林外围远射被关震扑出，桑托斯补射高出                   60'第60分钟糜昊伦左路突破后横敲，穆伦加打门踢偏
