2'巴洛特利为利物浦赢得一个任意球.                   1'双方第1分钟打出快节奏，但都未能创造出得分机会
2'贝西克塔斯球员乌伊萨尔拼抢犯规,对手获得控球权.                   1'双方第1分钟打出快节奏，但都未能创造出得分机会
3'利物浦球员巴洛特利拼抢犯规,对手获得控球权.                   1'双方第1分钟打出快节奏，但都未能创造出得分机会
3'乌伊萨尔为贝西克塔斯赢得一个任意球.                   1'双方第1分钟打出快节奏，但都未能创造出得分机会
20'射门!!!利物浦球员斯特林大禁区外右脚射门,被对方守门员横身扑出.给他传球的是莫雷诺.                   20'利物浦首次射门出现在第20分钟，莫雷诺左路闪过2次铲截后传球，斯特林禁区弧边缘劲射被扑出
21'斯特林为利物浦赢得一个任意球.                   20'利物浦首次射门出现在第20分钟，莫雷诺左路闪过2次铲截后传球，斯特林禁区弧边缘劲射被扑出
21'贝西克塔斯球员卡夫拉克拼抢犯规,对手获得控球权.                   20'利物浦首次射门出现在第20分钟，莫雷诺左路闪过2次铲截后传球，斯特林禁区弧边缘劲射被扑出
22'贝西克塔斯球员奥帕雷大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   20'利物浦首次射门出现在第20分钟，莫雷诺左路闪过2次铲截后传球，斯特林禁区弧边缘劲射被扑出
23'利物浦球员埃姆雷-詹拼抢犯规,对手获得控球权.                   20'利物浦首次射门出现在第20分钟，莫雷诺左路闪过2次铲截后传球，斯特林禁区弧边缘劲射被扑出
23'哈钦森为贝西克塔斯赢得一个任意球.                   20'利物浦首次射门出现在第20分钟，莫雷诺左路闪过2次铲截后传球，斯特林禁区弧边缘劲射被扑出
70'贝西克塔斯球员阿斯兰大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是乌伊萨尔.                   70'主队第70分钟险些破门，阿尔斯兰30码外远射擦右侧立柱偏出
72'利物浦球员斯图里奇拼抢犯规,对手获得控球权.                   70'主队第70分钟险些破门，阿尔斯兰30码外远射擦右侧立柱偏出
72'乌伊萨尔为贝西克塔斯赢得一个任意球.                   70'主队第70分钟险些破门，阿尔斯兰30码外远射擦右侧立柱偏出
72'进球啦！！！贝西克塔斯球员阿斯兰大禁区外左脚射门,球从左上角飞进球门,球进了!助攻的是登巴巴. 贝西克塔斯 1-0 利物浦.                   70'主队第70分钟险些破门，阿尔斯兰30码外远射擦右侧立柱偏出
