3'邹正外围一记远射，高出，敲山震虎先来一下。                   3'第3分钟，保利尼奥组织进攻将球交给右路，邹正外围一记远射，敲山震虎先来一脚
4'吉翔右路界外球直接给到禁区                   3'第3分钟，保利尼奥组织进攻将球交给右路，邹正外围一记远射，敲山震虎先来一脚
4'恒大后点头球解围                   3'第3分钟，保利尼奥组织进攻将球交给右路，邹正外围一记远射，敲山震虎先来一脚
4'边路郑龙利用速度展开反击                   3'第3分钟，保利尼奥组织进攻将球交给右路，邹正外围一记远射，敲山震虎先来一脚
4'郑龙1V2，没有控制好，出了边线                   3'第3分钟，保利尼奥组织进攻将球交给右路，邹正外围一记远射，敲山震虎先来一脚
5'卡尔坦森中场护球，转身回敲被阻截                   3'第3分钟，保利尼奥组织进攻将球交给右路，邹正外围一记远射，敲山震虎先来一脚
5'郑智前场策划进攻，左路给到罗比尼奥                   3'第3分钟，保利尼奥组织进攻将球交给右路，邹正外围一记远射，敲山震虎先来一脚
5'罗比尼奥突破未果，在把球交回到外线                   3'第3分钟，保利尼奥组织进攻将球交给右路，邹正外围一记远射，敲山震虎先来一脚
5'恒大耐心的在前场组织进攻                   3'第3分钟，保利尼奥组织进攻将球交给右路，邹正外围一记远射，敲山震虎先来一脚
6'郑智中路在给罗比尼奥，右侧敲给郑龙                   3'第3分钟，保利尼奥组织进攻将球交给右路，邹正外围一记远射，敲山震虎先来一脚
6'恒大边路传中，许友志头球解围出边线                   3'第3分钟，保利尼奥组织进攻将球交给右路，邹正外围一记远射，敲山震虎先来一脚
9'罗比尼奥左路斜传，禁区中央高拉特头球后蹭，擦着远端门柱出界                   9'第9分钟，罗比尼奥左路斜传，禁区中路高拉特头球后蹭，皮球擦着远端门柱出底线
9'邓小飞甚至没有做出扑救动作                   9'第9分钟，罗比尼奥左路斜传，禁区中路高拉特头球后蹭，皮球擦着远端门柱出底线
9'舜天左路打穿恒大的防线                   9'第9分钟，罗比尼奥左路斜传，禁区中路高拉特头球后蹭，皮球擦着远端门柱出底线
10'杨笑天下底，倒三角传中，还是金英权先把球解围                   9'第9分钟，罗比尼奥左路斜传，禁区中路高拉特头球后蹭，皮球擦着远端门柱出底线
10'郑智右路分到郑龙脚下，郑龙盘带不错，内切之后打门，造成角球                   9'第9分钟，罗比尼奥左路斜传，禁区中路高拉特头球后蹭，皮球擦着远端门柱出底线
10'右侧角球开出来，前点后蹭出了底线，来自高拉特的头槌                   9'第9分钟，罗比尼奥左路斜传，禁区中路高拉特头球后蹭，皮球擦着远端门柱出底线
