2'队友底线准备传到禁区                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
2'球直接被阿森纳球员拦截下来                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
2'利物浦左路策动攻势                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
3'本特克停球不做调整直接打门                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
3'这球稍稍打偏了                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
3'本特克右路禁区内拿球横敲到中路                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
3'库迪尼奥不做调整直接大力抽射                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
3'球击中了横梁下沿后弹了出来！！                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
4'利物浦上来是反客为主啊，把阿森纳给压住了                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
4'利物浦中场控球下来，稳一下                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
4'阿森纳开场后也是连续的丢球                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
5'阿森纳前场拿球给右路                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
5'贝莱林套边上来给中路                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
5'阿森纳将球在给左路                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
5'厄齐尔拿球选择回敲                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
5'边路阿森纳起送禁区中路                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
5'阿森纳前场拿球给右路                   5'阿森纳第5分钟还以颜色，蒙雷亚尔左路传中，桑切斯小禁区边缘头球攻门高出
5'贝莱林套边上来给中路                   5'阿森纳第5分钟还以颜色，蒙雷亚尔左路传中，桑切斯小禁区边缘头球攻门高出
5'阿森纳将球在给左路                   5'阿森纳第5分钟还以颜色，蒙雷亚尔左路传中，桑切斯小禁区边缘头球攻门高出
5'厄齐尔拿球选择回敲                   5'阿森纳第5分钟还以颜色，蒙雷亚尔左路传中，桑切斯小禁区边缘头球攻门高出
5'边路阿森纳起送禁区中路                   5'阿森纳第5分钟还以颜色，蒙雷亚尔左路传中，桑切斯小禁区边缘头球攻门高出
7'阿森纳边路停球被戈麦斯破坏                   5'阿森纳第5分钟还以颜色，蒙雷亚尔左路传中，桑切斯小禁区边缘头球攻门高出
7'阿森纳前场禁区前沿做撞墙配合                   5'阿森纳第5分钟还以颜色，蒙雷亚尔左路传中，桑切斯小禁区边缘头球攻门高出
8'厄齐尔这边拿球被干扰                   5'阿森纳第5分钟还以颜色，蒙雷亚尔左路传中，桑切斯小禁区边缘头球攻门高出
8'但利物浦这边也是忙中出错                   5'阿森纳第5分钟还以颜色，蒙雷亚尔左路传中，桑切斯小禁区边缘头球攻门高出
8'桑切斯禁区内也是险些抓住机会                   5'阿森纳第5分钟还以颜色，蒙雷亚尔左路传中，桑切斯小禁区边缘头球攻门高出
