8'进球啦！！！图卢兹球员本耶德尔大禁区左侧左脚射门,球从左下角飞进球门,球进了! 图卢兹 1-0 巴黎圣日耳曼.                   8'第8分钟，奥利尔回传，本-耶德尔抢在出击的西里古之前拦截后禁区左侧射入空门
10'图卢兹球员布兰道拼抢犯规,对手获得控球权.                   8'第8分钟，奥利尔回传，本-耶德尔抢在出击的西里古之前拦截后禁区左侧射入空门
10'卡巴耶为巴黎圣日耳曼赢得一个任意球.                   8'第8分钟，奥利尔回传，本-耶德尔抢在出击的西里古之前拦截后禁区左侧射入空门
11'Dragos Grigore将球处理出底线,巴黎圣日耳曼获得角球.                   8'第8分钟，奥利尔回传，本-耶德尔抢在出击的西里古之前拦截后禁区左侧射入空门
33'图卢兹球员François Moubandje拼抢犯规,对手获得控球权.                   33'巴黎圣日耳曼第33分钟扳平比分，维拉蒂任意球长传，巴赫贝克小禁区右上角射远角得手
33'巴希贝克为巴黎圣日耳曼赢得一个任意球.                   33'巴黎圣日耳曼第33分钟扳平比分，维拉蒂任意球长传，巴赫贝克小禁区右上角射远角得手
33'进球啦！！！巴黎圣日耳曼球员巴希贝克大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是维拉蒂. 图卢兹 1-1 巴黎圣日耳曼.                   33'巴黎圣日耳曼第33分钟扳平比分，维拉蒂任意球长传，巴赫贝克小禁区右上角射远角得手
34'维斯科瓦奇为图卢兹赢得一个任意球.                   33'巴黎圣日耳曼第33分钟扳平比分，维拉蒂任意球长传，巴赫贝克小禁区右上角射远角得手
34'巴黎圣日耳曼球员巴希贝克拼抢犯规,对手获得控球权.                   33'巴黎圣日耳曼第33分钟扳平比分，维拉蒂任意球长传，巴赫贝克小禁区右上角射远角得手
36'图卢兹球员本耶德尔拼抢犯规,对手获得控球权.                   33'巴黎圣日耳曼第33分钟扳平比分，维拉蒂任意球长传，巴赫贝克小禁区右上角射远角得手
36'维拉蒂为巴黎圣日耳曼赢得一个任意球.                   33'巴黎圣日耳曼第33分钟扳平比分，维拉蒂任意球长传，巴赫贝克小禁区右上角射远角得手
