2'开场后，皇马在中前场的逼抢很积极啊                   2'开场仅2分钟，C-罗纳尔多左路内切后低射偏出
2'瓦伦西亚右边路的直塞打后卫身后，可惜力量过大                   2'开场仅2分钟，C-罗纳尔多左路内切后低射偏出
2'索尔达多使劲全力，还是没能拿到，球出了底线                   2'开场仅2分钟，C-罗纳尔多左路内切后低射偏出
3'C罗前场左路拿球内切，突然的一脚冷射，打偏了                   2'开场仅2分钟，C-罗纳尔多左路内切后低射偏出
4'加戈和马蒂厄的右边路配合失误，加戈传球直接出边线                   2'开场仅2分钟，C-罗纳尔多左路内切后低射偏出
4'迪马利亚中场拿球斜传给到阿隆索                   2'开场仅2分钟，C-罗纳尔多左路内切后低射偏出
4'阿隆索不停球直接过渡给到厄齐尔                   2'开场仅2分钟，C-罗纳尔多左路内切后低射偏出
4'厄齐尔禁区外拿球再次斜传给到迪马利亚                   2'开场仅2分钟，C-罗纳尔多左路内切后低射偏出
5'迪马利亚右路拿球横向盘带，闪开角度直接一脚打门踢飞了                   2'开场仅2分钟，C-罗纳尔多左路内切后低射偏出
5'迪马利亚右路直传找伊瓜因，可惜后者没能拿到                   2'开场仅2分钟，C-罗纳尔多左路内切后低射偏出
10'阿韦罗亚和瓜尔达多左侧角旗附近的对决，后者将球碰出底线                   10'皇马第10分钟取得领先，迪马利亚挑传，反越位成功的伊瓜因10码处连续射门被迭戈-阿尔维斯扑出，但最后的半凌空抽射还是攻破瓦伦西亚大门
10'进球了                   10'皇马第10分钟取得领先，迪马利亚挑传，反越位成功的伊瓜因10码处连续射门被迭戈-阿尔维斯扑出，但最后的半凌空抽射还是攻破瓦伦西亚大门
10'伊瓜因！！！！！！！！！！！！                   10'皇马第10分钟取得领先，迪马利亚挑传，反越位成功的伊瓜因10码处连续射门被迭戈-阿尔维斯扑出，但最后的半凌空抽射还是攻破瓦伦西亚大门
11'迪马利亚禁区外的过顶球打后卫身后，伊瓜因反越位成功，伊瓜因面对阿尔维斯的封堵，连续三脚打门最终破门成功                   10'皇马第10分钟取得领先，迪马利亚挑传，反越位成功的伊瓜因10码处连续射门被迭戈-阿尔维斯扑出，但最后的半凌空抽射还是攻破瓦伦西亚大门
12'开场10分钟，皇马就取得了一球领先，不错的开局                   10'皇马第10分钟取得领先，迪马利亚挑传，反越位成功的伊瓜因10码处连续射门被迭戈-阿尔维斯扑出，但最后的半凌空抽射还是攻破瓦伦西亚大门
12'瓦伦西亚左路进攻，赢得角球机会                   10'皇马第10分钟取得领先，迪马利亚挑传，反越位成功的伊瓜因10码处连续射门被迭戈-阿尔维斯扑出，但最后的半凌空抽射还是攻破瓦伦西亚大门
12'科斯塔来主罚                   10'皇马第10分钟取得领先，迪马利亚挑传，反越位成功的伊瓜因10码处连续射门被迭戈-阿尔维斯扑出，但最后的半凌空抽射还是攻破瓦伦西亚大门
13'科斯塔角球开到门前，卡西利亚斯出击将球单拳打出禁区                   10'皇马第10分钟取得领先，迪马利亚挑传，反越位成功的伊瓜因10码处连续射门被迭戈-阿尔维斯扑出，但最后的半凌空抽射还是攻破瓦伦西亚大门
25'科恩特朗左路拿球传中，被鲁伊斯挡出底线                   25'第25分钟，瓦伦西亚解围角球，拉斯-迪亚拉传球，阿隆索大禁区左上角外弧线球射远角稍稍偏出
25'皇马获得右侧角球机会                   25'第25分钟，瓦伦西亚解围角球，拉斯-迪亚拉传球，阿隆索大禁区左上角外弧线球射远角稍稍偏出
25'目前角球，双方是2-2打平                   25'第25分钟，瓦伦西亚解围角球，拉斯-迪亚拉传球，阿隆索大禁区左上角外弧线球射远角稍稍偏出
25'阿隆索角球开出，第一点被瓦伦西亚球员解围                   25'第25分钟，瓦伦西亚解围角球，拉斯-迪亚拉传球，阿隆索大禁区左上角外弧线球射远角稍稍偏出
25'阿隆索得到第二落点，边路内切，禁区外的远射打偏                   25'第25分钟，瓦伦西亚解围角球，拉斯-迪亚拉传球，阿隆索大禁区左上角外弧线球射远角稍稍偏出
26'目前双方的射门次数，皇马6-1遥遥领先                   25'第25分钟，瓦伦西亚解围角球，拉斯-迪亚拉传球，阿隆索大禁区左上角外弧线球射远角稍稍偏出
26'马蒂厄左路和瓜尔达多的配合失误，皇马抢断反击                   25'第25分钟，瓦伦西亚解围角球，拉斯-迪亚拉传球，阿隆索大禁区左上角外弧线球射远角稍稍偏出
27'迪马利亚拿球过了中线斜传左路失误，佩雷拉将球拦截                   25'第25分钟，瓦伦西亚解围角球，拉斯-迪亚拉传球，阿隆索大禁区左上角外弧线球射远角稍稍偏出
