7'界外球扔出来！迪涅控制下来！传中球被奥里吉解围                   7'沃尔科特开场7分钟的战术犯规被罚黄牌
7'奥里吉自己带球向前走，沃尔科特犯规了！还吃到黄牌                   7'沃尔科特开场7分钟的战术犯规被罚黄牌
8'罗宾逊前场左侧得球，低平球向前给，被拦截下来                   7'沃尔科特开场7分钟的战术犯规被罚黄牌
8'皮克福德后场大脚开出去，西古德森后场得球                   7'沃尔科特开场7分钟的战术犯规被罚黄牌
9'给前场右侧科尔曼，传中球到禁区！被阿里森摘下来                   7'沃尔科特开场7分钟的战术犯规被罚黄牌
9'阿里森大脚找前场萨拉赫！自己带球向前被抢断                   7'沃尔科特开场7分钟的战术犯规被罚黄牌
10'皮克福德大脚开出去！埃弗顿后场控制一下                   7'沃尔科特开场7分钟的战术犯规被罚黄牌
10'伯纳德转移球被萨拉赫碰出边线！                   7'沃尔科特开场7分钟的战术犯规被罚黄牌
10'直接来一脚远射！！范迪克破坏出去底线！角球                   7'沃尔科特开场7分钟的战术犯规被罚黄牌
28'界外球扔出来！马内给身后马蒂普                   28'利物浦第28分钟浪费机会，施奈德林中场丢球，法比尼奥送出直传，萨拉赫单刀突入禁区右侧的射门被扑出，亨德森禁区边缘补射被封堵
28'大脚开出去！直接送给皮克福德                   28'利物浦第28分钟浪费机会，施奈德林中场丢球，法比尼奥送出直传，萨拉赫单刀突入禁区右侧的射门被扑出，亨德森禁区边缘补射被封堵
29'科尔曼前场右侧得球，低平球向前被碰出边线                   28'利物浦第28分钟浪费机会，施奈德林中场丢球，法比尼奥送出直传，萨拉赫单刀突入禁区右侧的射门被扑出，亨德森禁区边缘补射被封堵
29'萨拉赫兜出来接球！前场右侧直接打门！                   28'利物浦第28分钟浪费机会，施奈德林中场丢球，法比尼奥送出直传，萨拉赫单刀突入禁区右侧的射门被扑出，亨德森禁区边缘补射被封堵
30'球被皮克福德扑了出去！亨德森补射还是被解围！                   28'利物浦第28分钟浪费机会，施奈德林中场丢球，法比尼奥送出直传，萨拉赫单刀突入禁区右侧的射门被扑出，亨德森禁区边缘补射被封堵
30'比赛继续！！法比尼奥带球向前，挑传球找马内                   28'利物浦第28分钟浪费机会，施奈德林中场丢球，法比尼奥送出直传，萨拉赫单刀突入禁区右侧的射门被扑出，亨德森禁区边缘补射被封堵
30'马内禁区里得球！！但是裁判响哨，已经越位                   28'利物浦第28分钟浪费机会，施奈德林中场丢球，法比尼奥送出直传，萨拉赫单刀突入禁区右侧的射门被扑出，亨德森禁区边缘补射被封堵
31'找到前场右侧沃尔科特！罗宾逊上抢踢出边线！                   28'利物浦第28分钟浪费机会，施奈德林中场丢球，法比尼奥送出直传，萨拉赫单刀突入禁区右侧的射门被扑出，亨德森禁区边缘补射被封堵
38'范迪克上抢！迎着球大脚开出球                   38'埃弗顿首次射门出现在第38分钟，基恩传球，沃尔科特高速突入禁区右侧劲射打飞
38'中圈附近的争抢！盖伊得到球权！                   38'埃弗顿首次射门出现在第38分钟，基恩传球，沃尔科特高速突入禁区右侧劲射打飞
38'维纳尔杜姆上抢！把球碰出了边线                   38'埃弗顿首次射门出现在第38分钟，基恩传球，沃尔科特高速突入禁区右侧劲射打飞
39'皮克福德后场大脚开出去！球是出了边线                   38'埃弗顿首次射门出现在第38分钟，基恩传球，沃尔科特高速突入禁区右侧劲射打飞
39'界外球扔出来！基恩大脚找前场右侧沃尔科特                   38'埃弗顿首次射门出现在第38分钟，基恩传球，沃尔科特高速突入禁区右侧劲射打飞
39'中路跟进！直接一脚抽射！！                   38'埃弗顿首次射门出现在第38分钟，基恩传球，沃尔科特高速突入禁区右侧劲射打飞
40'打高了啊！！利物浦后场球                   38'埃弗顿首次射门出现在第38分钟，基恩传球，沃尔科特高速突入禁区右侧劲射打飞
40'阿里森球扔出来，给右侧阿诺德！                   38'埃弗顿首次射门出现在第38分钟，基恩传球，沃尔科特高速突入禁区右侧劲射打飞
40'大脚向前开，还是被解围出去边线                   38'埃弗顿首次射门出现在第38分钟，基恩传球，沃尔科特高速突入禁区右侧劲射打飞
40'马蒂普前场右侧得球，给亨德森脚下                   38'埃弗顿首次射门出现在第38分钟，基恩传球，沃尔科特高速突入禁区右侧劲射打飞
41'亨德森得到球啊！大脚开到前场右侧                   38'埃弗顿首次射门出现在第38分钟，基恩传球，沃尔科特高速突入禁区右侧劲射打飞
41'阿诺德前场得球了！传中球到禁区                   38'埃弗顿首次射门出现在第38分钟，基恩传球，沃尔科特高速突入禁区右侧劲射打飞
41'皮克福德把球没收！大脚开出去，被范迪克拦截下来                   38'埃弗顿首次射门出现在第38分钟，基恩传球，沃尔科特高速突入禁区右侧劲射打飞
57'马蒂普中圈得球，直塞球找到萨拉赫                   57'第57分钟，马蒂普长传，萨拉赫带球突进至小禁区右上角外，基恩抢先捅出皮球解围
57'面对门将了！挑射打偏了啊！                   57'第57分钟，马蒂普长传，萨拉赫带球突进至小禁区右上角外，基恩抢先捅出皮球解围
59'皮克福德大脚开出去！这个球开出了边线                   57'第57分钟，马蒂普长传，萨拉赫带球突进至小禁区右上角外，基恩抢先捅出皮球解围
