2'迪亚曼蒂为巴勒莫在对方半场,赢得一个任意球.                   1'第1分钟，欧联杯梅开二度的沙拉维接应哲科传球，左脚精彩凌空射门偏出远门柱
2'罗马球员纳因戈兰拼抢犯规,对手获得控球权.                   1'第1分钟，欧联杯梅开二度的沙拉维接应哲科传球，左脚精彩凌空射门偏出远门柱
4'巴勒莫球员Haitam Aleesami拼抢犯规,对手获得控球权.                   1'第1分钟，欧联杯梅开二度的沙拉维接应哲科传球，左脚精彩凌空射门偏出远门柱
4'埃莫森为罗马赢得一个任意球.                   1'第1分钟，欧联杯梅开二度的沙拉维接应哲科传球，左脚精彩凌空射门偏出远门柱
4'巴勒莫球员莫加内拉拼抢犯规,对手获得控球权.                   1'第1分钟，欧联杯梅开二度的沙拉维接应哲科传球，左脚精彩凌空射门偏出远门柱
4'纳因戈兰为罗马在左路,赢得一个任意球.                   1'第1分钟，欧联杯梅开二度的沙拉维接应哲科传球，左脚精彩凌空射门偏出远门柱
31'进球啦！！！罗马球员萨拉赫大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是哲科. 罗马 1-0 巴勒莫.                   31'红狼第31分钟取得领先，哲科停下中场过顶球塞禁区左侧，萨拉赫在门前8米处左脚抽射从帕萨维奇双腿间入近角，1比0
51'巴勒莫球员迪亚曼蒂拼抢犯规,对手获得控球权.                   51'罗马第51分钟扩大优势，帕雷德斯左侧边线附近主罚任意球斜传，球在门将帕萨维奇面前弹地，被其漏进门内，2比0
51'埃莫森为罗马在左路,赢得一个任意球.                   51'罗马第51分钟扩大优势，帕雷德斯左侧边线附近主罚任意球斜传，球在门将帕萨维奇面前弹地，被其漏进门内，2比0
51'进球啦！！！罗马球员Leandro Paredes右脚射门,球从右上角飞进球门,球进了! 罗马 2-0 巴勒莫.                   51'罗马第51分钟扩大优势，帕雷德斯左侧边线附近主罚任意球斜传，球在门将帕萨维奇面前弹地，被其漏进门内，2比0
53'弗洛伦齐将球处理出底线,巴勒莫获得角球.                   51'罗马第51分钟扩大优势，帕雷德斯左侧边线附近主罚任意球斜传，球在门将帕萨维奇面前弹地，被其漏进门内，2比0
54'巴勒莫球员Haitam Aleesami一脚直塞球给内斯托罗夫斯基,但是边裁举旗显示后者已经越位.                   51'罗马第51分钟扩大优势，帕雷德斯左侧边线附近主罚任意球斜传，球在门将帕萨维奇面前弹地，被其漏进门内，2比0
68'进球啦！！！罗马球员哲科大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是弗洛伦齐. 罗马 3-0 巴勒莫.                   68'罗马第68分钟再添一分，萨拉赫与弗洛伦齐快速传递，哲科在门前14米处转身推射入右下角，3比0，这是他本赛季意甲第8球，已追平上赛季意甲进球数
69'罗马换人,斯特罗特曼换下纳因戈兰                   68'罗马第68分钟再添一分，萨拉赫与弗洛伦齐快速传递，哲科在门前14米处转身推射入右下角，3比0，这是他本赛季意甲第8球，已追平上赛季意甲进球数
69'巴勒莫换人,夸森换下乔切夫                    68'罗马第68分钟再添一分，萨拉赫与弗洛伦齐快速传递，哲科在门前14米处转身推射入右下角，3比0，这是他本赛季意甲第8球，已追平上赛季意甲进球数
50'巴勒莫球员加齐拼抢犯规,对手获得控球权.                   47'但2分钟后，替补出场的托蒂中圈做球策动反击，萨拉赫中路长驱直入分球，沙拉维左侧距门9米处推射入网，4比1
50'哲科为罗马赢得一个任意球.                   47'但2分钟后，替补出场的托蒂中圈做球策动反击，萨拉赫中路长驱直入分球，沙拉维左侧距门9米处推射入网，4比1
