1'上半场比赛开始！！                   1'阿森纳第1分钟占据主动
1'上半场比赛由阿森纳开球                   1'阿森纳第1分钟占据主动
1'阿森纳传球到禁区                   1'阿森纳第1分钟占据主动
1'博尔扬出击将球得到                   1'阿森纳第1分钟占据主动
1'博尔扬开球的时候滑倒了                   1'阿森纳第1分钟占据主动
1'没有太多的影响                   1'阿森纳第1分钟占据主动
2'看下贝尔格莱德红星的首发                   1'阿森纳第1分钟占据主动
2'贝尔格莱德红星（4-2-3-1）：  门将：82号博尔扬；后卫：30号斯托伊科维奇、4号勒塔莱茨、90号萨维奇、77号戈贝里奇；后腰：20号唐纳德、7号科斯蒂契奇；中场：55号斯尔尼奇、8号坎加、49号拉多尼奇；前锋：14号博阿克耶                   1'阿森纳第1分钟占据主动
4'阿森纳中场拿球往前走                   1'阿森纳第1分钟占据主动
4'给到了左路                   1'阿森纳第1分钟占据主动
4'奈尔斯这边底线附近没有抗住对方                   1'阿森纳第1分钟占据主动
4'球出了底线                   1'阿森纳第1分钟占据主动
64'阿森纳这边机会来了                   64'阿森纳第64分钟险些破门，威尔希尔积极逼抢，奈尔斯禁区左侧传球，威尔谢尔小禁区前晃开门将射门被勒-塔莱在空门前挡出
65'禁区内的打门被后卫在门线上解围了                   64'阿森纳第64分钟险些破门，威尔希尔积极逼抢，奈尔斯禁区左侧传球，威尔谢尔小禁区前晃开门将射门被勒-塔莱在空门前挡出
65'威尔希尔小禁区挑射                   64'阿森纳第64分钟险些破门，威尔希尔积极逼抢，奈尔斯禁区左侧传球，威尔谢尔小禁区前晃开门将射门被勒-塔莱在空门前挡出
65'勒塔莱茨门线上解围了                   64'阿森纳第64分钟险些破门，威尔希尔积极逼抢，奈尔斯禁区左侧传球，威尔谢尔小禁区前晃开门将射门被勒-塔莱在空门前挡出
66'阿森纳这边前场带球被侵犯                   64'阿森纳第64分钟险些破门，威尔希尔积极逼抢，奈尔斯禁区左侧传球，威尔谢尔小禁区前晃开门将射门被勒-塔莱在空门前挡出
66'威尔希尔这段时间很活跃                   64'阿森纳第64分钟险些破门，威尔希尔积极逼抢，奈尔斯禁区左侧传球，威尔谢尔小禁区前晃开门将射门被勒-塔莱在空门前挡出
67'霍尔丁后场防守犯规                   64'阿森纳第64分钟险些破门，威尔希尔积极逼抢，奈尔斯禁区左侧传球，威尔谢尔小禁区前晃开门将射门被勒-塔莱在空门前挡出
67'阿森纳这边换人了                   64'阿森纳第64分钟险些破门，威尔希尔积极逼抢，奈尔斯禁区左侧传球，威尔谢尔小禁区前晃开门将射门被勒-塔莱在空门前挡出
