2'国安把球反断回来                   1'第1分钟斯威迅速展开快节奏冲击
2'奥古斯丁的传球又是失误                   1'第1分钟斯威迅速展开快节奏冲击
2'反抢国安还犯规了                   1'第1分钟斯威迅速展开快节奏冲击
3'费尔南多带球突破，往禁区传                   1'第1分钟斯威迅速展开快节奏冲击
3'禁区里卡尔德克头球一碰，球出界了                   1'第1分钟斯威迅速展开快节奏冲击
4'国安开始进攻了                   1'第1分钟斯威迅速展开快节奏冲击
4'前场的传导球还是失误呀                   1'第1分钟斯威迅速展开快节奏冲击
4'国安今天一开场直接3个失误                   1'第1分钟斯威迅速展开快节奏冲击
4'很被动                   1'第1分钟斯威迅速展开快节奏冲击
5'中场附近争抢球                   5'第5分钟，奥古斯托将球传入斯威禁区，巴坎布与防守球员抢位时磕碰倒地，裁判示意比赛继续
6'国安将球控制下来                   5'第5分钟，奥古斯托将球传入斯威禁区，巴坎布与防守球员抢位时磕碰倒地，裁判示意比赛继续
6'奥古斯丁往禁区里传                   5'第5分钟，奥古斯托将球传入斯威禁区，巴坎布与防守球员抢位时磕碰倒地，裁判示意比赛继续
6'球被门将抱住                   5'第5分钟，奥古斯托将球传入斯威禁区，巴坎布与防守球员抢位时磕碰倒地，裁判示意比赛继续
6'大脚将球开出来                   5'第5分钟，奥古斯托将球传入斯威禁区，巴坎布与防守球员抢位时磕碰倒地，裁判示意比赛继续
6'斯威的进攻                   5'第5分钟，奥古斯托将球传入斯威禁区，巴坎布与防守球员抢位时磕碰倒地，裁判示意比赛继续
7'费尔南多带球突破                   5'第5分钟，奥古斯托将球传入斯威禁区，巴坎布与防守球员抢位时磕碰倒地，裁判示意比赛继续
7'进球了！！！！                   5'第5分钟，奥古斯托将球传入斯威禁区，巴坎布与防守球员抢位时磕碰倒地，裁判示意比赛继续
7'斯威率先打开了局面                   5'第5分钟，奥古斯托将球传入斯威禁区，巴坎布与防守球员抢位时磕碰倒地，裁判示意比赛继续
8'费尔南多带球突破，往禁区里传球，费尔南迪尼奥插上来一脚打门将球打进                   5'第5分钟，奥古斯托将球传入斯威禁区，巴坎布与防守球员抢位时磕碰倒地，裁判示意比赛继续
8'很强                   5'第5分钟，奥古斯托将球传入斯威禁区，巴坎布与防守球员抢位时磕碰倒地，裁判示意比赛继续
8'费尔南多带球突破，往禁区里传球，费尔南迪尼奥插上来一脚打门将球打进                   8'第8分钟，斯威将比分扩大：斯威前场展开快速逼抢，国安中卫张瑀向前传球时失误，彭欣力断球后直插禁区左侧，面对门将斜射破门，斯威2-0领先
8'很强                   8'第8分钟，斯威将比分扩大：斯威前场展开快速逼抢，国安中卫张瑀向前传球时失误，彭欣力断球后直插禁区左侧，面对门将斜射破门，斯威2-0领先
9'OK，继续看比赛把                   8'第8分钟，斯威将比分扩大：斯威前场展开快速逼抢，国安中卫张瑀向前传球时失误，彭欣力断球后直插禁区左侧，面对门将斜射破门，斯威2-0领先
9'斯威的进攻                   8'第8分钟，斯威将比分扩大：斯威前场展开快速逼抢，国安中卫张瑀向前传球时失误，彭欣力断球后直插禁区左侧，面对门将斜射破门，斯威2-0领先
9'啊，又进球了！！！！！！！！                   8'第8分钟，斯威将比分扩大：斯威前场展开快速逼抢，国安中卫张瑀向前传球时失误，彭欣力断球后直插禁区左侧，面对门将斜射破门，斯威2-0领先
