21'亚特兰大球员博纳文图拉大禁区中央尝试头球,可惜皮球高出球门.给他传球的是莫拉雷斯.                   20'第20分钟，米利亚乔回传失误，梅尔滕斯突入禁区斜射偏出
21'Duván Zapata为那不勒斯在对方半场,赢得一个任意球.                   20'第20分钟，米利亚乔回传失误，梅尔滕斯突入禁区斜射偏出
21'亚特兰大球员耶佩斯拼抢犯规,对手获得控球权.                   20'第20分钟，米利亚乔回传失误，梅尔滕斯突入禁区斜射偏出
47'进球啦！！！亚特兰大球员丹尼斯大禁区外右脚射门,球从中路飞进球门,球进了!助攻的是莫拉雷斯. 亚特兰大 1-0 那不勒斯.                   47'下半时开始2分钟，泽马伊利传球失误，莫拉莱斯得球传出，丹尼斯在门前25米处低射，雷纳倒地扑球脱手漏进门内，1比0
48'那不勒斯球员因勒拼抢犯规,对手获得控球权.                   47'下半时开始2分钟，泽马伊利传球失误，莫拉莱斯得球传出，丹尼斯在门前25米处低射，雷纳倒地扑球脱手漏进门内，1比0
48'莫拉雷斯为亚特兰大赢得一个任意球.                   47'下半时开始2分钟，泽马伊利传球失误，莫拉莱斯得球传出，丹尼斯在门前25米处低射，雷纳倒地扑球脱手漏进门内，1比0
49'Duván Zapata为那不勒斯在对方半场,赢得一个任意球.                   47'下半时开始2分钟，泽马伊利传球失误，莫拉莱斯得球传出，丹尼斯在门前25米处低射，雷纳倒地扑球脱手漏进门内，1比0
49'亚特兰大球员斯滕达尔多拼抢犯规,对手获得控球权.                   47'下半时开始2分钟，泽马伊利传球失误，莫拉莱斯得球传出，丹尼斯在门前25米处低射，雷纳倒地扑球脱手漏进门内，1比0
49'那不勒斯球员泽马伊利拼抢犯规,对手获得控球权.                   47'下半时开始2分钟，泽马伊利传球失误，莫拉莱斯得球传出，丹尼斯在门前25米处低射，雷纳倒地扑球脱手漏进门内，1比0
49'巴塞利为亚特兰大赢得一个任意球.                   47'下半时开始2分钟，泽马伊利传球失误，莫拉莱斯得球传出，丹尼斯在门前25米处低射，雷纳倒地扑球脱手漏进门内，1比0
59'那不勒斯球员梅尔滕斯大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是潘德夫.                   59'第59分钟，潘德夫右路传中，梅尔滕斯推射偏出左门柱
61'亚特兰大球员丹尼斯一脚直塞球给莫拉雷斯,但是边裁举旗显示后者已经越位.                   59'第59分钟，潘德夫右路传中，梅尔滕斯推射偏出左门柱
62'拉伊蒙迪为亚特兰大在右路,赢得一个任意球.                   59'第59分钟，潘德夫右路传中，梅尔滕斯推射偏出左门柱
62'那不勒斯球员雷维耶拼抢犯规,对手获得控球权.                   59'第59分钟，潘德夫右路传中，梅尔滕斯推射偏出左门柱
47'进球啦！！！亚特兰大球员丹尼斯大禁区外右脚射门,球从中路飞进球门,球进了!助攻的是莫拉雷斯. 亚特兰大 1-0 那不勒斯.                   46'1分钟后，莫拉莱斯禁区左侧下底挑传，丹尼斯射门被阿尔比奥尔挡出，但因勒鬼使神差地选择倒钩解围，又将球送入禁区，丹尼斯停球凌空抽射入网，2比0
