23'进球啦！！！塞维利亚球员加梅罗大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是特雷莫里纳斯. 塞维利亚 1-0 巴列卡诺.                   23'第23分钟，特雷莫利纳斯左路传中，加梅罗小禁区前单刀推射破门
24'特拉索亚斯为巴列卡诺赢得一个任意球.                   23'第23分钟，特雷莫利纳斯左路传中，加梅罗小禁区前单刀推射破门
24'塞维利亚球员伊沃拉拼抢犯规,对手获得控球权.                   23'第23分钟，特雷莫利纳斯左路传中，加梅罗小禁区前单刀推射破门
24'恩巴巴为巴列卡诺在右路,赢得一个任意球.                   23'第23分钟，特雷莫利纳斯左路传中，加梅罗小禁区前单刀推射破门
24'塞维利亚球员克雷霍维亚克拼抢犯规,对手获得控球权.                   23'第23分钟，特雷莫利纳斯左路传中，加梅罗小禁区前单刀推射破门
25'巴列卡诺球员哈维-格拉球门右侧小角度尝试右脚射门,可惜皮球高出球门.给他传球的是特拉索亚斯.                   23'第23分钟，特雷莫利纳斯左路传中，加梅罗小禁区前单刀推射破门
25'巴列卡诺球员恩巴巴手球犯规,对手获得球权.                   23'第23分钟，特雷莫利纳斯左路传中，加梅罗小禁区前单刀推射破门
26'射门!!!巴列卡诺球员特拉索亚斯大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是哈维-格拉.                   23'第23分钟，特雷莫利纳斯左路传中，加梅罗小禁区前单刀推射破门
26'里科将球处理出底线,巴列卡诺获得角球.                   23'第23分钟，特雷莫利纳斯左路传中，加梅罗小禁区前单刀推射破门
26'巴列卡诺球员特拉索亚斯拼抢犯规,对手获得控球权.                   23'第23分钟，特雷莫利纳斯左路传中，加梅罗小禁区前单刀推射破门
26'雷耶斯为塞维利亚赢得一个任意球.                   23'第23分钟，特雷莫利纳斯左路传中，加梅罗小禁区前单刀推射破门
47'塞维利亚球员科洛杰伊恰克拼抢犯规,对手获得控球权.                   47'巴列卡诺下半场连入2球扳平，第51分钟，本菲卡租借而来的前曼联前锋毕比35码处任意球直接破门
47'哈维-格拉为巴列卡诺在右路,赢得一个任意球.                   47'巴列卡诺下半场连入2球扳平，第51分钟，本菲卡租借而来的前曼联前锋毕比35码处任意球直接破门
49'略伦特将球处理出底线,塞维利亚获得角球.                   47'巴列卡诺下半场连入2球扳平，第51分钟，本菲卡租借而来的前曼联前锋毕比35码处任意球直接破门
50'塞维利亚球员科隆-德里拼抢犯规,对手获得控球权.                   47'巴列卡诺下半场连入2球扳平，第51分钟，本菲卡租借而来的前曼联前锋毕比35码处任意球直接破门
50'哈维-格拉为巴列卡诺赢得一个任意球.                   47'巴列卡诺下半场连入2球扳平，第51分钟，本菲卡租借而来的前曼联前锋毕比35码处任意球直接破门
50'塞维利亚球员恩佐济拼抢犯规,对手获得控球权.                   47'巴列卡诺下半场连入2球扳平，第51分钟，本菲卡租借而来的前曼联前锋毕比35码处任意球直接破门
50'哈维-格拉为巴列卡诺在对方半场,赢得一个任意球.                   47'巴列卡诺下半场连入2球扳平，第51分钟，本菲卡租借而来的前曼联前锋毕比35码处任意球直接破门
86'巴列卡诺换人,切库-多拉多换下特拉索亚斯                   86'塞维利亚第86分钟绝杀，科诺普扬卡左路25码处任意球直接射入近角
86'进球啦！！！塞维利亚球员科诺普扬卡右脚射门,球从左下角飞进球门,球进了! 塞维利亚 3-2 巴列卡诺.                   86'塞维利亚第86分钟绝杀，科诺普扬卡左路25码处任意球直接射入近角
87'巴列卡诺球员特拉索亚斯被主裁判出示了一张黄牌.                   86'塞维利亚第86分钟绝杀，科诺普扬卡左路25码处任意球直接射入近角
87'切库-多拉多将球处理出底线,塞维利亚获得角球.                   86'塞维利亚第86分钟绝杀，科诺普扬卡左路25码处任意球直接射入近角
88'略伦特将球处理出底线,塞维利亚获得角球.                   86'塞维利亚第86分钟绝杀，科诺普扬卡左路25码处任意球直接射入近角
