4'拜仁获得左路的角球机会                   4'拜仁第4分钟取得领先
4'基米希过米主罚                   4'拜仁第4分钟取得领先
4'发前点被范德贝克顶出                   4'拜仁第4分钟取得领先
4'里贝里控球，对方犯规                   4'拜仁第4分钟取得领先
4'穆勒先开纪录！                   4'拜仁第4分钟取得领先
5'球转移到右路                   4'拜仁第4分钟取得领先
5'罗本得球斜传禁区，后插上的胡梅尔斯甩头攻门球进！                   4'拜仁第4分钟取得领先
5'更正一下，进球的是胡梅尔斯！                   4'拜仁第4分钟取得领先
5'拜仁是极速取得进球                   4'拜仁第4分钟取得领先
6'阿贾克斯前场得球                   4'拜仁第4分钟取得领先
6'回传给奥纳那                   4'拜仁第4分钟取得领先
6'长传上来，给大了一点                   4'拜仁第4分钟取得领先
6'胡梅尔斯回传给诺伊尔                   4'拜仁第4分钟取得领先
6'长传上来，德里赫特顶一下                   4'拜仁第4分钟取得领先
6'奥纳那控球交给德里赫特                   4'拜仁第4分钟取得领先
7'交给中场的布林德                   4'拜仁第4分钟取得领先
7'直传受阻                   4'拜仁第4分钟取得领先
7'里贝里左路来了，直传，阿拉巴传中被内雷斯伸脚挡出底线                   4'拜仁第4分钟取得领先
7'拜仁再次获得左侧的角球                   4'拜仁第4分钟取得领先
7'基米希发到后点，这里没有队友跟进                   4'拜仁第4分钟取得领先
7'阿贾克斯的门球                   4'拜仁第4分钟取得领先
22'回传中路的布林德                   22'阿贾克斯第22分钟追平比分
22'交给德里赫特                   22'阿贾克斯第22分钟追平比分
22'塔迪奇接应分左侧的塔利亚菲科                   22'阿贾克斯第22分钟追平比分
22'短传不好                   22'阿贾克斯第22分钟追平比分
22'韦伯上来补一脚，罗本将球破坏出边线                   22'阿贾克斯第22分钟追平比分
22'奥纳那控球                   22'阿贾克斯第22分钟追平比分
22'长传上来，被阿拉巴顶一下                   22'阿贾克斯第22分钟追平比分
22'第二点还是阿贾克斯的，马扎罗伊                   22'阿贾克斯第22分钟追平比分
23'马扎罗伊与队友做踢墙配合到禁区内，马扎罗伊左脚劲射，球进了！                   22'阿贾克斯第22分钟追平比分
24'再看过程，马扎罗伊右侧得球横传，塔迪奇接应直传，马扎罗伊切入得球面对诺伊尔左脚抽射球打进球门左下角！                   22'阿贾克斯第22分钟追平比分
24'阿贾克斯打得相当漂亮                   22'阿贾克斯第22分钟追平比分
24'进攻很有想法                   22'阿贾克斯第22分钟追平比分
24'塔利亚菲科左侧得球回传给德里赫特                   22'阿贾克斯第22分钟追平比分
24'交给齐耶赫，转移球被基米希断下                   22'阿贾克斯第22分钟追平比分
24'交给胡梅尔斯，长传，没有找到队友                   22'阿贾克斯第22分钟追平比分
24'奥纳那控球                   22'阿贾克斯第22分钟追平比分
72'齐耶赫带球进了禁区，胡梅尔斯伸脚将球踢向自家大门                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
72'还好力量不大，诺伊尔用脚解围                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
72'塔迪奇左侧一挑，齐耶赫头球后蹭，范德贝克跟进势射，居然打高了                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
72'这球眼看就要进了                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
72'拜仁是逃过一劫                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
73'阿贾克斯虽然被动还是暗藏杀机                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
73'塔迪奇左侧拿球传中，直接旋出底线                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
73'阿拉巴左路拿球                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
73'回传给胡梅尔斯                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
73'交给博阿滕                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
74'斜长传找到了里贝里                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
74'范德贝克的断球解围出来                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
74'拜仁换人，22号格纳布里换下了7号里贝里                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
75'阿贾克斯也换人，30号德维特换下了6号范德贝克                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
75'博阿滕控球                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
75'交给基米希                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
75'回传给诺伊尔                   72'拜仁第72分钟逃过一劫，布林德禁区左侧头球摆渡，范德比克在门前9米处凌空垫射偏出左门柱
77'格纳布里的带球交给J罗，再交给格纳布里                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
77'横传门前                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
77'J罗推射力量稍欠                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
77'奥纳那倒地将球扑出                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
77'阿拉巴发角球，奥纳那打得兴奋，飞身将球击出                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
78'镜头对准了J罗                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
78'刚才背后扫倒了塔利亚菲科                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
78'J罗也吃到黄牌                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
79'塔利亚菲科的传中，诺顿将球抱住                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
79'格纳布里左路的突进，马扎罗伊将身位卡住                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
79'还是格纳布里                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
79'交给J罗                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
79'回传后场，博阿滕分边                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
79'基米希的传中打在了塔利亚菲科身上                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
79'蒂亚戈控球交给阿拉巴                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
79'格纳布里接应，倒出来                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
80'博阿滕压了上来，传中被马扎罗伊顶一下                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
80'阿贾克斯反击                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
80'塔迪奇得球转右侧空档                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
80'越位了                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
80'塔迪奇接球时越位                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
80'胡梅尔斯得球交给博阿滕                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
80'交给蒂亚戈                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
80'分左侧的阿拉巴                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
80'交给蒂亚戈，转移给博阿滕                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
80'分右侧的基米希                   77'拜仁第77分钟也错过绝佳机会，格纳布里突入禁区右侧横扫中路，J罗在门前7米处左脚铲射偏出远门柱
