5'南安普敦球员拉拉纳大禁区中央右脚射门,被防守球员封堵.给他传球的是克莱恩.                   5'第5分钟，拉米雷斯直传，反越位成功的施内德林11码处单刀推射破门
5'进球啦！！！南安普敦球员斯内德林大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是拉米雷斯. 南安普敦 1-0 诺维奇.                   5'第5分钟，拉米雷斯直传，反越位成功的施内德林11码处单刀推射破门
7'诺维奇球员斯诺德格拉斯拼抢犯规,对手获得控球权.                   5'第5分钟，拉米雷斯直传，反越位成功的施内德林11码处单刀推射破门
7'肖为南安普敦在左路,赢得一个任意球.                   5'第5分钟，拉米雷斯直传，反越位成功的施内德林11码处单刀推射破门
72'诺维奇球员特泰拼抢犯规,对手获得控球权.                   72'第72分钟，兰伯特传球，久利小禁区前射门被鲁迪挡出，兰伯特再传，杰伊-罗德里格斯小禁区前劲射破门，这是他本赛季第14粒入球，其中联赛12球
72'沃特-普洛斯为南安普敦赢得一个任意球.                   72'第72分钟，兰伯特传球，久利小禁区前射门被鲁迪挡出，兰伯特再传，杰伊-罗德里格斯小禁区前劲射破门，这是他本赛季第14粒入球，其中联赛12球
72'射门!!!南安普敦球员久利大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是兰伯特.                   72'第72分钟，兰伯特传球，久利小禁区前射门被鲁迪挡出，兰伯特再传，杰伊-罗德里格斯小禁区前劲射破门，这是他本赛季第14粒入球，其中联赛12球
72'进球啦！！！南安普敦球员J-罗德里格斯大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是兰伯特. 南安普敦 3-0 诺维奇.                   72'第72分钟，兰伯特传球，久利小禁区前射门被鲁迪挡出，兰伯特再传，杰伊-罗德里格斯小禁区前劲射破门，这是他本赛季第14粒入球，其中联赛12球
74'诺维奇球员惠塔克大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是Jonny Howson.                   72'第72分钟，兰伯特传球，久利小禁区前射门被鲁迪挡出，兰伯特再传，杰伊-罗德里格斯小禁区前劲射破门，这是他本赛季第14粒入球，其中联赛12球
75'南安普敦球员兰伯特一脚直塞球给S-戴维斯,但是边裁举旗显示后者已经越位.                   72'第72分钟，兰伯特传球，久利小禁区前射门被鲁迪挡出，兰伯特再传，杰伊-罗德里格斯小禁区前劲射破门，这是他本赛季第14粒入球，其中联赛12球
46'马丁-奥尔森为诺维奇赢得一个任意球.                   46'1分钟后，埃尔曼德传球，替补出场的范-沃尔夫斯维克尔禁区边缘射门被博鲁奇勉强扑出，斯诺德格拉斯禁区右侧补射入网
46'南安普敦球员J-罗德里格斯拼抢犯规,对手获得控球权.                   46'1分钟后，埃尔曼德传球，替补出场的范-沃尔夫斯维克尔禁区边缘射门被博鲁奇勉强扑出，斯诺德格拉斯禁区右侧补射入网
49'胡珀为诺维奇赢得一个任意球.                   46'1分钟后，埃尔曼德传球，替补出场的范-沃尔夫斯维克尔禁区边缘射门被博鲁奇勉强扑出，斯诺德格拉斯禁区右侧补射入网
49'南安普敦球员何塞-冯特拼抢犯规,对手获得控球权.                   46'1分钟后，埃尔曼德传球，替补出场的范-沃尔夫斯维克尔禁区边缘射门被博鲁奇勉强扑出，斯诺德格拉斯禁区右侧补射入网
