1'亚特兰大球员迪亚曼蒂拼抢犯规,对手获得控球权.                   1'赛前为老马尔蒂尼默哀鼓掌1分钟，AC米兰队员们臂缠黑纱
1'德希利奥为AC米兰赢得一个任意球.                   1'赛前为老马尔蒂尼默哀鼓掌1分钟，AC米兰队员们臂缠黑纱
2'AC米兰球员阿巴特拼抢犯规,对手获得控球权.                   1'赛前为老马尔蒂尼默哀鼓掌1分钟，AC米兰队员们臂缠黑纱
2'A-戈麦斯为亚特兰大在左路,赢得一个任意球.                   1'赛前为老马尔蒂尼默哀鼓掌1分钟，AC米兰队员们臂缠黑纱
3'帕莱塔将球处理出底线,AC米兰获得角球.                   1'赛前为老马尔蒂尼默哀鼓掌1分钟，AC米兰队员们臂缠黑纱
3'AC米兰球员罗马尼奥利大禁区中央头球,被防守球员封堵.给他传球的是博纳文图拉.                   1'赛前为老马尔蒂尼默哀鼓掌1分钟，AC米兰队员们臂缠黑纱
3'Marten de Roon将球处理出底线,AC米兰获得角球.                   1'赛前为老马尔蒂尼默哀鼓掌1分钟，AC米兰队员们臂缠黑纱
4'亚特兰大球员斯滕达尔多手球,致使对方获得点球.                   1'赛前为老马尔蒂尼默哀鼓掌1分钟，AC米兰队员们臂缠黑纱
44'亚特兰大球员A-戈麦斯大禁区中央左脚射门,被防守球员封堵.                   44'亚特兰大第44分钟追平，戈麦斯左脚凌空抽射被安东内利挡出横梁，左侧角球被巴卡顶出后，马谢洛禁区边缘头球摆渡，皮尼利亚左侧距门10米处倒钩入左上角，1比1
44'安东内利将球处理出底线,亚特兰大获得角球.                   44'亚特兰大第44分钟追平，戈麦斯左脚凌空抽射被安东内利挡出横梁，左侧角球被巴卡顶出后，马谢洛禁区边缘头球摆渡，皮尼利亚左侧距门10米处倒钩入左上角，1比1
44'进球啦！！！亚特兰大球员皮尼利亚大禁区中央右脚射门,球从左上角飞进球门,球进了!助攻的是A-马谢洛. 亚特兰大 1-1 AC米兰.                   44'亚特兰大第44分钟追平，戈麦斯左脚凌空抽射被安东内利挡出横梁，左侧角球被巴卡顶出后，马谢洛禁区边缘头球摆渡，皮尼利亚左侧距门10米处倒钩入左上角，1比1
45'+1'AC米兰球员贝尔托拉奇拼抢犯规,对手获得控球权.                   44'亚特兰大第44分钟追平，戈麦斯左脚凌空抽射被安东内利挡出横梁，左侧角球被巴卡顶出后，马谢洛禁区边缘头球摆渡，皮尼利亚左侧距门10米处倒钩入左上角，1比1
45'+1'迪亚曼蒂为亚特兰大赢得一个任意球.                   44'亚特兰大第44分钟追平，戈麦斯左脚凌空抽射被安东内利挡出横梁，左侧角球被巴卡顶出后，马谢洛禁区边缘头球摆渡，皮尼利亚左侧距门10米处倒钩入左上角，1比1
45'+2'黄牌！AC米兰球员贝尔托拉奇因为恶意犯规,被主裁判出示黄牌.                   44'亚特兰大第44分钟追平，戈麦斯左脚凌空抽射被安东内利挡出横梁，左侧角球被巴卡顶出后，马谢洛禁区边缘头球摆渡，皮尼利亚左侧距门10米处倒钩入左上角，1比1
45'+3'上半场结束,亚特兰大 1-1 AC米兰,稍事休息,我们一会来看看下半场两队的表现.                   44'亚特兰大第44分钟追平，戈麦斯左脚凌空抽射被安东内利挡出横梁，左侧角球被巴卡顶出后，马谢洛禁区边缘头球摆渡，皮尼利亚左侧距门10米处倒钩入左上角，1比1
47'AC米兰球员萨帕塔拼抢犯规,对手获得控球权.                   44'亚特兰大第44分钟追平，戈麦斯左脚凌空抽射被安东内利挡出横梁，左侧角球被巴卡顶出后，马谢洛禁区边缘头球摆渡，皮尼利亚左侧距门10米处倒钩入左上角，1比1
47'皮尼利亚为亚特兰大赢得一个任意球.                   44'亚特兰大第44分钟追平，戈麦斯左脚凌空抽射被安东内利挡出横梁，左侧角球被巴卡顶出后，马谢洛禁区边缘头球摆渡，皮尼利亚左侧距门10米处倒钩入左上角，1比1
67'AC米兰换人,梅内斯换下德希利奥                   66'亚特兰大第66分钟反超比分
67'射门!!!AC米兰球员梅内斯大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是巴洛特利.                   66'亚特兰大第66分钟反超比分
68'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   66'亚特兰大第66分钟反超比分
68'迪亚曼蒂为亚特兰大赢得一个任意球.                   66'亚特兰大第66分钟反超比分
69'贝尔托拉奇为AC米兰赢得一个任意球.                   66'亚特兰大第66分钟反超比分
69'亚特兰大球员皮尼利亚拼抢犯规,对手获得控球权.                   66'亚特兰大第66分钟反超比分
69'亚特兰大球员迪亚曼蒂一脚直塞球给德拉梅,但是边裁举旗显示后者已经越位.                   66'亚特兰大第66分钟反超比分
