5'拦截成功后造成了阿图尔的犯规                   5'开场仅5分钟，阿达伊开出角球，埃斯皮诺萨头球攻门被特尔施特根没收
5'赫罗纳任意球快发赢得角球                   5'开场仅5分钟，阿达伊开出角球，埃斯皮诺萨头球攻门被特尔施特根没收
5'角球送后点                   5'开场仅5分钟，阿达伊开出角球，埃斯皮诺萨头球攻门被特尔施特根没收
5'祖尼加后点冲顶                   5'开场仅5分钟，阿达伊开出角球，埃斯皮诺萨头球攻门被特尔施特根没收
6'顶得太正被特尔施特根收入怀中                   5'开场仅5分钟，阿达伊开出角球，埃斯皮诺萨头球攻门被特尔施特根没收
7'巴萨禁区前沿做配合                   5'开场仅5分钟，阿达伊开出角球，埃斯皮诺萨头球攻门被特尔施特根没收
7'登贝莱的横敲被破坏出底线                   5'开场仅5分钟，阿达伊开出角球，埃斯皮诺萨头球攻门被特尔施特根没收
7'巴萨角球开出                   5'开场仅5分钟，阿达伊开出角球，埃斯皮诺萨头球攻门被特尔施特根没收
7'威胁并不大                   5'开场仅5分钟，阿达伊开出角球，埃斯皮诺萨头球攻门被特尔施特根没收
19'巴萨挑传没有送过去                   19'巴萨第19分钟取得领先，比达尔禁区右侧横传，梅西14码处推射左下角入网
19'比达尔右路拿球到了禁区                   19'巴萨第19分钟取得领先，比达尔禁区右侧横传，梅西14码处推射左下角入网
19'1-0！！！！                   19'巴萨第19分钟取得领先，比达尔禁区右侧横传，梅西14码处推射左下角入网
19'梅西！！！                   19'巴萨第19分钟取得领先，比达尔禁区右侧横传，梅西14码处推射左下角入网
20'比达尔右路禁区内拿球，横敲到中路，梅西无人看防推射得分！！                   19'巴萨第19分钟取得领先，比达尔禁区右侧横传，梅西14码处推射左下角入网
20'打得非常的简单                   19'巴萨第19分钟取得领先，比达尔禁区右侧横传，梅西14码处推射左下角入网
20'后卫的看防出现了失误                   19'巴萨第19分钟取得领先，比达尔禁区右侧横传，梅西14码处推射左下角入网
20'两个中后卫的位置缝隙太大                   19'巴萨第19分钟取得领先，比达尔禁区右侧横传，梅西14码处推射左下角入网
21'巴萨左路拿球到了禁区                   19'巴萨第19分钟取得领先，比达尔禁区右侧横传，梅西14码处推射左下角入网
22'巴萨左路拿球到了禁区内                   19'巴萨第19分钟取得领先，比达尔禁区右侧横传，梅西14码处推射左下角入网
22'小角度劲射被博诺扑出                   19'巴萨第19分钟取得领先，比达尔禁区右侧横传，梅西14码处推射左下角入网
29'波图禁区内有机会啊                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
29'晃开门将后小角度推射近角                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
29'门线上被后卫解围出底线                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
29'赫罗纳角球的机会                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
29'角球送前点                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
