2'我们看到老朋友罗宾逊拿球                   2'开场仅2分钟，费尔南迪尼奥头球摆渡，亚亚-图雷禁区右侧的射门偏出近角
2'长传球上前场                   2'开场仅2分钟，费尔南迪尼奥头球摆渡，亚亚-图雷禁区右侧的射门偏出近角
2'曼城断球分左路找到诺利托                   2'开场仅2分钟，费尔南迪尼奥头球摆渡，亚亚-图雷禁区右侧的射门偏出近角
2'诺利托传中，亚亚图雷后点小角度打门打嗤了                   2'开场仅2分钟，费尔南迪尼奥头球摆渡，亚亚-图雷禁区右侧的射门偏出近角
3'罗宾逊发门球，科拉罗夫头球顶出边线                   2'开场仅2分钟，费尔南迪尼奥头球摆渡，亚亚-图雷禁区右侧的射门偏出近角
3'洛顿掷界外球                   2'开场仅2分钟，费尔南迪尼奥头球摆渡，亚亚-图雷禁区右侧的射门偏出近角
3'克里希左路直传，给大了                   2'开场仅2分钟，费尔南迪尼奥头球摆渡，亚亚-图雷禁区右侧的射门偏出近角
4'萨尼亚回传给布拉沃，分给奥塔门迪                   2'开场仅2分钟，费尔南迪尼奥头球摆渡，亚亚-图雷禁区右侧的射门偏出近角
4'长传上来，被基恩顶一下                   2'开场仅2分钟，费尔南迪尼奥头球摆渡，亚亚-图雷禁区右侧的射门偏出近角
4'洛顿的长传，布拉沃将球控制                   2'开场仅2分钟，费尔南迪尼奥头球摆渡，亚亚-图雷禁区右侧的射门偏出近角
5'科拉罗夫今天打到了曼城的左中后卫                   2'开场仅2分钟，费尔南迪尼奥头球摆渡，亚亚-图雷禁区右侧的射门偏出近角
5'奥塔门迪回传给布拉沃                   2'开场仅2分钟，费尔南迪尼奥头球摆渡，亚亚-图雷禁区右侧的射门偏出近角
5'给到了科拉罗夫                   2'开场仅2分钟，费尔南迪尼奥头球摆渡，亚亚-图雷禁区右侧的射门偏出近角
14'诺利托中场争顶时犯规                   14'伯恩利第14分钟取得领先，罗宾逊后场任意球大脚开球，奥塔门迪勉强头球解围，马尔尼25码处第一时间半凌空抽射，皮球穿过人丛入左下角
14'罗宾逊走到中圈附近准备发任意球                   14'伯恩利第14分钟取得领先，罗宾逊后场任意球大脚开球，奥塔门迪勉强头球解围，马尔尼25码处第一时间半凌空抽射，皮球穿过人丛入左下角
14'长传打到弧顶入                   14'伯恩利第14分钟取得领先，罗宾逊后场任意球大脚开球，奥塔门迪勉强头球解围，马尔尼25码处第一时间半凌空抽射，皮球穿过人丛入左下角
15'奥塔门迪顶得不远，马尔尼弧顶处凌空远射，球直接钻入对方大网！                   14'伯恩利第14分钟取得领先，罗宾逊后场任意球大脚开球，奥塔门迪勉强头球解围，马尔尼25码处第一时间半凌空抽射，皮球穿过人丛入左下角
15'直接打进了球门左下角，相当漂亮                   14'伯恩利第14分钟取得领先，罗宾逊后场任意球大脚开球，奥塔门迪勉强头球解围，马尔尼25码处第一时间半凌空抽射，皮球穿过人丛入左下角
15'上半场不到15分钟，主场龙伯恩利1：0领先                   14'伯恩利第14分钟取得领先，罗宾逊后场任意球大脚开球，奥塔门迪勉强头球解围，马尔尼25码处第一时间半凌空抽射，皮球穿过人丛入左下角
17'科拉罗夫斜长传右路被沃德顶一下                   14'伯恩利第14分钟取得领先，罗宾逊后场任意球大脚开球，奥塔门迪勉强头球解围，马尔尼25码处第一时间半凌空抽射，皮球穿过人丛入左下角
