1'上半场比赛开始！！                   1'比赛第1分钟双方互有攻防，但都没有太好的机会
1'富力开球，叶楚贵将球踢回后场！！                   1'比赛第1分钟双方互有攻防，但都没有太好的机会
1'富力右路的进攻，唐淼拿球                   1'比赛第1分钟双方互有攻防，但都没有太好的机会
1'面对逼抢，没机会，回传后场给到弋腾                   1'比赛第1分钟双方互有攻防，但都没有太好的机会
2'富力中场的过顶球到左前场找张晨龙                   1'比赛第1分钟双方互有攻防，但都没有太好的机会
2'赵宇豪回防，抢先头球解围出边线！！                   1'比赛第1分钟双方互有攻防，但都没有太好的机会
3'雷纳蒂尼奥中圈拿球，过顶找扎哈维                   1'比赛第1分钟双方互有攻防，但都没有太好的机会
3'任航身后上来，头球解围！！                   1'比赛第1分钟双方互有攻防，但都没有太好的机会
3'扎哈维还差点踢在了任航的头上啊！                   1'比赛第1分钟双方互有攻防，但都没有太好的机会
4'张利峰右路拿球强突，被弋腾放铲破坏出边线！                   1'比赛第1分钟双方互有攻防，但都没有太好的机会
7'赵宇豪右路拿球，分球给尹鸿博                   7'第7分钟，富力进攻，雷纳蒂尼奥前场中路拿球分球找扎哈维，可惜力量稍大，禁区里被杨程控制
7'尹鸿博背身拿球，一个不注意，被卢琳抢断                   7'第7分钟，富力进攻，雷纳蒂尼奥前场中路拿球分球找扎哈维，可惜力量稍大，禁区里被杨程控制
8'卢琳回传弋腾，弋腾横传姜积弘                   7'第7分钟，富力进攻，雷纳蒂尼奥前场中路拿球分球找扎哈维，可惜力量稍大，禁区里被杨程控制
8'之前张利峰的一脚远射很有威胁，被程月磊化解                   7'第7分钟，富力进攻，雷纳蒂尼奥前场中路拿球分球找扎哈维，可惜力量稍大，禁区里被杨程控制
8'雷纳蒂尼奥前场中路拿球，分球找扎哈维                   7'第7分钟，富力进攻，雷纳蒂尼奥前场中路拿球分球找扎哈维，可惜力量稍大，禁区里被杨程控制
9'可惜力量稍大，到了禁区，被杨程控制！！                   7'第7分钟，富力进攻，雷纳蒂尼奥前场中路拿球分球找扎哈维，可惜力量稍大，禁区里被杨程控制
9'张利峰中场拿球，分球给到拉维奇                   7'第7分钟，富力进攻，雷纳蒂尼奥前场中路拿球分球找扎哈维，可惜力量稍大，禁区里被杨程控制
9'拉维奇拿球变向，准备直塞打身后                   7'第7分钟，富力进攻，雷纳蒂尼奥前场中路拿球分球找扎哈维，可惜力量稍大，禁区里被杨程控制
10'可惜没能成功，球被李提香拦截！！                   7'第7分钟，富力进攻，雷纳蒂尼奥前场中路拿球分球找扎哈维，可惜力量稍大，禁区里被杨程控制
10'华夏幸福中场抢断，拉维奇拿球强突                   7'第7分钟，富力进攻，雷纳蒂尼奥前场中路拿球分球找扎哈维，可惜力量稍大，禁区里被杨程控制
10'卢琳身后回防，踢翻了拉维奇，犯规！！                   7'第7分钟，富力进攻，雷纳蒂尼奥前场中路拿球分球找扎哈维，可惜力量稍大，禁区里被杨程控制
10'华夏幸福获得前场中路的任意球机会！！                   7'第7分钟，富力进攻，雷纳蒂尼奥前场中路拿球分球找扎哈维，可惜力量稍大，禁区里被杨程控制
12'华夏幸福前场再攻，张利峰右路拿球                   12'第12分钟，赵宇豪右边路45度传中到后点，阿洛伊西奥抢点头球攻门，门将将球挡出
12'强突内切到禁区，面对张晨龙的防守                   12'第12分钟，赵宇豪右边路45度传中到后点，阿洛伊西奥抢点头球攻门，门将将球挡出
12'一拨闪开，起脚打门，被挡出边线！！                   12'第12分钟，赵宇豪右边路45度传中到后点，阿洛伊西奥抢点头球攻门，门将将球挡出
13'华夏幸福右路界外球进场，给到赵宇豪                   12'第12分钟，赵宇豪右边路45度传中到后点，阿洛伊西奥抢点头球攻门，门将将球挡出
13'赵宇豪右路45度斜传到后点！！                   12'第12分钟，赵宇豪右边路45度传中到后点，阿洛伊西奥抢点头球攻门，门将将球挡出
13'阿洛伊西奥的头球轰门，顶高！！                   12'第12分钟，赵宇豪右边路45度传中到后点，阿洛伊西奥抢点头球攻门，门将将球挡出
13'富力的前场进攻，左路横传球                   12'第12分钟，赵宇豪右边路45度传中到后点，阿洛伊西奥抢点头球攻门，门将将球挡出
13'高准翼的回防放铲，将球铲出了底线！！                   12'第12分钟，赵宇豪右边路45度传中到后点，阿洛伊西奥抢点头球攻门，门将将球挡出
