4'范云龙走右路被逼抢，球自己带出界外                   4'第4分钟，贵州恒丰获得前场任意球机会，范云龙开出的任意球被人和后卫抢先解围
4'双方中场的连续拼抢                   4'第4分钟，贵州恒丰获得前场任意球机会，范云龙开出的任意球被人和后卫抢先解围
4'依力哈木江右路带球突破                   4'第4分钟，贵州恒丰获得前场任意球机会，范云龙开出的任意球被人和后卫抢先解围
5'马西卡回防，直接给依力哈木江撞出界外                   4'第4分钟，贵州恒丰获得前场任意球机会，范云龙开出的任意球被人和后卫抢先解围
5'这球犯规了                   4'第4分钟，贵州恒丰获得前场任意球机会，范云龙开出的任意球被人和后卫抢先解围
5'贵州恒丰前场右路定位球                   4'第4分钟，贵州恒丰获得前场任意球机会，范云龙开出的任意球被人和后卫抢先解围
5'依力哈木江任意球开到禁区内，万厚良先出一脚踢出底线                   4'第4分钟，贵州恒丰获得前场任意球机会，范云龙开出的任意球被人和后卫抢先解围
6'闵俊麟主罚角球打到点球点，范云龙跟进的抽射被封堵                   4'第4分钟，贵州恒丰获得前场任意球机会，范云龙开出的任意球被人和后卫抢先解围
6'人和打出快速反击，马西卡左路回敲                   4'第4分钟，贵州恒丰获得前场任意球机会，范云龙开出的任意球被人和后卫抢先解围
7'王刚禁区右侧插上横传                   4'第4分钟，贵州恒丰获得前场任意球机会，范云龙开出的任意球被人和后卫抢先解围
7'迪奥普前点的打门，被博利挡出                   4'第4分钟，贵州恒丰获得前场任意球机会，范云龙开出的任意球被人和后卫抢先解围
6'闵俊麟主罚角球打到点球点，范云龙跟进的抽射被封堵                   6'第6分钟，王刚前场倒三角传至门前，凯文·博利贴身干扰迪奥普将球解围
6'人和打出快速反击，马西卡左路回敲                   6'第6分钟，王刚前场倒三角传至门前，凯文·博利贴身干扰迪奥普将球解围
7'王刚禁区右侧插上横传                   6'第6分钟，王刚前场倒三角传至门前，凯文·博利贴身干扰迪奥普将球解围
7'迪奥普前点的打门，被博利挡出                   6'第6分钟，王刚前场倒三角传至门前，凯文·博利贴身干扰迪奥普将球解围
